NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Eif1b	369	20.639814376831055	0.0055493475	Yes	
row_1	Polr2i	392	19.568832397460938	0.02743699	Yes	
row_2	Bcam	443	18.1697940826416	0.0462601	Yes	
row_3	Polr2h	543	16.299362182617188	0.06039959	Yes	
row_4	Nt5c	548	16.269512176513672	0.07932168	Yes	
row_5	Dut	611	15.056498527526855	0.09387654	Yes	
row_6	Polr2j	691	13.881077766418457	0.10618757	Yes	
row_7	Polr1h	694	13.838698387145996	0.12235364	Yes	
row_8	Bcap31	835	12.337190628051758	0.12975635	Yes	
row_9	Smad5	861	12.124544143676758	0.14274104	Yes	
row_10	Rfc3	869	12.05488395690918	0.15655667	Yes	
row_11	Aprt	893	11.832578659057617	0.16929956	Yes	
row_12	Dguok	917	11.687885284423828	0.18187238	Yes	
row_13	Polr2e	975	11.131148338317871	0.19206652	Yes	
row_14	Nudt21	984	11.035513877868652	0.20463315	Yes	
row_15	Cmpk2	1014	10.799846649169922	0.21585779	Yes	
row_16	Vps37d	1220	9.337943077087402	0.21643855	Yes	
row_17	Trp53	1283	8.879619598388672	0.22373244	Yes	
row_18	Polr1d	1397	8.235198974609375	0.22768247	Yes	
row_19	Gtf2a2	1410	8.147608757019043	0.2366515	Yes	
row_20	Sf3a3	1421	8.085773468017578	0.24564926	Yes	
row_21	Polr2d	1494	7.706727504730225	0.25105727	Yes	
row_22	Upf3b	1508	7.6328444480896	0.25937048	Yes	
row_23	Polr2f	1571	7.329620361328125	0.26484233	Yes	
row_24	Rbx1	1713	6.79852819442749	0.2656836	Yes	
row_25	Alyref	1736	6.712530136108398	0.27245855	Yes	
row_26	Mpc2	1782	6.539334297180176	0.27786353	Yes	
row_27	Polr2k	1820	6.404184818267822	0.28351533	Yes	
row_28	Srsf6	1847	6.284564018249512	0.28958437	Yes	
row_29	Ercc5	1863	6.208687782287598	0.29612204	Yes	
row_30	Nme4	1944	5.923863887786865	0.29902858	Yes	
row_31	Ercc1	2005	5.696278095245361	0.30268186	Yes	
row_32	Gmpr2	2150	5.271162033081055	0.30157554	Yes	
row_33	Taf10	2180	5.197578430175781	0.3062147	Yes	
