NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tpm2	2	76.04804992675781	0.03129411	Yes	
row_1	Cald1	8	60.530094146728516	0.056029275	Yes	
row_2	Tagln	14	57.84072494506836	0.07965416	Yes	
row_3	Mgp	18	55.37103271484375	0.10236111	Yes	
row_4	Serpinh1	19	54.70476150512695	0.1249455	Yes	
row_5	Htra1	24	49.97743606567383	0.14537492	Yes	
row_6	Gas1	35	46.967891693115234	0.16425689	Yes	
row_7	Lgals1	40	45.2479133605957	0.18273377	Yes	
row_8	Flna	42	44.36038589477539	0.20099674	Yes	
row_9	Gem	43	44.02050018310547	0.21917021	Yes	
row_10	Igfbp4	60	41.28730392456055	0.23540202	Yes	
row_11	Jun	76	38.48012161254883	0.25052574	Yes	
row_12	Pthlh	81	37.664493560791016	0.26587188	Yes	
row_13	Col4a1	82	37.5888671875	0.2813901	Yes	
row_14	Col6a2	84	37.313697814941406	0.2967439	Yes	
row_15	Acta2	87	36.93482208251953	0.31189045	Yes	
row_16	Fstl1	98	35.840492248535156	0.32617858	Yes	
row_17	Tgfbi	99	35.62799835205078	0.3408873	Yes	
row_18	Sparc	109	34.218833923339844	0.35455677	Yes	
row_19	Sfrp1	114	33.5842170715332	0.3682184	Yes	
row_20	Tpm4	125	32.99864959716797	0.3813333	Yes	
row_21	Dpysl3	139	31.36260986328125	0.39362025	Yes	
row_22	Myl9	154	30.660017013549805	0.40556633	Yes	
row_23	Id2	162	30.297395706176758	0.41771853	Yes	
row_24	Col4a2	175	29.375030517578125	0.4292358	Yes	
row_25	Snai2	183	28.9400577545166	0.4408276	Yes	
row_26	Fermt2	199	27.93753433227539	0.4515989	Yes	
row_27	Plod2	206	27.543872833251953	0.46266517	Yes	
row_28	Tpm1	208	27.463151931762695	0.47395226	Yes	
row_29	Ppib	216	27.01607894897461	0.48474982	Yes	
row_30	Lama3	249	25.49029541015625	0.49364665	Yes	
row_31	Ccn1	266	24.72991180419922	0.5030429	Yes	
row_32	Lox	306	22.838455200195312	0.5104891	Yes	
row_33	Lamc2	324	22.31041145324707	0.51883566	Yes	
row_34	Rgs4	341	21.360918045043945	0.52684104	Yes	
row_35	Tnfrsf12a	439	18.279808044433594	0.5294571	Yes	
row_36	Fbn1	457	17.865924835205078	0.5359687	Yes	
row_37	Dcn	467	17.654146194458008	0.5427996	Yes	
row_38	Cxcl12	523	16.590923309326172	0.5468533	Yes	
row_39	Col12a1	566	16.041074752807617	0.5513408	Yes	
row_40	Igfbp2	599	15.357152938842773	0.5560543	Yes	
row_41	Itgb1	674	14.097634315490723	0.5581129	Yes	
row_42	Mmp14	771	13.00063419342041	0.5586003	Yes	
row_43	Col5a2	808	12.647137641906738	0.56199163	Yes	
row_44	Vcam1	820	12.536230087280273	0.566608	Yes	
row_45	Fbln1	840	12.318854331970215	0.57072794	Yes	
row_46	Vim	877	12.007623672485352	0.5738552	Yes	
row_47	Timp1	942	11.466270446777344	0.5753358	Yes	
row_48	Dst	958	11.331092834472656	0.5792513	Yes	
row_49	Mmp2	1000	10.906549453735352	0.58166987	Yes	
row_50	Pmepa1	1042	10.532710075378418	0.5839341	Yes	
row_51	Efemp2	1048	10.50893497467041	0.58801854	Yes	
row_52	Lamc1	1054	10.4801607131958	0.592091	Yes	
row_53	Gpx7	1056	10.448627471923828	0.59635377	Yes	
row_54	Gpc1	1113	10.09582805633545	0.5976752	Yes	
row_55	Msx1	1138	9.952552795410156	0.6005641	Yes	
row_56	Calu	1145	9.917550086975098	0.6043535	Yes	
row_57	Prrx1	1180	9.644124984741211	0.6066067	Yes	
row_58	Basp1	1202	9.46639347076416	0.6094474	Yes	
row_59	Notch2	1247	9.144159317016602	0.61098593	Yes	
row_60	Mcm7	1292	8.83280086517334	0.6123959	Yes	
row_61	Lrp1	1317	8.667760848999023	0.6147544	Yes	
row_62	Thbs2	1382	8.32176685333252	0.6149367	Yes	
row_63	Cdh11	1457	7.891919136047363	0.61443335	Yes	
row_64	Slc6a8	1495	7.701711177825928	0.6157322	Yes	
row_65	Tnfaip3	1516	7.610663414001465	0.6178576	Yes	
row_66	Fzd8	1518	7.596885681152344	0.620943	Yes	
row_67	Pmp22	1628	7.0926947593688965	0.6183306	No	
row_68	Wnt5a	1738	6.702835559844971	0.6155572	No	
row_69	Ccn2	1758	6.621603965759277	0.61732507	No	
row_70	Eln	1767	6.599635124206543	0.61964303	No	
row_71	Col3a1	1799	6.472589015960693	0.62073946	No	
row_72	Fmod	1933	6.004164695739746	0.61645764	No	
row_73	Dab2	2006	5.695180892944336	0.615149	No	
row_74	Serpine1	2082	5.474064350128174	0.6135966	No	
row_75	Postn	2169	5.21823787689209	0.61137944	No	
row_76	Bmp1	2259	4.952075004577637	0.6088999	No	
row_77	Serpine2	2273	4.920496463775635	0.6102705	No	
row_78	Fbn2	2329	4.774425983428955	0.60944587	No	
row_79	Itgav	2379	4.660980224609375	0.6088794	No	
row_80	Gja1	2491	4.366074562072754	0.6050396	No	
row_81	Tnc	2497	4.353041648864746	0.6065826	No	
row_82	Nid2	2507	4.323727130889893	0.6079101	No	
row_83	Sdc1	2558	4.182143688201904	0.6070951	No	
row_84	Lum	2608	4.010836601257324	0.60626024	No	
row_85	Loxl1	2884	3.378448009490967	0.59367645	No	
row_86	Col16a1	2889	3.372189998626709	0.5948653	No	
row_87	Mest	2923	3.2972803115844727	0.5945491	No	
row_88	Magee1	2955	3.244431495666504	0.5943128	No	
row_89	Igfbp3	2961	3.230079412460327	0.59539217	No	
row_90	Plaur	2981	3.1793293952941895	0.59573895	No	
row_91	Sdc4	3068	3.0115292072296143	0.5926107	No	
row_92	Itga5	3116	2.908686876296997	0.5914225	No	
row_93	Anpep	3213	2.746269464492798	0.58767647	No	
row_94	Vcan	3266	2.6636013984680176	0.58613294	No	
row_95	Plod1	3347	2.5367965698242188	0.58311373	No	
row_96	Thbs1	3565	2.1861941814422607	0.57298595	No	
row_97	Colgalt1	3576	2.1672961711883545	0.57337236	No	
row_98	Plod3	3626	2.0830962657928467	0.57174164	No	
row_99	Tgfbr3	4060	1.4046787023544312	0.5503117	No	
row_100	Itgb5	4526	0.8622894287109375	0.52703124	No	
row_101	Cd44	4703	0.6521398425102234	0.5183542	No	
row_102	Timp3	4846	0.5052033066749573	0.51134473	No	
row_103	Col5a1	5009	0.3345205783843994	0.5032482	No	
row_104	Lama2	5027	0.32282528281211853	0.50251734	No	
row_105	Sgcb	5047	0.3059788942337036	0.5016779	No	
row_106	Cadm1	5362	0.057022396475076675	0.48574045	No	
row_107	Cthrc1	5459	-0.02958127297461033	0.48087287	No	
row_108	Fbln2	5574	-0.10794796049594879	0.4751227	No	
row_109	Wipf1	5776	-0.2832995057106018	0.46502262	No	
row_110	Pvr	6013	-0.484412282705307	0.45322645	No	
row_111	P3h1	6079	-0.5414762496948242	0.450146	No	
row_112	Vegfc	6255	-0.6582083702087402	0.44152227	No	
row_113	Oxtr	6748	-0.9647777676582336	0.4169117	No	
row_114	Col8a2	6872	-1.0354374647140503	0.41108692	No	
row_115	Vegfa	8217	-1.6283296346664429	0.3434422	No	
row_116	Cap2	8854	-1.9056522846221924	0.31190035	No	
