NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mdk	15	57.58738708496094	0.027113538	Yes	
row_1	Tst	27	48.290897369384766	0.0499303	Yes	
row_2	Igfbp4	60	41.28730392456055	0.06828942	Yes	
row_3	Ascl1	62	40.61635971069336	0.08789952	Yes	
row_4	Emp2	72	39.08415222167969	0.10636129	Yes	
row_5	Trim29	79	38.1322021484375	0.12451474	Yes	
row_6	Slc29a1	110	34.16096878051758	0.13952592	Yes	
row_7	Pdlim3	131	32.108177185058594	0.15405172	Yes	
row_8	Id2	162	30.297395706176758	0.16719268	Yes	
row_9	Il6st	174	29.399362564086914	0.18086472	Yes	
row_10	Perp	184	28.924617767333984	0.19440863	Yes	
row_11	Mapk13	189	28.599624633789062	0.20804936	Yes	
row_12	Fkbp4	246	25.609458923339844	0.21759944	Yes	
row_13	Cxcl14	260	24.919084548950195	0.22900108	Yes	
row_14	Fos	292	23.449758529663086	0.2387765	Yes	
row_15	Cd9	315	22.605676651000977	0.24860083	Yes	
row_16	Lamc2	324	22.31041145324707	0.25899386	Yes	
row_17	Ccnd1	337	21.554697036743164	0.26881775	Yes	
row_18	Tpbg	445	18.12385368347168	0.27215192	Yes	
row_19	Rbbp8	460	17.818029403686523	0.28006536	Yes	
row_20	Cox6c	469	17.581607818603516	0.28816935	Yes	
row_21	Tiam1	521	16.63799285888672	0.29363084	Yes	
row_22	Cxcl12	523	16.590923309326172	0.30161107	Yes	
row_23	Bcl2	627	14.74500846862793	0.303513	Yes	
row_24	Sfn	649	14.479522705078125	0.30945456	Yes	
row_25	Plxnb1	1002	10.884916305541992	0.29683104	No	
row_26	Foxc1	1006	10.836250305175781	0.301924	No	
row_27	Idh2	1009	10.827157020568848	0.30706337	No	
row_28	Slc1a4	1085	10.294224739074707	0.3082341	No	
row_29	Impa2	1169	9.72868824005127	0.30872443	No	
row_30	Dynlt3	1372	8.353158950805664	0.3025	No	
row_31	Myof	1579	7.291343688964844	0.29555827	No	
row_32	Cdh1	1612	7.181752681732178	0.29740813	No	
row_33	Nxt1	1927	6.007345199584961	0.2843551	No	
row_34	Arl3	2157	5.2597527503967285	0.27526084	No	
row_35	Gjb3	2271	4.929086685180664	0.27190292	No	
row_36	Sgk1	2293	4.865147113800049	0.27319053	No	
row_37	Slc24a3	2436	4.51444149017334	0.26815778	No	
row_38	Jak1	2484	4.388171672821045	0.26789287	No	
row_39	Add3	2502	4.340726375579834	0.26912993	No	
row_40	Blvrb	2547	4.212847709655762	0.26893267	No	
row_41	Cav1	2613	3.9885401725769043	0.26755935	No	
row_42	Pgr	2674	3.8352432250976562	0.266366	No	
row_43	Itpk1	2863	3.413745880126953	0.25846222	No	
row_44	Mettl3	2893	3.360138177871704	0.25861463	No	
row_45	Mest	2923	3.2972803115844727	0.25873664	No	
row_46	Nab2	3069	3.0106706619262695	0.2528235	No	
row_47	Sord	3241	2.6971447467803955	0.24543697	No	
row_48	Nrip1	3310	2.598499298095703	0.24323829	No	
row_49	Hspb8	3328	2.565683364868164	0.24361612	No	
row_50	Ugdh	3616	2.105013370513916	0.23004656	No	
row_51	Rnaseh2a	3632	2.0706255435943604	0.2302864	No	
row_52	Sox3	4185	1.2442138195037842	0.20282993	No	
row_53	Pkp3	4271	1.12673020362854	0.1990547	No	
row_54	Tpd52l1	4480	0.8997356295585632	0.18891735	No	
row_55	Ovol2	4613	0.7474521994590759	0.18256947	No	
row_56	Cd44	4703	0.6521398425102234	0.17836118	No	
row_57	Npy1r	4731	0.6206917762756348	0.1772892	No	
row_58	Gins2	5158	0.229838564991951	0.15574642	No	
row_59	Ass1	5401	0.02037791721522808	0.14345515	No	
row_60	Cdc6	5842	-0.34361863136291504	0.12125581	No	
row_61	Farp1	5978	-0.4512142837047577	0.11461203	No	
row_62	Klf4	6182	-0.6058656573295593	0.104586594	No	
row_63	Wfs1	6470	-0.8145959377288818	0.09039239	No	
row_64	Eeig1	6600	-0.8854494094848633	0.084263794	No	
row_65	Fkbp5	6710	-0.9438912272453308	0.07918011	No	
row_66	Aff1	7299	-1.2159497737884521	0.049880028	No	
row_67	Etfb	7416	-1.2671053409576416	0.04459698	No	
row_68	Serpina5	7461	-1.288525938987732	0.042984143	No	
row_69	Rab31	7726	-1.4080032110214233	0.0302463	No	
row_70	Zfp36	7976	-1.5131224393844604	0.018321808	No	
row_71	Dlg5	8262	-1.6498605012893677	0.0046335864	No	
row_72	Ncor2	8298	-1.6693189144134521	0.0036625564	No	
row_73	Siah2	8474	-1.7325317859649658	-0.004394227	No	
row_74	Gper1	8624	-1.7940703630447388	-0.011099613	No	
row_75	Cish	8781	-1.8692224025726318	-0.018124439	No	
row_76	Xrcc3	9693	-2.3019821643829346	-0.063317254	No	
row_77	Tfpi2	9776	-2.3428492546081543	-0.06635131	No	
row_78	Gfus	10057	-2.4934494495391846	-0.079377025	No	
row_79	Large1	10134	-2.5320472717285156	-0.082014516	No	
row_80	Nmu	10438	-2.6854379177093506	-0.09611641	No	
row_81	Ccna1	11103	-3.0358660221099854	-0.1283987	No	
row_82	Ccn5	11311	-3.1537065505981445	-0.13739413	No	
row_83	Frk	11509	-3.2464678287506104	-0.14583635	No	
row_84	Ret	11561	-3.2747321128845215	-0.14684357	No	
row_85	St6galnac2	12178	-3.635960817337036	-0.17639548	No	
row_86	Rabep1	12290	-3.7052605152130127	-0.18024415	No	
row_87	Slc2a8	12315	-3.7190520763397217	-0.17966382	No	
row_88	Xbp1	12337	-3.7318665981292725	-0.17892481	No	
row_89	Stil	12421	-3.777682065963745	-0.18131515	No	
row_90	Tmprss3	12425	-3.780099868774414	-0.17963783	No	
row_91	Scube2	12468	-3.8099234104156494	-0.1799285	No	
row_92	Hr	12888	-4.079534530639648	-0.19925196	No	
row_93	Igsf1	13048	-4.199916362762451	-0.20530108	No	
row_94	Aldh3a2	13050	-4.202264785766602	-0.20331773	No	
row_95	Amfr	13076	-4.221807956695557	-0.20254488	No	
row_96	Fgfr3	13124	-4.2539567947387695	-0.20287476	No	
row_97	Prss23	13278	-4.347641944885254	-0.20854738	No	
row_98	Mapt	13325	-4.383662223815918	-0.20876363	No	
row_99	Prkar2b	13562	-4.554654121398926	-0.21855502	No	
row_100	Ptges	13580	-4.566799163818359	-0.21720853	No	
row_101	Rps6ka2	13767	-4.705141544342041	-0.22438551	No	
row_102	Celsr2	13881	-4.782035827636719	-0.22781461	No	
row_103	Calcr	14051	-4.934632778167725	-0.23401639	No	
row_104	Plac1	14077	-4.949650287628174	-0.23289122	No	
row_105	Kcnk5	14152	-5.00969934463501	-0.2342277	No	
row_106	Dhrs2	14250	-5.100569248199463	-0.23668931	No	
row_107	Gla	14446	-5.275769233703613	-0.24404757	No	
row_108	Cyp26b1	14455	-5.2806596755981445	-0.24189803	No	
row_109	Slc22a5	14518	-5.342540740966797	-0.24246342	No	
row_110	Dnajc1	14670	-5.481205463409424	-0.24748567	No	
row_111	Krt13	14831	-5.615959644317627	-0.25290015	No	
row_112	Cdc20	14898	-5.677224159240723	-0.25350687	No	
row_113	Th	14968	-5.758417129516602	-0.25422677	No	
row_114	Egr3	14975	-5.766292095184326	-0.2517405	No	
row_115	Agr2	15060	-5.858542442321777	-0.2531744	No	
row_116	Acox2	15170	-5.983334541320801	-0.25581867	No	
row_117	Rapgefl1	15183	-6.001223087310791	-0.25352365	No	
row_118	Klk11	15281	-6.097815990447998	-0.25550255	No	
row_119	Klk10	15426	-6.235119819641113	-0.259804	No	
row_120	Plaat3	15465	-6.286556243896484	-0.2586925	No	
row_121	Pdzk1	15622	-6.474925994873047	-0.26348788	No	
row_122	Anxa9	15628	-6.483463764190674	-0.2606036	No	
row_123	Kif20a	15688	-6.543456554412842	-0.2604352	No	
row_124	Fdft1	15699	-6.55903959274292	-0.2577685	No	
row_125	Scarb1	15754	-6.6247239112854	-0.25730658	No	
row_126	Bag1	16177	-7.192572593688965	-0.27527565	No	
row_127	Btg3	16243	-7.300086498260498	-0.27504593	No	
row_128	Dusp2	16312	-7.375790596008301	-0.27493212	No	
row_129	Ppif	16409	-7.4974188804626465	-0.27618265	No	
row_130	Unc13b	16478	-7.6165924072265625	-0.27595225	No	
row_131	Chpt1	16661	-7.927814483642578	-0.28136593	No	
row_132	Hmgcs2	16747	-8.070189476013184	-0.2817801	No	
row_133	Top2a	16967	-8.442103385925293	-0.28882557	No	
row_134	Tpsb2	16995	-8.495759963989258	-0.28608552	No	
row_135	Lsr	16998	-8.498332023620605	-0.28207344	No	
row_136	Cpe	17038	-8.587742805480957	-0.27989882	No	
row_137	Jak2	17131	-8.777006149291992	-0.28032666	No	
row_138	Dhcr7	17246	-8.995287895202637	-0.2817671	No	
row_139	Olfm1	17354	-9.210679054260254	-0.28274745	No	
row_140	Mocs2	17528	-9.60581111907959	-0.2868914	No	
row_141	St14	17569	-9.711737632751465	-0.28422356	No	
row_142	Tnnc1	17613	-9.818151473999023	-0.28165665	No	
row_143	Gal	17626	-9.84218692779541	-0.2775024	No	
row_144	Prlr	17759	-10.158184051513672	-0.27929488	No	
row_145	Ltf	17780	-10.198349952697754	-0.27537483	No	
row_146	Tfap2c	17829	-10.33606243133545	-0.2728114	No	
row_147	Slc16a1	17869	-10.449634552001953	-0.26973552	No	
row_148	Pdcd4	17939	-10.667832374572754	-0.26807895	No	
row_149	Slc27a2	17940	-10.67032527923584	-0.26291382	No	
row_150	Car2	18071	-11.087982177734375	-0.26415458	No	
row_151	Batf	18076	-11.099675178527832	-0.25898492	No	
row_152	Myb	18172	-11.458531379699707	-0.25826722	No	
row_153	Areg	18189	-11.516441345214844	-0.25350583	No	
row_154	Cacna2d2	18228	-11.631674766540527	-0.24980693	No	
row_155	Il17rb	18326	-11.986291885375977	-0.2489354	No	
row_156	Slc7a5	18361	-12.130373001098633	-0.24479178	No	
row_157	Tob1	18414	-12.33310317993164	-0.24146497	No	
row_158	Car12	18449	-12.477948188781738	-0.2371531	No	
row_159	Ptger3	18516	-12.732414245605469	-0.23434465	No	
row_160	Ckb	18632	-13.210973739624023	-0.23379526	No	
row_161	Plk4	18641	-13.230758666992188	-0.22779737	No	
row_162	Chst8	18658	-13.308216094970703	-0.22216864	No	
row_163	Opn3	18861	-14.431076049804688	-0.22545095	No	
row_164	Homer2	18896	-14.637187004089355	-0.22009386	No	
row_165	Snx10	18926	-14.852073669433594	-0.2143786	No	
row_166	Sema3b	18973	-15.153416633605957	-0.2093816	No	
row_167	Tff3	18978	-15.173674583435059	-0.20223989	No	
row_168	Gale	19007	-15.355769157409668	-0.19622998	No	
row_169	Pcp4	19014	-15.42179012298584	-0.18906982	No	
row_170	S100a9	19094	-16.000444412231445	-0.18534024	No	
row_171	Dnajc12	19180	-16.770925521850586	-0.18154266	No	
row_172	Elovl5	19206	-16.965797424316406	-0.17460091	No	
row_173	Isg20	19221	-17.11587142944336	-0.16702735	No	
row_174	Aldh3b1	19298	-18.125255584716797	-0.16211674	No	
row_175	Flnb	19302	-18.158836364746094	-0.15347917	No	
row_176	Clic3	19316	-18.382837295532227	-0.1452415	No	
row_177	Abhd2	19326	-18.497848510742188	-0.13674484	No	
row_178	Slc26a2	19372	-18.95931625366211	-0.12985471	No	
row_179	Atp2b4	19373	-18.96172332763672	-0.12067601	No	
row_180	Krt19	19377	-18.99488067626953	-0.111633755	No	
row_181	Scnn1a	19387	-19.145954132080078	-0.10282336	No	
row_182	Abca3	19401	-19.41008758544922	-0.094088435	No	
row_183	Ptpn6	19423	-19.719907760620117	-0.08561018	No	
row_184	Sult2b1	19437	-19.93577766418457	-0.07662079	No	
row_185	Llgl2	19471	-20.55119514465332	-0.06835011	No	
row_186	Papss2	19472	-20.55680274963379	-0.058399294	No	
row_187	Hspa4l	19478	-20.708332061767578	-0.04862928	No	
row_188	Dcxr	19481	-20.742359161376953	-0.038690306	No	
row_189	Tspan13	19754	-29.30891990661621	-0.038328957	No	
row_190	Fabp5	19760	-29.50568962097168	-0.024300458	No	
row_191	Nherf1	19773	-30.27463150024414	-0.010255559	No	
row_192	Tjp3	19783	-30.74199676513672	0.004168067	No	
