NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hey1	493	17.16172981262207	0.04509995	No	
row_1	Hey2	685	13.956920623779297	0.09236467	No	
row_2	Pml	1245	9.15392017364502	0.1014918	No	
row_3	Amot	1472	7.825610160827637	0.12199671	No	
row_4	Myh9	1760	6.62080717086792	0.13451397	No	
row_5	Unc5c	2235	5.0411763191223145	0.13116159	No	
row_6	Cdk5r1	2479	4.4008049964904785	0.13684769	No	
row_7	Vldlr	2506	4.325378894805908	0.15316932	No	
row_8	Ets2	2655	3.8769335746765137	0.16151054	No	
row_9	Ophn1	2854	3.4368059635162354	0.1655361	No	
row_10	Rasa1	2985	3.1709377765655518	0.17190698	No	
row_11	Ptch1	3420	2.420522451400757	0.15988842	No	
row_12	Adgrg1	4009	1.48274564743042	0.13628092	No	
row_13	Ldb1	4020	1.4714449644088745	0.1417751	No	
row_14	Nrp1	4301	1.0940684080123901	0.13211516	No	
row_15	Cdk6	4432	0.9536565542221069	0.12944709	No	
row_16	Cntfr	4561	0.8236193656921387	0.12634978	No	
row_17	Nf1	4577	0.7993791699409485	0.12885208	No	
row_18	Gli1	6430	-0.7852845191955566	0.038659517	No	
row_19	Vegfa	8217	-1.6283296346664429	-0.044768013	No	
row_20	Nkx6-1	8829	-1.8968720436096191	-0.067847155	No	
row_21	Dpysl2	10271	-2.5991780757904053	-0.12991905	No	
row_22	Tle1	10785	-2.86946439743042	-0.14409132	No	
row_23	Plg	11514	-3.247213125228882	-0.16756584	No	
row_24	Shh	11883	-3.4577455520629883	-0.17202778	No	
row_25	Scg2	14385	-5.212853908538818	-0.27689916	No	
row_26	Crmp1	16884	-8.28256607055664	-0.3691053	No	
row_27	Thy1	18030	-10.974246978759766	-0.38210866	Yes	
row_28	Nrcam	18034	-10.978011131286621	-0.33750713	Yes	
row_29	Slit1	18116	-11.245675086975098	-0.29574788	Yes	
row_30	L1cam	18227	-11.629643440246582	-0.2538858	Yes	
row_31	Tle3	18261	-11.752069473266602	-0.20764162	Yes	
row_32	Celsr1	18332	-11.996244430541992	-0.1622679	Yes	
row_33	Rtn1	19055	-15.688774108886719	-0.13472073	Yes	
row_34	Nrp2	19330	-18.517688751220703	-0.073049225	Yes	
row_35	Ache	19630	-24.524967193603516	0.011850753	Yes	
