NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Igsf3	333	21.69020652770996	-0.0012222741	No	
row_1	Picalm	352	20.962663650512695	0.013034984	No	
row_2	Prdx2	374	20.46445083618164	0.026779218	No	
row_3	Tfdp2	435	18.422868728637695	0.03706413	No	
row_4	Bcam	443	18.1697940826416	0.049858972	No	
row_5	Slc7a11	494	17.14803695678711	0.05972935	No	
row_6	Top1	550	16.225627899169922	0.06867806	No	
row_7	Vezf1	578	15.864851951599121	0.078788415	No	
row_8	Btg2	640	14.572425842285156	0.08623573	No	
row_9	C3	645	14.543086051940918	0.09655815	No	
row_10	Lamp2	722	13.495473861694336	0.10246382	No	
row_11	Marchf8	845	12.232271194458008	0.105117835	No	
row_12	Bach1	1173	9.710484504699707	0.09553002	No	
row_13	Mpp1	1177	9.657089233398438	0.10236698	No	
row_14	Tspan5	1257	9.100912094116211	0.1049396	No	
row_15	Lmo2	1272	8.976637840270996	0.110725135	No	
row_16	Agpat4	1344	8.471253395080566	0.11324855	No	
row_17	Gmps	1346	8.459829330444336	0.1193206	No	
row_18	Slc6a8	1495	7.701711177825928	0.11737445	No	
row_19	Ucp2	1592	7.251241207122803	0.11774454	No	
row_20	Pgls	1728	6.738455295562744	0.115761794	No	
row_21	Arhgef12	1798	6.4755754470825195	0.11694245	No	
row_22	Nfe2l1	1904	6.071272850036621	0.11600121	No	
row_23	Sidt2	2287	4.8863701820373535	0.10012719	No	
row_24	Marchf2	2382	4.639947414398193	0.09870897	No	
row_25	Urod	2472	4.423697471618652	0.0973883	No	
row_26	Blvrb	2547	4.212847709655762	0.096677214	No	
row_27	Cir1	2640	3.920128107070923	0.09483964	No	
row_28	Hdgf	2671	3.846165180206299	0.096098945	No	
row_29	Aldh6a1	2850	3.4413108825683594	0.08954491	No	
row_30	Tcea1	2925	3.2911572456359863	0.08816674	No	
row_31	Rnf19a	3174	2.7999086380004883	0.077591576	No	
row_32	Glrx5	3234	2.7087883949279785	0.07655411	No	
row_33	Sdcbp	3670	2.0082998275756836	0.05590398	No	
row_34	Mospd1	4066	1.3942525386810303	0.036841944	No	
row_35	Xpo7	4112	1.3381420373916626	0.035523847	No	
row_36	Bsg	4158	1.2742217779159546	0.03415949	No	
row_37	Klf3	4232	1.1783360242843628	0.03130297	No	
row_38	Slc11a2	4284	1.1158208847045898	0.02951909	No	
row_39	Mxi1	4467	0.907288134098053	0.020927781	No	
row_40	Psmd9	5039	0.3110429048538208	-0.007861326	No	
row_41	Tnrc6b	5094	0.2790662348270416	-0.010403252	No	
row_42	Ubac1	5098	0.27561888098716736	-0.01035621	No	
row_43	Cpox	5250	0.14533384144306183	-0.017923787	No	
row_44	Aldh1l1	5603	-0.12807302176952362	-0.03571727	No	
row_45	Ypel5	5885	-0.3735753297805786	-0.04972535	No	
row_46	Nfe2	5977	-0.450957328081131	-0.05402295	No	
row_47	Fech	6115	-0.566265344619751	-0.06057449	No	
row_48	Rcl1	6222	-0.631808340549469	-0.065503396	No	
row_49	Pigq	6394	-0.7538765668869019	-0.07364679	No	
row_50	Ppox	6496	-0.8265967965126038	-0.078180656	No	
row_51	Minpp1	6583	-0.878176748752594	-0.08191498	No	
row_52	Ccnd3	6713	-0.9450724720954895	-0.087785855	No	
row_53	Ctns	6736	-0.9576005339622498	-0.08821067	No	
row_54	Ppp2r5b	6764	-0.9730780720710754	-0.08887835	No	
row_55	Tyr	6948	-1.0614194869995117	-0.09740892	No	
row_56	Nr3c1	7005	-1.0888477563858032	-0.09946638	No	
row_57	Dcun1d1	7057	-1.1155263185501099	-0.10125048	No	
row_58	Dmtn	7138	-1.1474257707595825	-0.104485065	No	
row_59	Rhag	7275	-1.2010891437530518	-0.11052633	No	
row_60	Ctsb	7280	-1.203836441040039	-0.1098583	No	
row_61	Endod1	7348	-1.2419788837432861	-0.112363875	No	
row_62	Cdc27	7853	-1.4610339403152466	-0.1369162	No	
row_63	Ackr1	9016	-1.9838647842407227	-0.19452508	No	
row_64	Gata1	9305	-2.1260650157928467	-0.20762047	No	
row_65	Tns1	9315	-2.128659963607788	-0.20653714	No	
row_66	Slc66a2	9406	-2.1655311584472656	-0.209543	No	
row_67	Hbq1b	9707	-2.3105709552764893	-0.22311461	No	
row_68	Rad23a	9869	-2.390340566635132	-0.22956547	No	
row_69	Add1	10167	-2.5477116107940674	-0.242813	No	
row_70	Gypc	10264	-2.5958304405212402	-0.24581231	No	
row_71	Tmcc2	10330	-2.6288676261901855	-0.24721248	No	
row_72	Epor	10661	-2.808820962905884	-0.26194787	No	
row_73	Ftcd	10899	-2.928983688354492	-0.27187067	No	
row_74	Mocos	11059	-3.0101115703582764	-0.27777135	No	
row_75	Klf1	11068	-3.016273260116577	-0.2759948	No	
row_76	Kat2b	11256	-3.1094393730163574	-0.28324637	No	
row_77	Trim58	11303	-3.1484010219573975	-0.28330508	No	
row_78	Abcb6	11411	-3.1992740631103516	-0.28642657	No	
row_79	Mboat2	11510	-3.2470946311950684	-0.28905612	No	
row_80	Tal1	11588	-3.28855037689209	-0.29058862	No	
row_81	Slc6a9	11604	-3.2952425479888916	-0.28896585	No	
row_82	Abcg2	11661	-3.326573133468628	-0.28940377	No	
row_83	Kel	11846	-3.438319683074951	-0.29626483	No	
row_84	Tspo2	11930	-3.48559832572937	-0.2979596	No	
row_85	Fbxo34	12135	-3.6095056533813477	-0.30571303	No	
row_86	Bnip3l	12255	-3.6822497844696045	-0.30909473	No	
row_87	Foxj2	12372	-3.745910406112671	-0.3122779	No	
row_88	Xk	12384	-3.75370717048645	-0.31012008	No	
row_89	Fn3k	12402	-3.7635419368743896	-0.30826	No	
row_90	Blvra	12420	-3.776883602142334	-0.3063903	No	
row_91	Nek7	12939	-4.118721961975098	-0.32973045	No	
row_92	Trim10	12949	-4.1262688636779785	-0.32720134	No	
row_93	Rbm38	12958	-4.135223865509033	-0.32461494	No	
row_94	Ctse	13229	-4.325559139251709	-0.3352038	No	
row_95	P4ha2	13375	-4.411570072174072	-0.33937877	No	
row_96	Narf	13633	-4.594717025756836	-0.34911227	Yes	
row_97	Car1	13643	-4.605902194976807	-0.34623602	Yes	
row_98	Dcaf10	13646	-4.6109747886657715	-0.3430004	Yes	
row_99	Gclm	13666	-4.625300884246826	-0.34061828	Yes	
row_100	Foxo3	13683	-4.636242866516113	-0.33807576	Yes	
