NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Anxa2	21	51.13011932373047	0.030323781	Yes	
row_1	Cavin3	45	43.214088439941406	0.0556858	Yes	
row_2	Jun	76	38.48012161254883	0.07778548	Yes	
row_3	Tgfbi	99	35.62799835205078	0.098540835	Yes	
row_4	Mif	127	32.88408279418945	0.117357336	Yes	
row_5	Csrp2	248	25.503793716430664	0.12691419	Yes	
row_6	Ier3	253	25.268749237060547	0.14222465	Yes	
row_7	Ccn1	266	24.72991180419922	0.15679753	Yes	
row_8	Sdc3	278	24.261533737182617	0.1711337	Yes	
row_9	Adm	290	23.53894805908203	0.18502623	Yes	
row_10	Fos	292	23.449758529663086	0.19937244	Yes	
row_11	Pgf	305	22.890586853027344	0.21281606	Yes	
row_12	Lox	306	22.838455200195312	0.2268378	Yes	
row_13	Atf3	338	21.52808952331543	0.23847888	Yes	
row_14	Pnrc1	363	20.736642837524414	0.24998996	Yes	
row_15	Ddit4	384	20.02067756652832	0.26126483	Yes	
row_16	Chst2	432	18.530555725097656	0.27025205	Yes	
row_17	Tpbg	445	18.12385368347168	0.28076914	Yes	
row_18	Dcn	467	17.654146194458008	0.29054022	Yes	
row_19	Bhlhe40	509	16.94983673095703	0.29886204	Yes	
row_20	Egfr	549	16.25817108154297	0.30686086	Yes	
row_21	Bcl2	627	14.74500846862793	0.31199864	Yes	
row_22	F3	671	14.149209976196289	0.3184993	Yes	
row_23	Angptl4	748	13.194602966308594	0.32273602	Yes	
row_24	Gpc1	1113	10.09582805633545	0.31042716	Yes	
row_25	Ampd3	1154	9.803021430969238	0.314412	Yes	
row_26	Tgfb3	1171	9.718497276306152	0.3195652	Yes	
row_27	Fam162a	1249	9.132872581481934	0.32125735	Yes	
row_28	Ets1	1255	9.11452579498291	0.32659903	Yes	
row_29	Efna1	1264	9.033024787902832	0.33173814	Yes	
row_30	Sap30	1345	8.460869789123535	0.3328652	Yes	
row_31	Irs2	1376	8.338077545166016	0.33645907	Yes	
row_32	Tpd52	1396	8.235371589660645	0.34054917	Yes	
row_33	P4ha1	1427	8.047385215759277	0.34396458	Yes	
row_34	Ext1	1475	7.816826820373535	0.34637406	Yes	
row_35	Sdc2	1489	7.711587429046631	0.35044765	Yes	
row_36	Rragd	1509	7.62998628616333	0.35416606	Yes	
row_37	Wsb1	1512	7.622580528259277	0.3587443	Yes	
row_38	Tnfaip3	1516	7.610663414001465	0.36326435	Yes	
row_39	Errfi1	1574	7.3171820640563965	0.36485866	Yes	
row_40	Stbd1	1644	7.044994831085205	0.36567572	Yes	
row_41	Gpi1	1698	6.869940757751465	0.3671988	Yes	
row_42	Pfkfb3	1705	6.8418755531311035	0.37109432	Yes	
row_43	Ccn2	1758	6.621603965759277	0.3725158	Yes	
row_44	Myh9	1760	6.62080717086792	0.3765298	Yes	
row_45	Jmjd6	1822	6.400439739227295	0.3773579	Yes	
row_46	Cavin1	1824	6.3848395347595215	0.38122705	Yes	
row_47	Mt1	1975	5.830262660980225	0.37717995	No	
row_48	Pim1	2035	5.588123321533203	0.377611	No	
row_49	Serpine1	2082	5.474064350128174	0.378633	No	
row_50	Cited2	2099	5.40047550201416	0.38113514	No	
row_51	Klf7	2244	5.015807151794434	0.37689307	No	
row_52	Dusp1	2393	4.604276180267334	0.37219498	No	
row_53	Grhpr	2492	4.3657121658325195	0.3698926	No	
row_54	Ackr3	2496	4.353397846221924	0.37241286	No	
row_55	Vldlr	2506	4.325378894805908	0.37461084	No	
row_56	Cav1	2613	3.9885401725769043	0.37167016	No	
row_57	Galk1	2727	3.739051103591919	0.36822036	No	
row_58	Btg1	2760	3.658708095550537	0.36883965	No	
row_59	Igfbp3	2961	3.230079412460327	0.36065397	No	
row_60	Plaur	2981	3.1793293952941895	0.3616399	No	
row_61	Klf6	2983	3.1768910884857178	0.3635395	No	
row_62	Pdk3	2987	3.165445327758789	0.3653304	No	
row_63	Sdc4	3068	3.0115292072296143	0.36311182	No	
row_64	Tiparp	3090	2.9609882831573486	0.363862	No	
row_65	Gpc4	3585	2.1455817222595215	0.34006235	No	
row_66	Adora2b	3649	2.0395429134368896	0.33811137	No	
row_67	Pfkl	3674	2.00207257270813	0.33812028	No	
row_68	B3galt6	3737	1.919901967048645	0.33614668	No	
