NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ifitm3	3	75.65223693847656	0.04082751	No	
row_1	Col6a1	25	48.641361236572266	0.066108264	No	
row_2	Cd81	209	27.42868423461914	0.071661174	No	
row_3	Ifngr1	211	27.146148681640625	0.08631512	No	
row_4	Gbp3	228	26.458375930786133	0.09983381	No	
row_5	Itga6	353	20.942873001098633	0.104873374	No	
row_6	Cxcl10	426	18.692419052124023	0.111337915	No	
row_7	Twsg1	479	17.41016387939453	0.1181248	No	
row_8	Bhlhe40	509	16.94983673095703	0.1258318	No	
row_9	Tiam1	521	16.63799285888672	0.13428512	No	
row_10	Wls	553	16.160619735717773	0.14146292	No	
row_11	Tnfsf10	594	15.405733108520508	0.14777419	No	
row_12	Bcl2	627	14.74500846862793	0.15413432	No	
row_13	Phlda1	698	13.82272720336914	0.15806268	No	
row_14	Igf1r	700	13.794824600219727	0.16548435	No	
row_15	Lrig1	951	11.414125442504883	0.15895562	No	
row_16	Csf1	1135	9.967604637145996	0.15505004	No	
row_17	Bmpr2	1254	9.114827156066895	0.15398756	No	
row_18	Nfkbiz	1276	8.925675392150879	0.15775472	No	
row_19	Ptrh2	1322	8.648656845092773	0.16015151	No	
row_20	P4ha1	1427	8.047385215759277	0.15922266	No	
row_21	Emp1	1501	7.679675579071045	0.15967086	No	
row_22	Rragd	1509	7.62998628616333	0.16344802	No	
row_23	Ncs1	1543	7.482623100280762	0.16582334	No	
row_24	Socs2	1721	6.779823303222656	0.16049606	No	
row_25	Gabarapl1	1723	6.756068229675293	0.16410491	No	
row_26	Furin	1791	6.523885250091553	0.1642321	No	
row_27	Il1r2	1894	6.106259822845459	0.16235346	No	
row_28	Dennd5a	1903	6.071447372436523	0.16523552	No	
row_29	Serpinb6a	1923	6.018806457519531	0.16752976	No	
row_30	Plpp1	1970	5.849816799163818	0.16835961	No	
row_31	Ahnak	1976	5.828186511993408	0.17126244	No	
row_32	Pim1	2035	5.588123321533203	0.17134036	No	
row_33	Il2ra	2179	5.197774887084961	0.16688488	No	
row_34	Mapkapk2	2311	4.815180778503418	0.16283232	No	
row_35	Casp3	2326	4.780634880065918	0.16471009	No	
row_36	Itgav	2379	4.660980224609375	0.16459087	No	
row_37	Ikzf2	2437	4.5139570236206055	0.16413778	No	
row_38	Dcps	2517	4.298031330108643	0.16244909	No	
row_39	Rnh1	2586	4.077265739440918	0.16120014	No	
row_40	Ikzf4	2588	4.072666168212891	0.16335541	No	
row_41	Gpx4	2787	3.589817762374878	0.15523235	No	
row_42	Klf6	2983	3.1768910884857178	0.14703816	No	
row_43	Cdcp1	3016	3.1056668758392334	0.14709339	No	
row_44	Amacr	3109	2.9218592643737793	0.14399824	No	
row_45	Odc1	3334	2.552457571029663	0.13399124	No	
row_46	Ptch1	3420	2.420522451400757	0.13098045	No	
row_47	Spred2	3605	2.1242244243621826	0.122775346	No	
row_48	Myc	3646	2.04364275932312	0.1218485	No	
row_49	Pnp	3741	1.9144483804702759	0.118105955	No	
row_50	Eef1akmt1	3803	1.809439778327942	0.11598447	No	
