NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jun	76	38.48012161254883	0.041400913	Yes	
row_1	Socs3	77	38.25848388671875	0.086383305	Yes	
row_2	Il7	105	34.996734619140625	0.12616575	Yes	
row_3	Il6st	174	29.399362564086914	0.1572944	Yes	
row_4	Osmr	196	28.1826171875	0.18936847	Yes	
row_5	Ifngr1	211	27.146148681640625	0.22057779	Yes	
row_6	Irf9	293	23.404651641845703	0.24400096	Yes	
row_7	Cd9	315	22.605676651000977	0.26951796	Yes	
row_8	Stat1	351	21.038042068481445	0.29248405	Yes	
row_9	Cxcl10	426	18.692419052124023	0.31072068	Yes	
row_10	Tnfrsf12a	439	18.279808044433594	0.3316065	Yes	
row_11	Stat2	506	16.992874145507812	0.34824935	Yes	
row_12	Tnfrsf1a	713	13.68398666381836	0.35392424	Yes	
row_13	Ccl7	714	13.652294158935547	0.36997592	Yes	
row_14	Il15ra	963	11.28239631652832	0.3707039	Yes	
row_15	Il13ra1	1016	10.783757209777832	0.3807541	Yes	
row_16	Csf1	1135	9.967604637145996	0.3865082	Yes	
row_17	Pdgfc	1162	9.764846801757812	0.39667484	Yes	
row_18	Crlf2	1333	8.555721282958984	0.3981401	Yes	
row_19	Irf1	1643	7.045732021331787	0.39080307	No	
row_20	Il1r2	1894	6.106259822845459	0.38534412	No	
row_21	Pim1	2035	5.588123321533203	0.38483685	No	
row_22	Cxcl11	2089	5.439517974853516	0.38855302	No	
row_23	Il2ra	2179	5.197774887084961	0.39016503	No	
row_24	Myd88	2632	3.9447505474090576	0.37195286	No	
row_25	Ptpn11	3208	2.7584028244018555	0.34612775	No	
row_26	Hax1	3885	1.6676971912384033	0.31391436	No	
row_27	Ltbr	3937	1.6080812215805054	0.31322682	No	
row_28	Cxcl9	4479	0.9004408121109009	0.28693604	No	
row_29	Cntfr	4561	0.8236193656921387	0.28380957	No	
row_30	Cd44	4703	0.6521398425102234	0.27744827	No	
row_31	Il10rb	4857	0.4887232184410095	0.2702882	No	
row_32	Ptpn2	5520	-0.07306107133626938	0.23690763	No	
row_33	Socs1	6698	-0.9372224807739258	0.17850803	No	
row_34	Acvrl1	7627	-1.3618056774139404	0.13319546	No	
row_35	Csf3r	7877	-1.4704978466033936	0.12233657	No	
row_36	Tnfrsf21	8435	-1.7167198657989502	0.09619667	No	
row_37	Ifnar1	8826	-1.8959041833877563	0.078709885	No	
row_38	Pla2g2a	9071	-2.0110275745391846	0.06873928	No	
row_39	Cd38	9288	-2.1177377700805664	0.06030964	No	
row_40	Il3ra	9510	-2.2187325954437256	0.051745977	No	
row_41	Il6	10252	-2.5900919437408447	0.01733109	No	
row_42	Grb2	11312	-3.1537282466888428	-0.032497138	No	
row_43	Tlr2	11636	-3.311523675918579	-0.044932414	No	
row_44	Stat3	11745	-3.3781166076660156	-0.04642038	No	
row_45	Acvr1b	12155	-3.6194839477539062	-0.062841184	No	
row_46	Tgfb1	12611	-3.895955801010132	-0.08126238	No	
row_47	Ccr1	12767	-4.005307197570801	-0.08438895	No	
row_48	Il17ra	12857	-4.06281042098999	-0.08411136	No	
row_49	Csf2ra	13211	-4.312119960784912	-0.0968868	No	
row_50	Ifngr2	13334	-4.386507987976074	-0.0978969	No	
row_51	Il12rb1	13603	-4.5794782638549805	-0.10606094	No	
row_52	Dntt	13638	-4.6000165939331055	-0.10237129	No	
row_53	Cd36	13671	-4.629400253295898	-0.09854599	No	
row_54	Il1b	13741	-4.682857990264893	-0.096528314	No	
row_55	Il1r1	14058	-4.939615249633789	-0.10669549	No	
row_56	A2m	14380	-5.208929538726807	-0.11679879	No	
row_57	Lepr	14919	-5.705610752105713	-0.13728823	No	
row_58	Cbl	15099	-5.898722171783447	-0.1394019	No	
row_59	Tnfrsf1b	15569	-6.401552677154541	-0.1555849	No	
row_60	Inhbe	15602	-6.4528703689575195	-0.14961566	No	
row_61	Il18r1	15668	-6.517742156982422	-0.1452384	No	
row_62	Ptpn1	15742	-6.601951599121094	-0.14116657	No	
row_63	Bak1	16063	-7.01436710357666	-0.14909658	No	
row_64	Reg1	16109	-7.071875095367432	-0.14305674	No	
row_65	Ltb	16327	-7.385904312133789	-0.14534287	No	
row_66	Itga4	16380	-7.454371929168701	-0.13920718	No	
row_67	Csf2	16794	-8.15439510345459	-0.15049829	No	
row_68	Tyk2	16899	-8.305988311767578	-0.14599009	No	
row_69	Itgb3	17100	-8.71247386932373	-0.14585711	No	
row_70	Stam2	17415	-9.352842330932617	-0.15073434	No	
row_71	Cxcl13	17994	-10.834410667419434	-0.16721573	No	
row_72	Pf4	18061	-11.056739807128906	-0.15755232	No	
row_73	Cd14	18218	-11.599616050720215	-0.15180044	No	
row_74	Il17rb	18326	-11.986291885375977	-0.14311679	No	
row_75	Il9r	18418	-12.37093448638916	-0.13317204	No	
row_76	Il4ra	18620	-13.176422119140625	-0.12784113	No	
row_77	Map3k8	18782	-14.024038314819336	-0.1194915	No	
row_78	Pik3r5	18825	-14.22655963897705	-0.10488788	No	
row_79	Hmox1	18932	-14.868213653564453	-0.092765264	No	
row_80	Fas	19086	-15.942245483398438	-0.08175587	No	
row_81	Tnf	19163	-16.5909481048584	-0.06609114	No	
row_82	Ebi3	19526	-21.509321212768555	-0.059101958	No	
row_83	Cxcl2	19726	-27.59508514404297	-0.036717206	No	
row_84	Il2rg	19839	-37.16248321533203	0.0013145655	No	
