NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rtp4	30	48.006996154785156	0.025202367	No	
row_1	Bst2	52	42.50069046020508	0.047796704	No	
row_2	Lpar1	130	32.12104034423828	0.061765112	No	
row_3	Irf7	140	31.359453201293945	0.078766726	No	
row_4	Hif1a	173	29.565187454223633	0.09360004	No	
row_5	Pdpn	176	29.35476303100586	0.10984145	No	
row_6	Osmr	196	28.1826171875	0.124565974	No	
row_7	Adm	290	23.53894805908203	0.13294289	No	
row_8	Ly6e	381	20.141891479492188	0.13958104	No	
row_9	Eif2ak2	411	19.046371459960938	0.1487106	No	
row_10	Cxcl10	426	18.692419052124023	0.1584057	No	
row_11	Chst2	432	18.530555725097656	0.16846827	No	
row_12	Tpbg	445	18.12385368347168	0.17794852	No	
row_13	Tnfsf10	594	15.405733108520508	0.17900105	No	
row_14	Btg2	640	14.572425842285156	0.18482628	No	
row_15	F3	671	14.149209976196289	0.19117853	No	
row_16	Ccl7	714	13.652294158935547	0.19664404	No	
row_17	Mmp14	771	13.00063419342041	0.20103493	No	
row_18	Timp1	942	11.466270446777344	0.19877568	No	
row_19	Il15ra	963	11.28239631652832	0.20404024	No	
row_20	Csf1	1135	9.967604637145996	0.20089577	No	
row_21	Cx3cl1	1613	7.180565357208252	0.18064214	No	
row_22	Irf1	1643	7.045732021331787	0.18309042	No	
row_23	Abca1	1980	5.807533264160156	0.16924101	No	
row_24	Serpine1	2082	5.474064350128174	0.16715367	No	
row_25	Cxcl11	2089	5.439517974853516	0.16987705	No	
row_26	Gabbr1	2251	4.987841606140137	0.16446853	No	
row_27	Pde4b	2286	4.887182712554932	0.16546082	No	
row_28	Ptger4	2325	4.781652450561523	0.16619101	No	
row_29	Acvr2a	2464	4.447526454925537	0.16165103	No	
row_30	Icam1	2494	4.361565589904785	0.1626049	No	
row_31	Plaur	2981	3.1793293952941895	0.13966604	No	
row_32	Klf6	2983	3.1768910884857178	0.14138392	No	
row_33	Itga5	3116	2.908686876296997	0.13629223	No	
row_34	Ifitm1	3383	2.4759879112243652	0.124146916	No	
row_35	Tacr1	3549	2.2094404697418213	0.11698817	No	
row_36	Myc	3646	2.04364275932312	0.11324518	No	
row_37	Adora2b	3649	2.0395429134368896	0.114279	No	
row_38	Slc11a2	4284	1.1158208847045898	0.08266676	No	
row_39	Cxcl9	4479	0.9004408121109009	0.07330484	No	
row_40	Scn1b	4670	0.6908919215202332	0.06402962	No	
row_41	Tlr3	4674	0.6872797608375549	0.06425973	No	
row_42	Calcrl	4840	0.5138789415359497	0.056156997	No	
row_43	Axl	4862	0.48686012625694275	0.055360384	No	
row_44	Adrm1	5050	0.30259963870048523	0.046021506	No	
row_45	Il18	5294	0.11094849556684494	0.033728812	No	
row_46	Best1	5404	0.01979498565196991	0.028198116	No	
row_47	Abi1	5517	-0.0717250183224678	0.022543808	No	
row_48	Nmi	5562	-0.10128001123666763	0.020363173	No	
row_49	Pvr	6013	-0.484412282705307	-0.0022457757	No	
row_50	Pcdh7	6089	-0.5492334365844727	-0.0057531	No	
row_51	Lck	6101	-0.555695652961731	-0.0060029756	No	
row_52	C3ar1	6368	-0.7311103343963623	-0.019119754	No	
row_53	Oprk1	7469	-1.2935640811920166	-0.07432514	No	
row_54	Npffr2	7782	-1.430274248123169	-0.089391366	No	
row_55	Csf3r	7877	-1.4704978466033936	-0.093351774	No	
row_56	Msr1	8362	-1.6916286945343018	-0.11701722	No	
row_57	Aplnr	8626	-1.7948895692825317	-0.12938921	No	
row_58	Ahr	8700	-1.8269803524017334	-0.13208348	No	
row_59	Ifnar1	8826	-1.8959041833877563	-0.13738313	No	
row_60	Ndp	8858	-1.9077303409576416	-0.13789709	No	
row_61	Cd48	9127	-2.0347256660461426	-0.15038978	No	
row_62	Fpr1	9365	-2.149947166442871	-0.16124222	No	
row_63	Inhba	9522	-2.2252726554870605	-0.16793458	No	
row_64	Ptpre	9631	-2.2766778469085693	-0.17215793	No	
row_65	Rela	9656	-2.2879881858825684	-0.1721043	No	
row_66	Mefv	9783	-2.346393585205078	-0.17720397	No	
row_67	Cxcr6	9818	-2.3617751598358154	-0.17761768	No	
row_68	Tacr3	9937	-2.4246935844421387	-0.18226704	No	
row_69	Sell	9978	-2.4526593685150146	-0.1829352	No	
row_70	Kcna3	10062	-2.4965152740478516	-0.1857651	No	
row_71	Csf3	10122	-2.5278918743133545	-0.18735737	No	
row_72	Il6	10252	-2.5900919437408447	-0.19247389	No	
row_73	Olr1	10338	-2.6319589614868164	-0.19533008	No	
row_74	Sele	10654	-2.8038766384124756	-0.20978409	No	
