NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ifitm3	3	75.65223693847656	0.0355465	Yes	
row_1	Ifitm2	11	59.46122360229492	0.0632495	Yes	
row_2	Isg15	29	48.0807991027832	0.08507414	Yes	
row_3	Rtp4	30	48.006996154785156	0.10772779	Yes	
row_4	Bst2	52	42.50069046020508	0.12671603	Yes	
row_5	Ifi44	74	38.88152313232422	0.14399645	Yes	
row_6	Socs3	77	38.25848388671875	0.16194832	Yes	
row_7	Ifit3	83	37.552040100097656	0.17941439	Yes	
row_8	Il7	105	34.996734619140625	0.19486165	Yes	
row_9	Irf7	140	31.359453201293945	0.20793198	Yes	
row_10	Hif1a	173	29.565187454223633	0.22025724	Yes	
row_11	Gbp3	228	26.458375930786133	0.22999857	Yes	
row_12	C1s1	234	26.306379318237305	0.24215803	Yes	
row_13	Rigi	255	25.17331886291504	0.25302058	Yes	
row_14	Zbp1	291	23.468931198120117	0.2623167	Yes	
row_15	Irf9	293	23.404651641845703	0.27331012	Yes	
row_16	Parp14	335	21.610776901245117	0.28142455	Yes	
row_17	Stat1	351	21.038042068481445	0.2905898	Yes	
row_18	Ly6e	381	20.141891479492188	0.29862085	Yes	
row_19	Isoc1	409	19.085439682006836	0.30625498	Yes	
row_20	Eif2ak2	411	19.046371459960938	0.3151918	Yes	
row_21	Cxcl10	426	18.692419052124023	0.32330105	Yes	
row_22	Auts2	454	17.967824935913086	0.33040777	Yes	
row_23	Stat2	506	16.992874145507812	0.33583495	Yes	
row_24	Samd9l	541	16.3234806060791	0.34181008	Yes	
row_25	Xaf1	551	16.218191146850586	0.34900582	Yes	
row_26	Ddx60	556	16.102245330810547	0.35640094	Yes	
row_27	Mx2	582	15.745196342468262	0.36256048	Yes	
row_28	Tnfsf10	594	15.405733108520508	0.36927122	Yes	
row_29	Rnf213	680	14.035985946655273	0.37157544	Yes	
row_30	Sectm1a	693	13.85105037689209	0.37750176	Yes	
row_31	Ccl7	714	13.652294158935547	0.38292778	Yes	
row_32	Ifi44l	721	13.5199556350708	0.3890027	Yes	
row_33	Vcam1	820	12.536230087280273	0.38993868	Yes	
