NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Krt5	5	73.82501220703125	0.05460391	No	
row_1	Copz2	121	33.260276794433594	0.07347346	No	
row_2	Macroh2a2	313	22.656566619873047	0.08060042	No	
row_3	Chst2	432	18.530555725097656	0.088372074	No	
row_4	Mx2	582	15.745196342468262	0.09249822	No	
row_5	Igfbp2	599	15.357152938842773	0.10309655	No	
row_6	Btg2	640	14.572425842285156	0.11189182	No	
row_7	Ifi44l	721	13.5199556350708	0.117871776	No	
row_8	Skil	784	12.83206844329834	0.12425553	No	
row_9	Synpo	1062	10.398489952087402	0.11790226	No	
row_10	Nos1	1405	8.187471389770508	0.10660199	No	
row_11	Edar	1454	7.912335395812988	0.11004161	No	
row_12	Rsad2	1532	7.524661540985107	0.111719064	No	
row_13	Nr4a2	1625	7.115306854248047	0.11232986	No	
row_14	Slc16a7	1708	6.832922458648682	0.11323914	No	
row_15	Sgk1	2293	4.865147113800049	0.087168984	No	
row_16	Gamt	2338	4.758042812347412	0.08846804	No	
row_17	Bmpr1b	2340	4.7565789222717285	0.091951735	No	
row_18	P2rx6	2394	4.603429317474365	0.09267841	No	
row_19	Col2a1	2706	3.785020351409912	0.07968253	No	
row_20	Ypel1	2803	3.567929744720459	0.07745401	No	
row_21	Cldn8	2976	3.189549207687378	0.07108116	No	
row_22	Arpp21	3279	2.6348605155944824	0.057688087	No	
row_23	Plag1	3448	2.3808956146240234	0.050917666	No	
row_24	Fgf16	3589	2.139486074447632	0.04539113	No	
row_25	Dlk2	3717	1.9377119541168213	0.04037546	No	
row_26	Stag3	3764	1.8761004209518433	0.03943133	No	
row_27	Cpa2	3929	1.6172113418579102	0.03229675	No	
row_28	Gprc5c	4545	0.8404868841171265	0.001660183	No	
row_29	Cntfr	4561	0.8236193656921387	0.0015097337	No	
row_30	Dtnb	4625	0.7336825132369995	-0.0011474383	No	
row_31	Cyp39a1	4788	0.5661399364471436	-0.008961386	No	
row_32	Nr6a1	4835	0.5180565118789673	-0.010914657	No	
row_33	Fgf22	4898	0.4536435604095459	-0.01372909	No	
row_34	Prop1	5095	0.2789801061153412	-0.023484679	No	
row_35	Tex15	5097	0.2761610150337219	-0.0233303	No	
row_36	Brdt	5142	0.24069572985172272	-0.02538801	No	
row_37	Ptgfr	5305	0.10328959673643112	-0.033545893	No	
row_38	Idua	5556	-0.10027844458818436	-0.04617915	No	
row_39	Sidt1	5606	-0.13161253929138184	-0.048572075	No	
row_40	Fggy	5642	-0.16372662782669067	-0.0502295	No	
row_41	Dcc	5813	-0.3185580372810364	-0.05863407	No	
row_42	Gdnf	6290	-0.685464084148407	-0.08232031	No	
row_43	Nrip2	6439	-0.7896786332130432	-0.08925652	No	
row_44	Fshb	6635	-0.9022989273071289	-0.0984981	No	
row_45	Prkn	6749	-0.9653739929199219	-0.103524655	No	
row_46	Ccr8	6783	-0.9826058149337769	-0.10447193	No	
row_47	Pcdhb1	6870	-1.034361481666565	-0.108074784	No	
row_48	Ntf3	6962	-1.0725352764129639	-0.11190343	No	
row_49	Cd40lg	7048	-1.1114118099212646	-0.115398206	No	
row_50	Zfp112	7297	-1.213790774345398	-0.12710236	No	
row_51	Wnt16	7309	-1.2217216491699219	-0.12675367	No	
row_52	Htr1d	7467	-1.291082739830017	-0.13377477	No	
row_53	Irs4	7546	-1.326066017150879	-0.13675421	No	
row_54	Bard1	7704	-1.398667573928833	-0.14369537	No	
row_55	Cyp11b2	8283	-1.6605325937271118	-0.17184183	No	
row_56	Tcl1	8481	-1.734299898147583	-0.18056682	No	
row_57	Gpr19	8492	-1.7374078035354614	-0.1797841	No	
row_58	Adra2c	8837	-1.9004440307617188	-0.19585781	No	
row_59	Gpr3	8925	-1.939427137374878	-0.19883896	No	
row_60	Cldn16	9207	-2.080697774887085	-0.21157636	No	
row_61	Abcg4	9213	-2.083209753036499	-0.21028252	No	
row_62	Insl5	9409	-2.1663613319396973	-0.2185848	No	
row_63	Ambn	9446	-2.187028408050537	-0.21878958	No	
row_64	Mefv	9783	-2.346393585205078	-0.23412526	No	
row_65	Cpb1	9886	-2.3974006175994873	-0.23752856	No	
row_66	Nphs1	9904	-2.4060158729553223	-0.23660482	No	
row_67	Zc2hc1c	10003	-2.470079183578491	-0.2397508	No	
row_68	Pdk2	10046	-2.489333152770996	-0.24003592	No	
row_69	Krt15	10079	-2.503289222717285	-0.23980238	No	
row_70	Kcnd1	10206	-2.569561719894409	-0.24429768	No	
row_71	Ccdc106	10239	-2.58620285987854	-0.24400252	No	
row_72	Pdcd1	10280	-2.6037871837615967	-0.24410094	No	
row_73	Ybx2	10467	-2.701192617416382	-0.25154832	No	
row_74	Magix	10503	-2.7201037406921387	-0.25130615	No	
row_75	Asb7	10591	-2.765162229537964	-0.2536737	No	
row_76	Gp1ba	10684	-2.820617437362671	-0.2562542	No	
row_77	Zbtb16	10791	-2.8735342025756836	-0.25950703	No	
row_78	Pde6b	10823	-2.8889358043670654	-0.25893608	No	
row_79	Itgb1bp2	11079	-3.0236856937408447	-0.26965114	No	
row_80	Ccna1	11103	-3.0358660221099854	-0.26856437	No	
row_81	Prodh	11223	-3.0905709266662598	-0.27231672	No	
row_82	Pax4	11563	-3.276811361312866	-0.28711352	No	
row_83	Clstn3	11618	-3.302537202835083	-0.28740436	No	
row_84	Ifng	11796	-3.4076781272888184	-0.29386926	No	
row_85	Smpx	11950	-3.4925289154052734	-0.2990512	No	
row_86	P2ry4	12139	-3.612396240234375	-0.3059231	No	
row_87	Egf	12159	-3.622274875640869	-0.30419725	No	
row_88	Slc5a5	12183	-3.639376401901245	-0.30266201	No	
row_89	Ribc2	12249	-3.6782100200653076	-0.30323282	No	
row_90	Scn10a	12280	-3.6982007026672363	-0.3020097	No	
row_91	Vps50	12297	-3.707709312438965	-0.30006784	No	
row_92	Kcne2	12462	-3.8071789741516113	-0.3055751	No	
row_93	Tnni3	12518	-3.840772867202759	-0.3055168	No	
row_94	Slc30a3	12638	-3.9091145992279053	-0.30866092	No	
row_95	Efhd1	12647	-3.916433334350586	-0.30615732	No	
row_96	Ryr1	12694	-3.9499030113220215	-0.30556044	No	
row_97	Edn2	12792	-4.019764423370361	-0.30750406	No	
row_98	Pkp1	13023	-4.1807379722595215	-0.31608856	No	
row_99	Rgs11	13034	-4.189626693725586	-0.31348366	No	
row_100	Actc1	13103	-4.2363739013671875	-0.31379217	No	
row_101	Fgfr3	13124	-4.2539567947387695	-0.31164777	No	
row_102	Tshb	13152	-4.2764692306518555	-0.30984244	No	
row_103	Sprr3	13184	-4.295336723327637	-0.3082264	No	
row_104	Ngb	13306	-4.365457534790039	-0.3111331	No	
