NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mpzl2	152	30.691150665283203	0.009891329	No	
row_1	Plek2	156	30.57679557800293	0.027292766	No	
row_2	Id2	162	30.297395706176758	0.04443211	No	
row_3	Mmp9	280	23.95065689086914	0.0522333	No	
row_4	G0s2	358	20.819257736206055	0.060270533	No	
row_5	Cxcl10	426	18.692419052124023	0.0675952	No	
row_6	Sox9	450	18.018579483032227	0.07677016	No	
row_7	Angptl4	748	13.194602966308594	0.06924443	No	
row_8	Cidea	971	11.1681547164917	0.064368635	No	
row_9	Mmd	1078	10.329839706420898	0.06490947	No	
row_10	Prrx1	1180	9.644124984741211	0.065310866	No	
row_11	Fgf9	1226	9.294082641601562	0.06835857	No	
row_12	Ets1	1255	9.11452579498291	0.07216754	No	
row_13	Spry2	1307	8.728507041931152	0.07458548	No	
row_14	Zfp639	1342	8.477476119995117	0.07772365	No	
row_15	Gng11	1393	8.252988815307617	0.07991945	No	
row_16	Emp1	1501	7.679675579071045	0.078888	No	
row_17	Tspan7	1511	7.623608589172363	0.08280707	No	
row_18	Tnfaip3	1516	7.610663414001465	0.08697294	No	
row_19	F2rl1	1573	7.321255683898926	0.088328764	No	
row_20	Ptbp2	1724	6.755386829376221	0.08458039	No	
row_21	Mmp11	1764	6.608171463012695	0.086391196	No	
row_22	Gprc5b	1832	6.363765716552734	0.08663805	No	
row_23	Peg3	2037	5.575477600097656	0.07946672	No	
row_24	Kif5c	2075	5.494553565979004	0.080739886	No	
row_25	Trib2	2364	4.682305812835693	0.06878489	No	
row_26	Mafb	2604	4.0289411544799805	0.05894617	No	
row_27	Dusp6	2742	3.708263874053955	0.054109436	No	
row_28	Wdr33	2752	3.682497262954712	0.055765938	No	
row_29	Igfbp3	2961	3.230079412460327	0.047044758	No	
row_30	Plaur	2981	3.1793293952941895	0.047903955	No	
row_31	Nin	3144	2.8729467391967773	0.04131657	No	
row_32	Clec4a3	3292	2.6174395084381104	0.035345156	No	
row_33	Tmem100	3427	2.4099204540252686	0.02991558	No	
row_34	Nap1l2	3458	2.362852096557617	0.029746762	No	
row_35	Ly96	3545	2.2159531116485596	0.026646342	No	
row_36	St6gal1	3581	2.1522529125213623	0.0261024	No	
row_37	Psmb8	3853	1.7129302024841309	0.013307056	No	
row_38	Cfh	3875	1.6822779178619385	0.0132051185	No	
row_39	Fbxo4	3895	1.6553000211715698	0.013189381	No	
row_40	Zfp277	4081	1.3773157596588135	0.004573948	No	
row_41	Cbr4	4092	1.3625454902648926	0.004847738	No	
row_42	Nrp1	4301	1.0940684080123901	-0.0050997175	No	
row_43	Tmem176b	4361	1.0355216264724731	-0.007505027	No	
row_44	Ptcd2	4612	0.7487210631370544	-0.019786192	No	
row_45	Scn1b	4670	0.6908919215202332	-0.022287665	No	
row_46	Gadd45g	4937	0.40399861335754395	-0.035580236	No	
row_47	Scg5	4976	0.3609720468521118	-0.03730508	No	
row_48	Evi5	5406	0.018428783863782883	-0.059106577	No	
row_49	Gfpt2	5580	-0.11224505305290222	-0.067838155	No	
row_50	Ccser2	5594	-0.12187276780605316	-0.06842916	No	
row_51	Il33	5688	-0.19807133078575134	-0.07304394	No	
row_52	Atg10	5818	-0.3214417099952698	-0.07941828	No	
row_53	Akt2	5925	-0.40801095962524414	-0.08457351	No	
row_54	Yrdc	6007	-0.47730329632759094	-0.08841786	No	
row_55	Mtmr10	6111	-0.5633585453033447	-0.09333137	No	
row_56	Klf4	6182	-0.6058656573295593	-0.09654263	No	
row_57	C3ar1	6368	-0.7311103343963623	-0.10552904	No	
row_58	Gucy1a1	6666	-0.9189344048500061	-0.12010215	No	
row_59	Etv5	6729	-0.9528889656066895	-0.122707434	No	
row_60	Adgrl4	7338	-1.235908031463623	-0.15291107	No	
row_61	Gabra3	7574	-1.3410738706588745	-0.1640895	No	
row_62	Cdadc1	7747	-1.4171825647354126	-0.17202108	No	
row_63	Pdcd1lg2	8086	-1.5660529136657715	-0.18830729	No	
row_64	Mycn	8406	-1.7065577507019043	-0.2035468	No	
row_65	Tlr8	8594	-1.7813358306884766	-0.21203198	No	
row_66	Adgra2	8883	-1.9193458557128906	-0.22557317	No	
row_67	Flt4	9476	-2.203958749771118	-0.25440755	No	
row_68	Inhba	9522	-2.2252726554870605	-0.255418	No	
row_69	Mmp10	9790	-2.348461866378784	-0.26764512	No	
row_70	Gypc	10264	-2.5958304405212402	-0.29020408	No	
row_71	Adamdec1	10426	-2.6775662899017334	-0.2968528	No	
row_72	Ngf	10510	-2.7221052646636963	-0.2995101	No	
row_73	Hoxd11	10571	-2.7557828426361084	-0.30097866	No	
row_74	Avl9	10621	-2.781982898712158	-0.3018729	No	
row_75	Nr0b2	10901	-2.929511547088623	-0.31437656	No	
row_76	Tmem158	11110	-3.0391526222229004	-0.32320735	No	
row_77	Cmklr1	11409	-3.1988720893859863	-0.3365224	No	
row_78	Ammecr1	11418	-3.201117753982544	-0.3350914	No	
row_79	Ccnd2	11522	-3.256392002105713	-0.33845887	No	
row_80	Rbm4	11690	-3.3440709114074707	-0.34503	No	
row_81	Cxcr4	11763	-3.3876500129699707	-0.34674594	No	
row_82	Eng	11899	-3.465562343597412	-0.35162032	No	
row_83	Spon1	11908	-3.47282338142395	-0.35003334	No	
row_84	Wnt7a	12182	-3.639077663421631	-0.3618246	No	
row_85	Tor1aip2	12227	-3.6691927909851074	-0.36195526	No	
row_86	Nr1h4	12469	-3.8101601600646973	-0.3720213	No	
row_87	Igf2	12591	-3.877701759338379	-0.37594724	No	
row_88	Ppbp	12836	-4.05375337600708	-0.38602594	No	
row_89	Cbx8	12858	-4.062838077545166	-0.3847612	No	
row_90	Prdm1	12997	-4.163074970245361	-0.3893877	No	
row_91	Ereg	13028	-4.187827110290527	-0.3885088	No	
row_92	Itgb2	13039	-4.191616058349609	-0.38661087	No	
row_93	Map4k1	13046	-4.195486545562744	-0.38450733	No	
row_94	Pcsk1n	13066	-4.215761661529541	-0.3830531	No	
row_95	Sparcl1	13141	-4.2614946365356445	-0.38436908	No	
row_96	Lat2	13194	-4.3029046058654785	-0.38454267	No	
row_97	Rbp4	13199	-4.30684757232666	-0.38227352	No	
row_98	Csf2ra	13211	-4.312119960784912	-0.38035724	No	
row_99	Dcbld2	13220	-4.319143295288086	-0.3782844	No	
row_100	Il1b	13741	-4.682857990264893	-0.40203488	No	
row_101	Tfpi	14000	-4.874182224273682	-0.41235438	No	
row_102	Tmem176a	14156	-5.01580810546875	-0.41735566	No	
row_103	Etv4	14186	-5.043673038482666	-0.4159346	No	
row_104	Hkdc1	14300	-5.144766807556152	-0.41872638	No	
row_105	H2bc3	14504	-5.325571537017822	-0.42599034	No	
row_106	Plau	14634	-5.444401264190674	-0.4294236	No	
row_107	Scg3	14846	-5.632983684539795	-0.43691784	No	
row_108	Ptprr	14884	-5.670097827911377	-0.4355439	No	
row_109	Lif	15038	-5.835608959197998	-0.43997285	No	
row_110	Cbl	15099	-5.898722171783447	-0.43963706	No	
row_111	Plat	15143	-5.963543891906738	-0.4383997	No	
row_112	F13a1	15380	-6.194068908691406	-0.4468429	No	
row_113	Ace	15389	-6.204315185546875	-0.4436878	No	
row_114	Map7	15548	-6.386951923370361	-0.44805443	No	
row_115	Tnfrsf1b	15569	-6.401552677154541	-0.4453962	No	
row_116	Epb41l3	15700	-6.5599365234375	-0.44823992	No	
row_117	Gpnmb	15716	-6.574814319610596	-0.445228	No	
row_118	Aldh1a2	15760	-6.629875183105469	-0.44360813	No	
