NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Serpinh1	19	54.70476150512695	0.032369282	No	
row_1	Igfbp5	55	42.14790725708008	0.056273576	No	
row_2	Ppia	134	31.86312484741211	0.071724966	No	
row_3	Plod2	206	27.543872833251953	0.084900185	No	
row_4	Cd9	315	22.605676651000977	0.09318549	No	
row_5	Ddit4	384	20.02067756652832	0.101928845	No	
row_6	Slc7a11	494	17.14803695678711	0.10683764	No	
row_7	Bhlhe40	509	16.94983673095703	0.11645461	No	
row_8	Btg2	640	14.572425842285156	0.11872647	No	
row_9	Hspe1	717	13.575082778930664	0.12313546	No	
row_10	Ppa1	957	11.332637786865234	0.117892526	No	
row_11	Psmc6	1081	10.313894271850586	0.11792521	No	
row_12	Slc1a4	1085	10.294224739074707	0.12404564	No	
row_13	Sec11a	1094	10.254998207092285	0.12988801	No	
row_14	Cacybp	1119	10.038345336914062	0.13478506	No	
row_15	Srd5a1	1142	9.939262390136719	0.13972339	No	
row_16	Fads2	1233	9.263957977294922	0.14079371	No	
row_17	Psat1	1303	8.765639305114746	0.14262784	No	
row_18	Gmps	1346	8.459829330444336	0.14564803	No	
row_19	Mthfd2l	1356	8.419469833374023	0.15032107	No	
row_20	Pdap1	1368	8.375359535217285	0.15486556	No	
row_21	P4ha1	1427	8.047385215759277	0.15682113	No	
row_22	Psph	1589	7.262505531311035	0.15306284	No	
row_23	Gpi1	1698	6.869940757751465	0.15175937	No	
row_24	Prdx1	1706	6.8413825035095215	0.15557244	No	
row_25	Psmc2	1874	6.187467575073242	0.15085407	No	
row_26	Fads1	1971	5.8428521156311035	0.1495347	No	
row_27	Txnrd1	1995	5.743840217590332	0.15186566	No	
row_28	Nufip1	2339	4.757691383361816	0.13732977	No	
row_29	Mcm4	2363	4.682796478271484	0.13901417	No	
row_30	Psmd12	2389	4.6071696281433105	0.14055084	No	
row_31	Mcm2	2500	4.345063209533691	0.13760714	No	
row_32	Add3	2502	4.340726375579834	0.14020139	No	
row_33	Vldlr	2506	4.325378894805908	0.14268462	No	
row_34	Idh1	2509	4.314792156219482	0.14521223	No	
row_35	Psmg1	2511	4.309744358062744	0.1477876	No	
row_36	Psma3	2775	3.613126754760742	0.13662073	No	
row_37	Tomm40	2859	3.4194772243499756	0.13448545	No	
row_38	Rdh11	2917	3.3092222213745117	0.1336046	No	
row_39	Tcea1	2925	3.2911572456359863	0.1352543	No	
row_40	Pitpnb	3015	3.1068902015686035	0.13262355	No	
row_41	Arpc5l	3153	2.8596689701080322	0.12740228	No	
row_42	Elovl6	3205	2.7601349353790283	0.12649181	No	
row_43	Sord	3241	2.6971447467803955	0.12635626	No	
row_44	Psma4	3251	2.6787912845611572	0.12753114	No	
row_45	Gsr	3342	2.5424811840057373	0.12450564	No	
row_46	Gga2	3510	2.285787582397461	0.11740972	No	
row_47	Rrp9	3578	2.1537766456604004	0.11531647	No	
row_48	Eef1e1	3667	2.013011932373047	0.11206999	No	
row_49	Pfkl	3674	2.00207257270813	0.11298499	No	
row_50	Pnp	3741	1.9144483804702759	0.110796735	No	
row_51	Egln3	3778	1.857431173324585	0.11009867	No	
row_52	Eno1b	3898	1.6529792547225952	0.10505703	No	
row_53	Nfil3	3984	1.5327669382095337	0.1016704	No	
row_54	Stip1	3992	1.5090410709381104	0.10223414	No	
row_55	Psmb5	4055	1.4142332077026367	0.09994439	No	
row_56	Dhfr	4062	1.397917628288269	0.10049125	No	
row_57	Ssr1	4089	1.3661359548568726	0.10000211	No	
row_58	Pdk1	4171	1.2565778493881226	0.0966505	No	
row_59	Ung	4375	1.0192360877990723	0.08695288	No	
row_60	Psmc4	4750	0.6073246598243713	0.06831213	No	
row_61	Stc1	4945	0.3976360559463501	0.058693204	No	
row_62	Abcf2	5317	0.09735510498285294	0.039894197	No	
row_63	Slc6a6	5624	-0.14430585503578186	0.024427818	No	
row_64	Ifrd1	5761	-0.2696813941001892	0.017679125	No	
