NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Npm1	124	33.143672943115234	0.09817973	Yes	
row_1	Cdk4	169	29.816036224365234	0.18991227	Yes	
row_2	Hspe1	717	13.575082778930664	0.2050752	Yes	
row_3	Cbx3	750	13.17963981628418	0.24499033	Yes	
row_4	Wdr43	868	12.068391799926758	0.2771128	Yes	
row_5	Gnl3	1170	9.724873542785645	0.2925619	Yes	
row_6	Mrto4	1415	8.111119270324707	0.30580333	Yes	
row_7	Wdr74	1436	8.00156307220459	0.33000752	Yes	
row_8	Mybbp1a	1452	7.9262309074401855	0.35422674	Yes	
row_9	Grwd1	1608	7.198496341705322	0.3690853	Yes	
row_10	Nop16	1720	6.779982089996338	0.3848463	Yes	
row_11	Ppan	1819	6.404260158538818	0.4000796	Yes	
row_12	Nip7	1922	6.022002220153809	0.41390646	Yes	
row_13	Ndufaf4	2003	5.708218574523926	0.42785513	Yes	
row_14	Srm	2026	5.626495361328125	0.44447425	Yes	
row_15	Pprc1	2073	5.495483875274658	0.459469	Yes	
row_16	Ddx18	2080	5.484249114990234	0.47644758	Yes	
row_17	Ipo4	2118	5.35504150390625	0.4914541	Yes	
row_18	Aimp2	2226	5.0758209228515625	0.502047	Yes	
row_19	Tcof1	2300	4.847630500793457	0.51363724	Yes	
row_20	Mcm4	2363	4.682796478271484	0.52526337	Yes	
row_21	Noc4l	2477	4.404910087585449	0.5334393	Yes	
row_22	Mcm5	2530	4.268242835998535	0.54426396	Yes	
row_23	Rabepk	3130	2.892111301422119	0.5231385	Yes	
row_24	Utp20	3158	2.851086139678955	0.53075963	Yes	
row_25	Sord	3241	2.6971447467803955	0.5351191	Yes	
row_26	Exosc5	3294	2.61639666557312	0.5407386	Yes	
row_27	Rrp9	3578	2.1537766456604004	0.53323895	Yes	
row_28	Nop56	3586	2.143665075302124	0.53964055	Yes	
row_29	Myc	3646	2.04364275932312	0.54310185	Yes	
row_30	Mphosph10	3833	1.7492220401763916	0.53922415	Yes	
row_31	Tfb2m	3836	1.7465710639953613	0.54462683	Yes	
row_32	Bysl	3944	1.5921239852905273	0.5442422	No	
row_33	Ung	4375	1.0192360877990723	0.52574664	No	
row_34	Pus1	4549	0.8361335396766663	0.519648	No	
row_35	Prmt3	4637	0.7248907685279846	0.5175403	No	
row_36	Nolc1	4696	0.6605074405670166	0.51669365	No	
row_37	Pes1	4755	0.6036560535430908	0.51566786	No	
row_38	Slc29a2	5125	0.2576291561126709	0.4978518	No	
row_39	Nop2	5513	-0.06683129817247391	0.47852582	No	
row_40	Pa2g4	5639	-0.1593446135520935	0.47271764	No	
row_41	Rcl1	6222	-0.631808340549469	0.44532797	No	
row_42	Farsa	6289	-0.6836341023445129	0.44415036	No	
row_43	Hspd1	8094	-1.5706539154052734	0.35802996	No	
row_44	Slc19a1	8741	-1.8491085767745972	0.33124527	No	
row_45	Dctpp1	9765	-2.339123010635376	0.28697294	No	
row_46	Imp4	10085	-2.5066044330596924	0.27876773	No	
row_47	Rrp12	10586	-2.76320481300354	0.26223385	No	
row_48	Supv3l1	11580	-3.285383701324463	0.22245775	No	
row_49	Tbrg4	12256	-3.6830363273620605	0.199988	No	
row_50	Las1l	12897	-4.085539817810059	0.18055345	No	
row_51	Plk1	15247	-6.064017295837402	0.08107941	No	
row_52	Dusp2	16312	-7.375790596008301	0.05060841	No	
row_53	Tmem97	16651	-7.914911270141602	0.058486253	No	
row_54	Hk2	17496	-9.542072296142578	0.04594752	No	
row_55	Map3k6	17740	-10.10818099975586	0.0655324	No	
row_56	Plk4	18641	-13.230758666992188	0.06179015	No	
