NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Zfp36l1	6	65.5508804321289	0.031160887	Yes	
row_1	Krt17	46	43.12019729614258	0.04987667	Yes	
row_2	Jun	76	38.48012161254883	0.06687355	Yes	
row_3	S100a10	88	36.69828796386719	0.0839303	Yes	
row_4	Rack1	100	35.546138763427734	0.10043399	Yes	
row_5	Trp63	132	32.03225326538086	0.11423405	Yes	
row_6	Dram1	145	31.013410568237305	0.12851109	Yes	
row_7	Phlda3	165	29.973785400390625	0.14193316	Yes	
row_8	Rrad	172	29.573537826538086	0.15582408	Yes	
row_9	Perp	184	28.924617767333984	0.1691493	Yes	
row_10	Rpl36	190	28.555503845214844	0.18260238	Yes	
row_11	Rpl18	194	28.340896606445312	0.19605415	Yes	
row_12	Cd81	209	27.42868423461914	0.20850873	Yes	
row_13	Ier3	253	25.268749237060547	0.21845202	Yes	
row_14	Hint1	271	24.503808975219727	0.22935008	Yes	
row_15	Fos	292	23.449758529663086	0.23958963	Yes	
row_16	Atf3	338	21.52808952331543	0.24763563	Yes	
row_17	Ddit4	384	20.02067756652832	0.25495803	Yes	
row_18	Itgb4	404	19.2409610748291	0.26322812	Yes	
row_19	Tax1bp3	483	17.363536834716797	0.2675972	Yes	
row_20	Slc7a11	494	17.14803695678711	0.2753202	Yes	
row_21	Jag2	573	15.97199535369873	0.2790213	Yes	
row_22	Pdgfa	592	15.438746452331543	0.28551707	Yes	
row_23	Btg2	640	14.572425842285156	0.2901225	Yes	
row_24	Sfn	649	14.479522705078125	0.29666626	Yes	
row_25	Serpinb5	901	11.769513130187988	0.28955406	Yes	
row_26	Rap2b	913	11.714391708374023	0.29461795	Yes	
row_27	Clca2	924	11.616708755493164	0.2996858	Yes	
row_28	Trafd1	929	11.533114433288574	0.3050186	Yes	
row_29	F2r	940	11.47842025756836	0.31002006	Yes	
row_30	Rchy1	948	11.424210548400879	0.31514803	Yes	
row_31	Slc35d1	1018	10.757040023803711	0.31680343	Yes	
row_32	Rrp8	1049	10.505349159240723	0.32032093	Yes	
row_33	Ptpn14	1093	10.257655143737793	0.32305855	Yes	
row_34	Tsc22d1	1123	10.02686882019043	0.3263972	Yes	
row_35	Fam162a	1249	9.132872581481934	0.3244257	Yes	
row_36	Rps12	1265	9.030560493469238	0.32799792	Yes	
row_37	Trp53	1283	8.879619598388672	0.33139598	Yes	
row_38	Rps27l	1617	7.171526908874512	0.31790742	No	
row_39	Wwp1	1673	6.949764728546143	0.31844705	No	
row_40	Ercc5	1863	6.208687782287598	0.31181785	No	
row_41	H2ac25	1909	6.052746295928955	0.31243533	No	
row_42	Cgrrf1	1910	6.05119514465332	0.31534004	No	
row_43	Slc3a2	2025	5.629933834075928	0.31224632	No	
row_44	App	2063	5.519039630889893	0.31301436	No	
row_45	Mxd4	2105	5.384866237640381	0.31351462	No	
row_46	Cdkn2aip	2139	5.315629482269287	0.3143884	No	
row_47	Ralgds	2215	5.096639156341553	0.3130216	No	
row_48	Notch1	2332	4.7711591720581055	0.30941397	No	
row_49	Wrap73	2384	4.6284894943237305	0.3090427	No	
row_50	Cdk5r1	2479	4.4008049964904785	0.30637586	No	
row_51	Sdc1	2558	4.182143688201904	0.30441755	No	
row_52	Dnttip2	2593	4.0663065910339355	0.30464077	No	
row_53	Btg1	2760	3.658708095550537	0.29795694	No	
row_54	Nhlh2	2824	3.5177431106567383	0.29644236	No	
row_55	Zfp365	2828	3.5077381134033203	0.29797363	No	
row_56	Ctsf	3005	3.1230721473693848	0.29052424	No	
row_57	Sp1	3078	2.989065408706665	0.28829828	No	
row_58	Nol8	3463	2.359414577484131	0.26990676	No	
row_59	Prmt2	3471	2.3417046070098877	0.2706749	No	
row_60	Csrnp2	3530	2.248685359954834	0.26880538	No	
row_61	Gpx2	3535	2.2325501441955566	0.26967368	No	
row_62	Tap1	3630	2.0761139392852783	0.26589093	No	
row_63	Sertad3	3669	2.0119969844818115	0.26492468	No	
row_64	Hdac3	3705	1.9504772424697876	0.2640814	No	
row_65	Pmm1	3706	1.9500285387039185	0.26501745	No	
row_66	Triap1	3758	1.8849881887435913	0.26332927	No	
row_67	Abhd4	3830	1.757932424545288	0.26056316	No	
row_68	Xpc	4067	1.3933171033859253	0.24923281	No	
row_69	Pom121	4098	1.351643443107605	0.24835631	No	
row_70	Tpd52l1	4480	0.8997356295585632	0.22941664	No	
row_71	Rxra	4493	0.8887495398521423	0.22923313	No	
row_72	Dgka	4653	0.7067426443099976	0.2214882	No	
row_73	Rhbdf2	4867	0.4820423126220703	0.21088982	No	
row_74	Elp1	4894	0.4554385840892792	0.20978649	No	
row_75	Sesn1	5139	0.2478758543729782	0.19749953	No	
row_76	Ephx1	5973	-0.4480217397212982	0.15536153	No	
row_77	Pcna	6154	-0.5862319469451904	0.14649102	No	
row_78	Klf4	6182	-0.6058656573295593	0.14540906	No	
row_79	Steap3	6321	-0.7001547813415527	0.13872868	No	
row_80	Tprkb	6390	-0.7486558556556702	0.13563065	No	
row_81	Tspyl2	6456	-0.8043010234832764	0.13271187	No	
row_82	Socs1	6698	-0.9372224807739258	0.120908365	No	
row_83	Ccnd3	6713	-0.9450724720954895	0.1206502	No	
row_84	Ip6k2	6797	-0.9928527474403381	0.11690674	No	
row_85	Vamp8	6978	-1.0785127878189087	0.10827253	No	
row_86	Fgf13	7826	-1.4454646110534668	0.06590151	No	
row_87	Slc19a2	7834	-1.448401689529419	0.06624087	No	
row_88	Ankra2	7956	-1.510169267654419	0.06081366	No	
row_89	Polh	8130	-1.58725106716156	0.052779566	No	
row_90	Rad9a	8183	-1.612362027168274	0.05090965	No	
row_91	Cebpa	9167	-2.056696653366089	0.0019172488	No	
row_92	Apaf1	9349	-2.1410293579101562	-0.006257773	No	
row_93	Ptpre	9631	-2.2766778469085693	-0.019452082	No	
row_94	Pidd1	9768	-2.339372158050537	-0.025243914	No	
row_95	Abcc5	10004	-2.470395565032959	-0.03600641	No	
row_96	Zbtb16	10791	-2.8735342025756836	-0.07459044	No	
row_97	Nudt15	10911	-2.937382936477661	-0.07923086	No	
row_98	Tm7sf3	10964	-2.9615705013275146	-0.08045313	No	
row_99	Rab40c	11030	-2.9964685440063477	-0.08231961	No	
row_100	Ddb2	11072	-3.0221126079559326	-0.082953535	No	
row_101	Blcap	11230	-3.0947911739349365	-0.08945047	No	
row_102	Tm4sf1	11284	-3.1307859420776367	-0.090642355	No	
row_103	Irak1	11399	-3.1916301250457764	-0.09490652	No	
row_104	Ccnd2	11522	-3.256392002105713	-0.099546336	No	
row_105	Il1a	11844	-3.437969923019409	-0.11421696	No	
row_106	Acvr1b	12155	-3.6194839477539062	-0.12824117	No	
row_107	Retsat	12456	-3.8032419681549072	-0.14166872	No	
row_108	Ei24	12483	-3.820098400115967	-0.14115693	No	
row_109	Ccnk	12588	-3.8758747577667236	-0.1445842	No	
row_110	Tgfb1	12611	-3.895955801010132	-0.14383262	No	
row_111	Ndrg1	12853	-4.062008857727051	-0.15413617	No	
row_112	Hras	13057	-4.2100749015808105	-0.16243656	No	
row_113	Ppm1d	13114	-4.246354103088379	-0.16324548	No	
row_114	Bax	13323	-4.3817620277404785	-0.17171769	No	
row_115	Rad51c	13531	-4.5243353843688965	-0.18007061	No	
row_116	Mapkapk3	13536	-4.528732776641846	-0.1781001	No	
row_117	Foxo3	13683	-4.636242866516113	-0.18329781	No	
row_118	Iscu	13695	-4.646388530731201	-0.18162672	No	
row_119	Traf4	13702	-4.649441719055176	-0.17969994	No	
row_120	Cd82	14085	-4.953561305999756	-0.19674453	No	
