NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Isl1	309	22.785429000854492	0.056571666	No	
row_1	Sec11a	1094	10.254998207092285	0.04950497	No	
row_2	Lmo2	1272	8.976637840270996	0.069004804	No	
row_3	Spcs1	1449	7.928796291351318	0.08523678	No	
row_4	Dcx	1658	7.010550022125244	0.09694692	No	
row_5	Foxo1	2174	5.209181308746338	0.08746858	No	
row_6	Mafb	2604	4.0289411544799805	0.07859019	No	
row_7	Elp4	2891	3.366309881210327	0.074825786	No	
row_8	Srprb	3911	1.639884352684021	0.028624382	No	
row_9	Nkx6-1	8829	-1.8968720436096191	-0.2133638	No	
row_10	Pak3	8935	-1.9459112882614136	-0.21249732	No	
row_11	Neurod1	9110	-2.0224034786224365	-0.21486872	No	
row_12	Nkx2-2	9113	-2.0261054039001465	-0.20855336	No	
row_13	Slc2a2	9397	-2.162731409072876	-0.21597794	No	
row_14	G6pc2	11106	-3.036454439163208	-0.2925073	No	
row_15	Pdx1	11231	-3.0952847003936768	-0.2889593	No	
row_16	Neurog3	11473	-3.227921962738037	-0.29089233	No	
row_17	Pax4	11563	-3.276811361312866	-0.2850042	No	
row_18	Pax6	11695	-3.3452579975128174	-0.28101766	No	
row_19	Akt3	13410	-4.430691719055176	-0.35343438	No	
row_20	Srp14	13594	-4.572691917419434	-0.3481835	No	
row_21	Sst	15059	-5.858351230621338	-0.4034701	Yes	
row_22	Syt13	15321	-6.131043910980225	-0.3972183	Yes	
row_23	Scgn	15372	-6.189133167266846	-0.38014045	Yes	
row_24	Pcsk1	15764	-6.632781028747559	-0.37885648	Yes	
row_25	Pcsk2	15925	-6.830773830413818	-0.36529472	Yes	
row_26	Gck	16544	-7.731207370758057	-0.3719813	Yes	
row_27	Gcg	16721	-8.035061836242676	-0.35541278	Yes	
row_28	Foxa2	17019	-8.532675743103027	-0.34337124	Yes	
row_29	Ins2	17061	-8.6380033493042	-0.31808445	Yes	
row_30	Pklr	17534	-9.625022888183594	-0.31141004	Yes	
row_31	Stxbp1	17924	-10.623757362365723	-0.29738662	Yes	
row_32	Dpp4	18168	-11.42948055267334	-0.27344796	Yes	
row_33	Iapp	18728	-13.70703125	-0.25823468	Yes	
row_34	Chga	18895	-14.633662223815918	-0.22026548	Yes	
row_35	Abcc8	19347	-18.670692443847656	-0.18388623	Yes	
row_36	Hnf1a	19413	-19.625490188598633	-0.12501495	Yes	
row_37	Vdr	19414	-19.633487701416016	-0.06283998	Yes	
row_38	Insm1	19710	-27.010517120361328	0.0078177275	Yes	
