NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdk4	169	29.816036224365234	0.031404518	No	
row_1	Stat2	506	16.992874145507812	0.03717362	No	
row_2	Tiam1	521	16.63799285888672	0.058761865	No	
row_3	Gna14	542	16.308347702026367	0.07960472	No	
row_4	Egfr	549	16.25817108154297	0.10108881	No	
row_5	Sfn	649	14.479522705078125	0.11548306	No	
row_6	Cfl1	651	14.461614608764648	0.1348126	No	
row_7	Tnfrsf1a	713	13.68398666381836	0.15006372	No	
row_8	Pfn1	769	13.032950401306152	0.16474603	No	
row_9	Camk4	864	12.100950241088867	0.17620577	No	
row_10	Adcy2	970	11.192313194274902	0.18589118	No	
row_11	Vav3	1033	10.594725608825684	0.19695176	No	
row_12	Akt1	1663	6.988213539123535	0.17448635	No	
row_13	Nod1	2423	4.5452470779418945	0.14216849	No	
row_14	Myd88	2632	3.9447505474090576	0.13692911	No	
row_15	Akt1s1	2657	3.8759422302246094	0.14090878	No	
row_16	Pin1	3138	2.8819708824157715	0.12048066	No	
row_17	Ptpn11	3208	2.7584028244018555	0.12068549	No	
row_18	Ripk1	3309	2.600076198577881	0.1191094	No	
row_19	Plcg1	3553	2.206312894821167	0.10976915	No	
row_20	Eif4e	3776	1.858810544013977	0.10102591	No	
row_21	Mapkap1	3817	1.7821568250656128	0.101390004	No	
row_22	Irak4	3820	1.775215983390808	0.10366777	No	
row_23	Pdk1	4171	1.2565778493881226	0.08764007	No	
row_24	E2f1	4249	1.151929259300232	0.08528722	No	
row_25	Arpc3	4254	1.1478662490844727	0.086623065	No	
row_26	Atf1	4281	1.1174629926681519	0.08680486	No	
row_27	Prkaa2	4461	0.9161734580993652	0.07897439	No	
row_28	Fgf22	4898	0.4536435604095459	0.057518657	No	
row_29	Cdk2	4953	0.39195871353149414	0.05531127	No	
row_30	Mapk8	4975	0.3644845187664032	0.05473702	No	
row_31	Fasl	5302	0.10462043434381485	0.038380083	No	
row_32	Ube2n	5339	0.07355167716741562	0.03665688	No	
row_33	Mapk9	5473	-0.04110591113567352	0.029981537	No	
row_34	Ywhab	5839	-0.34283360838890076	0.011970247	No	
row_35	Lck	6101	-0.555695652961731	-4.92894E-4	No	
row_36	Gsk3b	6185	-0.6074622273445129	-0.003879021	No	
