NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pebp1	157	30.537092208862305	0.034211006	No	
row_1	Camk4	864	12.100950241088867	0.015149616	No	
row_2	Tle4	880	11.986881256103516	0.030941105	No	
row_3	Art3	1057	10.4262056350708	0.036420345	No	
row_4	Nos1	1405	8.187471389770508	0.030144412	No	
row_5	Parp2	1892	6.112156391143799	0.013960272	No	
row_6	Tsn	2044	5.568031311035156	0.013998003	No	
row_7	Rfc4	2459	4.457640171051025	-8.2272076E-4	No	
row_8	Psmg1	2511	4.309744358062744	0.002544194	No	
row_9	Nphp1	2714	3.761596441268921	-0.0024963792	No	
row_10	Nf2	2799	3.5783746242523193	-0.0018113264	No	
row_11	Il13ra2	2899	3.3401570320129395	-0.0022151982	No	
row_12	Alox15	3049	3.053853750228882	-0.0055477107	No	
row_13	Gstm5	3329	2.5640223026275635	-0.016143197	No	
row_14	Slc12a2	3718	1.9355493783950806	-0.0331291	No	
row_15	Vdac3	4214	1.207666277885437	-0.056541353	No	
row_16	Lpin1	4505	0.876854658126831	-0.07002381	No	
row_17	Actl7b	4645	0.7134174108505249	-0.076081336	No	
row_18	Topbp1	4715	0.6385306119918823	-0.078695625	No	
row_19	Scg5	4976	0.3609720468521118	-0.09137042	No	
row_20	Pcsk4	5080	0.2861185073852539	-0.09619397	No	
row_21	Pias2	5427	-8.797210757620633E-4	-0.113723285	No	
row_22	Hspa2	5456	-0.022556141018867493	-0.11511079	No	
row_23	Clpb	5797	-0.3006870746612549	-0.13192214	No	
row_24	Dcc	5813	-0.3185580372810364	-0.13224226	No	
row_25	Acrbp	5874	-0.36552709341049194	-0.13477752	No	
row_26	Adad1	6053	-0.5208390355110168	-0.14307694	No	
row_27	Crisp2	6148	-0.583593487739563	-0.14703374	No	
row_28	Grm8	6370	-0.7319075465202332	-0.15722036	No	
row_29	Tuba3a	6476	-0.8170714974403381	-0.16141212	No	
row_30	Hoxb1	6830	-1.009187936782837	-0.17790382	No	
row_31	Coil	7146	-1.1498503684997559	-0.19227597	No	
row_32	Tktl1	7660	-1.379434585571289	-0.21636304	No	
row_33	Akap4	7675	-1.3878029584884644	-0.2151561	No	
row_34	Npy5r	7737	-1.414453387260437	-0.21629366	No	
row_35	Tnp1	7876	-1.4704641103744507	-0.22125518	No	
row_36	Agfg1	8224	-1.635066032409668	-0.23657869	No	
row_37	Dpep3	8350	-1.6880675554275513	-0.24058108	No	
row_38	Htr5a	8365	-1.6926857233047485	-0.23895314	No	
row_39	Znrf4	8485	-1.735304355621338	-0.24258633	No	
row_40	Ip6k1	8530	-1.755022644996643	-0.2423923	No	
row_41	H1f6	8634	-1.7979040145874023	-0.2451284	No	
row_42	Cnih2	8807	-1.8867831230163574	-0.25123772	No	
row_43	Jam3	8856	-1.9069066047668457	-0.25103664	No	
row_44	Zpbp	9063	-2.009334087371826	-0.2586994	No	
row_45	Pacrg	9176	-2.060821056365967	-0.26152843	No	
row_46	Hspa1l	9296	-2.1206462383270264	-0.26462954	No	
row_47	Papolb	9309	-2.1270453929901123	-0.26230052	No	
row_48	Chrm4	9667	-2.2929954528808594	-0.2772222	No	
row_49	Odf1	9907	-2.406653881072998	-0.28600833	No	
row_50	Zc2hc1c	10003	-2.470079183578491	-0.28741094	No	
row_51	Elovl3	10112	-2.5200414657592773	-0.28940323	No	
row_52	Ift88	10265	-2.596191644668579	-0.29351968	No	
row_53	Rpl39l	10379	-2.6516189575195312	-0.2955836	No	
row_54	Csnk2a2	10381	-2.6533236503601074	-0.29197055	No	
row_55	Ybx2	10467	-2.701192617416382	-0.29254737	No	
row_56	Adam2	10735	-2.84173321723938	-0.3021514	No	
row_57	Ccna1	11103	-3.0358660221099854	-0.316554	No	
row_58	Ddx4	11155	-3.0595240592956543	-0.3149134	No	
row_59	Mtnr1a	11202	-3.0791964530944824	-0.3129923	No	
row_60	Clgn	11242	-3.1017839908599854	-0.31068534	No	
row_61	Gsg1	11355	-3.172532081604004	-0.31197932	No	
row_62	Gfi1	11434	-3.207376480102539	-0.31150255	No	
row_63	Sycp1	11512	-3.2471282482147217	-0.3109202	No	
row_64	Cct6b	11584	-3.286940574645996	-0.3099789	No	
row_65	Mllt10	11754	-3.384617805480957	-0.31386805	No	
row_66	Dmrt1	11785	-3.398662567138672	-0.31069514	No	
row_67	Mtor	11894	-3.4632925987243652	-0.31138498	No	
row_68	Acrv1	12115	-3.591470956802368	-0.31757247	No	
row_69	Slc2a5	12403	-3.765390157699585	-0.32691443	No	
row_70	Tnni3	12518	-3.840772867202759	-0.32738703	No	
row_71	Zc3h14	12697	-3.95223069190979	-0.3309484	No	
row_72	Prm2	12793	-4.02029275894165	-0.33021048	No	
row_73	Phf7	12834	-4.052838325500488	-0.32664096	No	
row_74	Septin4	12842	-4.055204391479492	-0.3213962	No	
row_75	Oaz3	12895	-4.084692001342773	-0.31839073	No	
row_76	Pcsk1n	13066	-4.215761661529541	-0.32118285	No	
row_77	Ddx25	13135	-4.258127689361572	-0.31874853	No	
row_78	Clvs1	13176	-4.29091215133667	-0.3148503	No	
row_79	Ldhc	13244	-4.334542751312256	-0.3122598	No	
row_80	Cst8	13401	-4.424072265625	-0.314055	No	
row_81	Dbf4	13845	-4.760074615478516	-0.3299274	No	
row_82	Dmc1	13956	-4.841605186462402	-0.32881543	No	
row_83	Tcp11	14007	-4.883669853210449	-0.32460538	No	
row_84	Tekt2	14249	-5.100175380706787	-0.3297736	No	
row_85	Chfr	14264	-5.116269111633301	-0.3234184	No	
row_86	Hba-x	14416	-5.243664741516113	-0.32382855	No	
row_87	Cdkn3	14510	-5.329476833343506	-0.32118157	No	
row_88	Scg3	14846	-5.632983684539795	-0.33037674	No	
row_89	Pgs1	14850	-5.635434627532959	-0.32274735	No	
row_90	She	15383	-6.1994500160217285	-0.3411416	Yes	
row_91	Ace	15389	-6.204315185546875	-0.33282802	Yes	
row_92	Ezh2	15493	-6.3069000244140625	-0.32933807	Yes	
row_93	Map7	15548	-6.386951923370361	-0.32325494	Yes	
row_94	Taldo1	15675	-6.5333662033081055	-0.32061762	Yes	
row_95	Mast2	15711	-6.572297096252441	-0.31331593	Yes	
row_96	Adcyap1	15766	-6.634454250335693	-0.30689105	Yes	
row_97	Rad17	15922	-6.828194618225098	-0.30531594	Yes	
row_98	Prkar2a	16171	-7.184039115905762	-0.30796146	Yes	
row_99	Kif2c	16231	-7.283298015594482	-0.300894	Yes	
