NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Id1	34	47.2325439453125	0.104905896	Yes	
row_1	Id3	66	39.77239990234375	0.1931228	Yes	
row_2	Id2	162	30.297395706176758	0.2567208	Yes	
row_3	Wwtr1	298	23.170713424682617	0.30221227	Yes	
row_4	Ski	316	22.592866897583008	0.352355	Yes	
row_5	Junb	513	16.82853889465332	0.38045096	Yes	
row_6	Tgfbr1	536	16.374645233154297	0.41630444	Yes	
row_7	Smad7	568	16.028133392333984	0.45092145	Yes	
row_8	Bmpr1a	655	14.392887115478516	0.4790711	Yes	
row_9	Skil	784	12.83206844329834	0.5015776	Yes	
row_10	Pmepa1	1042	10.532710075378418	0.5123827	Yes	
row_11	Tgif1	1098	10.214571952819824	0.5326649	Yes	
row_12	Bmpr2	1254	9.114827156066895	0.5454174	Yes	
row_13	Fkbp1a	1440	7.9854326248168945	0.5541063	Yes	
row_14	Cdh1	1612	7.181752681732178	0.5616876	Yes	
row_15	Klf10	1678	6.93919563293457	0.57407135	Yes	
row_16	Furin	1791	6.523885250091553	0.5831454	Yes	
row_17	Serpine1	2082	5.474064350128174	0.58086556	Yes	
row_18	Acvr1	2083	5.465099334716797	0.5932024	Yes	
row_19	Smad6	2108	5.372623443603516	0.6041191	Yes	
row_20	Smurf2	2314	4.809922695159912	0.60463023	Yes	
row_21	Slc20a1	2346	4.733757972717285	0.61375153	Yes	
row_22	Ppm1a	2450	4.481444358825684	0.6186693	Yes	
row_23	Fnta	2557	4.186582088470459	0.62276995	Yes	
row_24	Thbs1	3565	2.1861941814422607	0.5768798	No	
row_25	Smad3	4500	0.8830050230026245	0.5317323	No	
row_26	Hipk2	5132	0.2551300823688507	0.50046045	No	
row_27	Ltbp2	5493	-0.054126281291246414	0.48241276	No	
row_28	Smad1	6020	-0.4893001616001129	0.45696908	No	
row_29	Bcar3	6230	-0.6368126273155212	0.44785798	No	
row_30	Cdk9	6534	-0.8442504405975342	0.43447077	No	
row_31	Trim33	7313	-1.2234678268432617	0.39796546	No	
row_32	Rab31	7726	-1.4080032110214233	0.38034943	No	
row_33	Nog	7991	-1.520155906677246	0.37045643	No	
row_34	Ncor2	8298	-1.6693189144134521	0.35878032	No	
row_35	Arid4b	8313	-1.673478364944458	0.3618514	No	
row_36	Xiap	8565	-1.7709379196166992	0.35318062	No	
row_37	Ppp1ca	9704	-2.308645725250244	0.3009551	No	
row_38	Sptbn1	10765	-2.857527732849121	0.2539054	No	
row_39	Ctnnb1	11204	-3.0802125930786133	0.2387519	No	
row_40	Smurf1	11597	-3.2913286685943604	0.22639671	No	
row_41	Eng	11899	-3.465562343597412	0.21902776	No	
row_42	Tgfb1	12611	-3.895955801010132	0.1919369	No	
row_43	Ube2d3	13045	-4.19424295425415	0.17955057	No	
row_44	Apc	13283	-4.3518829345703125	0.17741258	No	
row_45	Ifngr2	13334	-4.386507987976074	0.18479103	No	
row_46	Rhoa	13369	-4.406795978546143	0.1930228	No	
row_47	Map3k7	13684	-4.636532306671143	0.18764105	No	
row_48	Ppp1r15a	17137	-8.794354438781738	0.033264235	No	
row_49	Tjp1	17150	-8.817273139953613	0.052562535	No	
row_50	Hdac1	17681	-9.956317901611328	0.04828764	No	
row_51	Bmp2	18440	-12.450736045837402	0.03813601	No	
row_52	Cdkn1c	18943	-14.944804191589355	0.046535257	No	
