NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rps14	49	43.025840759277344	0.058375653	Yes	
row_1	Npm1	124	33.143672943115234	0.10150859	Yes	
row_2	Atf3	338	21.52808952331543	0.12117695	Yes	
row_3	Ddit4	384	20.02067756652832	0.14721654	Yes	
row_4	Pdia6	1028	10.657326698303223	0.12974484	Yes	
row_5	Slc1a4	1085	10.294224739074707	0.14147057	Yes	
row_6	Sec11a	1094	10.254998207092285	0.15557033	Yes	
row_7	Lsm1	1120	10.032659530639648	0.16849515	Yes	
row_8	Imp3	1183	9.619574546813965	0.17896296	Yes	
row_9	Sdad1	1217	9.373326301574707	0.19055031	Yes	
row_10	Exosc4	1262	9.04781436920166	0.20112048	Yes	
row_11	Nfyb	1296	8.808592796325684	0.21190907	Yes	
row_12	Psat1	1303	8.765639305114746	0.22400351	Yes	
row_13	Spcs1	1449	7.928796291351318	0.22787884	Yes	
row_14	Bag3	1503	7.674780368804932	0.23605146	Yes	
row_15	Cks1b	1548	7.461141109466553	0.24437745	Yes	
row_16	Exosc1	1605	7.202385425567627	0.25173005	Yes	
row_17	Cnot4	1715	6.793061256408691	0.25582114	Yes	
row_18	Pop4	1773	6.579471588134766	0.2622421	Yes	
row_19	Dkc1	1808	6.439823150634766	0.2696297	Yes	
row_20	Eif4a1	1861	6.2176923751831055	0.275792	Yes	
row_21	Eif4ebp1	2199	5.133975028991699	0.26599628	No	
row_22	Nop14	2356	4.702070236206055	0.26475096	No	
row_23	Nhp2	2392	4.604349136352539	0.26949182	No	
row_24	Paip1	2465	4.446379661560059	0.2721365	No	
row_25	Eif4a3	2665	3.8668296337127686	0.26753336	No	
row_26	Aldh18a1	2718	3.756640672683716	0.2702148	No	
row_27	Dctn1	2805	3.5626204013824463	0.27090088	No	
row_28	Exosc5	3294	2.61639666557312	0.2499014	No	
row_29	Fkbp14	3360	2.5151612758636475	0.25016886	No	
row_30	Rrp9	3578	2.1537766456604004	0.24223173	No	
row_31	Nop56	3586	2.143665075302124	0.24490942	No	
row_32	Xpot	3590	2.1388354301452637	0.24778275	No	
row_33	Lsm4	3765	1.8749061822891235	0.24162762	No	
row_34	Eif4e	3776	1.858810544013977	0.24375057	No	
row_35	Srprb	3911	1.639884352684021	0.23928761	No	
row_36	Arfgap1	3995	1.500983476638794	0.23720956	No	
