NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Anxa2	21	51.13011932373047	0.036752146	Yes	
row_1	Id1	34	47.2325439453125	0.0710779	Yes	
row_2	Igfbp5	55	42.14790725708008	0.101237305	Yes	
row_3	Lpar1	130	32.12104034423828	0.12124257	Yes	
row_4	Fzd2	164	30.16853904724121	0.14188261	Yes	
row_5	Snai2	183	28.9400577545166	0.16237462	Yes	
row_6	Nfib	213	27.044767379760742	0.18090709	Yes	
row_7	Ccn1	266	24.72991180419922	0.1965612	Yes	
row_8	Runx1	307	22.82200050354004	0.21141267	Yes	
row_9	Rgs4	341	21.360918045043945	0.2255384	Yes	
row_10	Plpp3	414	19.000076293945312	0.23594053	Yes	
row_11	Bhlhe40	509	16.94983673095703	0.24371074	Yes	
row_12	Smad7	568	16.028133392333984	0.25262463	Yes	
row_13	Bmpr1a	655	14.392887115478516	0.25890929	Yes	
row_14	F3	671	14.149209976196289	0.2686138	Yes	
row_15	Igf1r	700	13.794824600219727	0.277397	Yes	
row_16	Mta1	757	13.130293846130371	0.28426898	Yes	
row_17	Rbpms	773	12.971945762634277	0.29310274	Yes	
row_18	Col5a2	808	12.647137641906738	0.30073288	Yes	
row_19	Adgrl2	829	12.448662757873535	0.30892608	Yes	
row_20	Celf2	894	11.82567024230957	0.3144275	Yes	
row_21	Fhl2	908	11.741718292236328	0.32245275	Yes	
row_22	Inpp4b	932	11.529176712036133	0.32981378	Yes	
row_23	Tgfbr2	954	11.37274169921875	0.3371605	Yes	
row_24	Lamc1	1054	10.4801607131958	0.3398921	Yes	
row_25	Rnd3	1070	10.367432594299316	0.3467995	Yes	
row_26	Syne1	1240	9.200770378112793	0.34503546	Yes	
row_27	Notch2	1247	9.144159317016602	0.35149446	Yes	
row_28	Sdc2	1489	7.711587429046631	0.34497827	Yes	
row_29	Mapk14	1500	7.682272434234619	0.35015318	Yes	
row_30	Ddah1	1526	7.558560848236084	0.35447603	Yes	
row_31	Kcnma1	1587	7.272434711456299	0.3568126	Yes	
row_32	Pmp22	1628	7.0926947593688965	0.36003032	Yes	
row_33	Irs1	1637	7.061225891113281	0.36484733	Yes	
row_34	Col3a1	1799	6.472589015960693	0.36147112	Yes	
row_35	Mrps31	1938	5.990207195281982	0.35890433	Yes	
row_36	Tent4a	1948	5.8963727951049805	0.3628091	Yes	
row_37	Mt1	1975	5.830262660980225	0.36580294	Yes	
row_38	Dab2	2006	5.695180892944336	0.3684941	Yes	
row_39	Magi2	2008	5.689078330993652	0.37265116	Yes	
row_40	Serpine1	2082	5.474064350128174	0.37299845	Yes	
row_41	Cited2	2099	5.40047550201416	0.37618145	Yes	
row_42	Spop	2104	5.391289234161377	0.37996617	Yes	
row_43	Dusp1	2393	4.604276180267334	0.3687686	No	
row_44	Acvr2a	2464	4.447526454925537	0.36850876	No	
row_45	Gja1	2491	4.366074562072754	0.37041968	No	
row_46	Add3	2502	4.340726375579834	0.3731231	No	
row_47	Vldlr	2506	4.325378894805908	0.37617016	No	
row_48	Apbb2	2545	4.222020149230957	0.37736607	No	
row_49	Cdon	2598	4.048586368560791	0.37772384	No	
row_50	Cav1	2613	3.9885401725769043	0.379964	No	
row_51	Schip1	2942	3.2669527530670166	0.36574912	No	
row_52	Prkce	3097	2.946669340133667	0.36012	No	
row_53	Efemp1	3112	2.920517921447754	0.3615702	No	
row_54	Atxn1	3437	2.392186403274536	0.34691116	No	
row_55	Myc	3646	2.04364275932312	0.33787608	No	
row_56	Adora2b	3649	2.0395429134368896	0.33928317	No	
row_57	Dlc1	3702	1.9522699117660522	0.33809048	No	
row_58	Pdlim5	3794	1.8324875831604004	0.33483168	No	
row_59	Pias3	3871	1.686089038848877	0.33222517	No	
row_60	Ptprm	4024	1.4670072793960571	0.32560307	No	
row_61	Tgfbr3	4060	1.4046787023544312	0.32486734	No	
row_62	Nrp1	4301	1.0940684080123901	0.31350738	No	
row_63	Togaram1	4396	0.9888991713523865	0.30947256	No	
row_64	Rxra	4493	0.8887495398521423	0.30526224	No	
row_65	Smad3	4500	0.8830050230026245	0.3056111	No	
row_66	Kalrn	4669	0.6915269494056702	0.29760414	No	
row_67	Phf3	4747	0.6095066070556641	0.29415068	No	
row_68	Pex14	4852	0.49586305022239685	0.28924415	No	
row_69	Nr1d2	4990	0.3534335792064667	0.28255898	No	
row_70	Mios	5035	0.31747114658355713	0.2805628	No	
row_71	Cdc42bpa	5223	0.16962270438671112	0.27120644	No	
row_72	Ptgfr	5305	0.10328959673643112	0.26717576	No	
row_73	Dmac2l	5699	-0.20653517544269562	0.24740154	No	
row_74	Cdkn1b	6352	-0.7190346121788025	0.21487382	No	
