NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	4	74.34124755859375	0.052406844	Yes	
row_1	Tst	27	48.290897369384766	0.08546519	Yes	
row_2	Pdlim3	131	32.108177185058594	0.10296198	Yes	
row_3	Rrad	172	29.573537826538086	0.12186124	Yes	
row_4	Il6st	174	29.399362564086914	0.14261584	Yes	
row_5	Fkbp4	246	25.609458923339844	0.15713707	Yes	
row_6	Fos	292	23.449758529663086	0.17144899	Yes	
row_7	Atf3	338	21.52808952331543	0.18440099	Yes	
row_8	Gpx3	339	21.468591690063477	0.19959387	Yes	
row_9	Selenow	365	20.70741844177246	0.21297976	Yes	
row_10	Slc25a4	402	19.320980072021484	0.22482644	Yes	
row_11	Junb	513	16.82853889465332	0.23115501	Yes	
row_12	Ptprd	531	16.43115234375	0.24192053	Yes	
row_13	Polr2h	543	16.299362182617188	0.2528972	Yes	
row_14	Igfbp2	599	15.357152938842773	0.26097482	Yes	
row_15	Btg2	640	14.572425842285156	0.2692581	Yes	
row_16	Hyal2	707	13.757810592651367	0.27564582	Yes	
row_17	Mmp14	771	13.00063419342041	0.28164995	Yes	
row_18	Epcam	798	12.725637435913086	0.28933653	Yes	
row_19	Dnajb1	810	12.632084846496582	0.29771796	Yes	
row_20	Fosb	1058	10.422759056091309	0.29256284	No	
row_21	Msx1	1138	9.952552795410156	0.29559815	No	
row_22	Pdap1	1368	8.375359535217285	0.28990734	No	
row_23	Slc6a8	1495	7.701711177825928	0.2889653	No	
row_24	Irf1	1643	7.045732021331787	0.28649366	No	
row_25	Furin	1791	6.523885250091553	0.28365272	No	
row_26	Parp2	1892	6.112156391143799	0.28290486	No	
row_27	Wiz	2090	5.436882019042969	0.27675802	No	
row_28	Sigmar1	2164	5.244120121002197	0.27676564	No	
row_29	Clcn2	2294	4.863004207611084	0.27366254	No	
row_30	Casp3	2326	4.780634880065918	0.27547297	No	
row_31	Rfc4	2459	4.457640171051025	0.27193078	No	
row_32	Urod	2472	4.423697471618652	0.27445254	No	
row_33	Icam1	2494	4.361565589904785	0.27647373	No	
row_34	Grpel1	2659	3.875062942504883	0.2708958	No	
row_35	Col2a1	2706	3.785020351409912	0.27124068	No	
row_36	Btg1	2760	3.658708095550537	0.27114102	No	
row_37	Dnaja1	2827	3.5102407932281494	0.27027676	No	
row_38	Hspa13	2873	3.3901009559631348	0.27039286	No	
row_39	Spr	2949	3.2584168910980225	0.2688938	No	
row_40	Psmc3	3163	2.837308406829834	0.26009557	No	
row_41	Ppt1	3290	2.620623826980591	0.25555775	No	
row_42	Ap2s1	3415	2.431349754333496	0.25098747	No	
row_43	Pole3	3528	2.2498862743377686	0.24689756	No	
row_44	Tap1	3630	2.0761139392852783	0.24324274	No	
row_45	Rxrb	3633	2.0682458877563477	0.24460493	No	
row_46	Ntrk3	3703	1.952148675918579	0.24248584	No	
row_47	E2f5	3856	1.7106765508651733	0.23598503	No	
