NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hey1	493	17.16172981262207	0.050366335	Yes	
row_1	Jag2	573	15.97199535369873	0.11640077	Yes	
row_2	Hey2	685	13.956920623779297	0.17198715	Yes	
row_3	Dll1	1144	9.934944152832031	0.19243756	Yes	
row_4	Trp53	1283	8.879619598388672	0.22440359	Yes	
row_5	Hdac11	1284	8.877707481384277	0.2633225	Yes	
row_6	Fzd8	1518	7.596885681152344	0.284873	Yes	
row_7	Jag1	1806	6.448427200317383	0.2986648	Yes	
row_8	Csnk1e	1898	6.088976860046387	0.32076785	Yes	
row_9	Notch1	2332	4.7711591720581055	0.3198419	Yes	
row_10	Kat2a	2463	4.448552131652832	0.33278614	Yes	
row_11	Maml1	2546	4.214588642120361	0.34712604	Yes	
row_12	Ptch1	3420	2.420522451400757	0.31369984	No	
row_13	Myc	3646	2.04364275932312	0.31130907	No	
row_14	Dvl2	4088	1.3666561841964722	0.29505458	No	
row_15	Wnt6	4141	1.295613169670105	0.29811132	No	
row_16	Gnai1	4363	1.0344481468200684	0.29149812	No	
row_17	Frat1	4929	0.42330577969551086	0.26485306	No	
row_18	Hdac5	4948	0.3928556740283966	0.2656673	No	
row_19	Cul1	4958	0.38677945733070374	0.26690888	No	
row_20	Skp2	5621	-0.1438366174697876	0.2341456	No	
row_21	Axin1	5763	-0.272108793258667	0.2282259	No	
row_22	Hdac2	5807	-0.315210223197937	0.22743866	No	
row_23	Wnt5b	5932	-0.41579726338386536	0.22300643	No	
row_24	Dkk4	8036	-1.543800711631775	0.123690754	No	
row_25	Ncor2	8298	-1.6693189144134521	0.11784301	No	
row_26	Nkd1	9149	-2.0481598377227783	0.0839446	No	
row_27	Notch4	9616	-2.268989324569702	0.07038475	No	
row_28	Wnt1	10386	-2.654510021209717	0.043230467	No	
row_29	Ctnnb1	11204	-3.0802125930786133	0.015521118	No	
row_30	Ccnd2	11522	-3.256392002105713	0.013806072	No	
row_31	Axin2	11675	-3.3338494300842285	0.020753836	No	
row_32	Fzd1	12224	-3.6671741008758545	0.009187072	No	
row_33	Lef1	12283	-3.7002716064453125	0.022482917	No	
row_34	Ncstn	13458	-4.469494819641113	-0.017144442	No	
row_35	Psen2	14120	-4.976408958435059	-0.028671822	No	
row_36	Numb	15203	-6.017411231994629	-0.056872442	No	
row_37	Ppard	15351	-6.160153388977051	-0.037282247	No	
row_38	Dkk1	15663	-6.510427951812744	-0.024429288	No	
row_39	Adam17	18281	-11.855377197265625	-0.104468286	No	
row_40	Rbpj	19418	-19.67690658569336	-0.07551112	No	
row_41	Tcf7	19559	-22.356666564941406	0.015435955	No	
