NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	12	59.278594970703125	0.03348751	No	
row_1	Igfbp4	60	41.28730392456055	0.054847308	No	
row_2	Id2	162	30.297395706176758	0.0671409	No	
row_3	Ddah2	256	25.092021942138672	0.07684695	No	
row_4	Hes6	257	25.061830520629883	0.09126268	No	
row_5	Comt	270	24.505102157592773	0.10474824	No	
row_6	Pros1	310	22.689512252807617	0.11581709	No	
row_7	Crp	354	20.911861419677734	0.12566012	No	
row_8	Spint2	647	14.534965515136719	0.1191788	No	
row_9	Tnfrsf1a	713	13.68398666381836	0.123746075	No	
row_10	Atoh8	738	13.285304069519043	0.13016799	No	
row_11	Adh5	799	12.724685668945312	0.1344376	No	
row_12	Man1a	800	12.715607643127441	0.1417517	No	
row_13	Fbln1	840	12.318854331970215	0.14685528	No	
row_14	Bphl	906	11.761470794677734	0.15031672	No	
row_15	Slc35d1	1018	10.757040023803711	0.15086226	No	
row_16	Ech1	1349	8.450628280639648	0.13894972	No	
row_17	Slc12a4	1507	7.633416652679443	0.13536043	No	
row_18	Bcar1	1521	7.58578634262085	0.13906306	No	
row_19	Acp1	1525	7.568305015563965	0.14326392	No	
row_20	Gabarapl1	1723	6.756068229675293	0.13713683	No	
row_21	Esr1	1911	6.0477986335754395	0.13111064	No	
row_22	Csad	2038	5.572278022766113	0.12791146	No	
row_23	Serpine1	2082	5.474064350128174	0.12887456	No	
row_24	Aldh3a1	2455	4.463141441345215	0.112533584	No	
row_25	Sertad1	2487	4.376561641693115	0.11347533	No	
row_26	Idh1	2509	4.314792156219482	0.11488983	No	
row_27	Dhrs7	2542	4.224358081817627	0.1156932	No	
row_28	Blvrb	2547	4.212847709655762	0.11791314	No	
row_29	Ets2	2655	3.8769335746765137	0.11470453	No	
row_30	Cbr1	2969	3.2008321285247803	0.10063635	No	
row_31	Pink1	2999	3.1416518688201904	0.10096942	No	
row_32	Ttpa	3217	2.7412638664245605	0.09151643	No	
row_33	Tpst1	3318	2.577841281890869	0.08791637	No	
row_34	Gsr	3342	2.5424811840057373	0.08820976	No	
row_35	Aldh2	3596	2.134185552597046	0.07657775	No	
row_36	Ugdh	3616	2.105013370513916	0.076822825	No	
row_37	Pmm1	3706	1.9500285387039185	0.07342076	No	
row_38	Pdlim5	3794	1.8324875831604004	0.07005274	No	
row_39	Pdk4	4142	1.2944141626358032	0.053159807	No	
row_40	Fmo1	4201	1.2283128499984741	0.050918285	No	
row_41	Ahcyl	4306	1.086935043334961	0.046257332	No	
row_42	Tmem176b	4361	1.0355216264724731	0.044108234	No	
row_43	Cyb5a	4516	0.8686644434928894	0.036780305	No	
row_44	Ssr3	4547	0.8394749760627747	0.035738323	No	
row_45	Pts	4586	0.7861636281013489	0.034259047	No	
row_46	Aox1	4719	0.6308369040489197	0.027912544	No	
row_47	Lcat	4806	0.5462694764137268	0.023855511	No	
row_48	Slc6a6	5624	-0.14430585503578186	-0.017588371	No	
row_49	Ephx1	5973	-0.4480217397212982	-0.035018984	No	
row_50	Abhd6	6844	-1.0172446966171265	-0.07865466	No	
row_51	Gckr	6864	-1.031542181968689	-0.07902705	No	
row_52	Tyr	6948	-1.0614194869995117	-0.08263528	No	
row_53	Serpina6	6964	-1.072718858718872	-0.082780674	No	
row_54	Nfs1	7098	-1.1295802593231201	-0.08889112	No	
row_55	Lonp1	7592	-1.3475152254104614	-0.113174476	No	
row_56	Hrg	7672	-1.387007474899292	-0.11639211	No	
row_57	Etfdh	8172	-1.6069848537445068	-0.14083119	No	
row_58	Cyp2c55	8372	-1.6943107843399048	-0.14997149	No	
row_59	Ap4b1	9195	-2.074143648147583	-0.19055945	No	
row_60	Gart	9209	-2.082164764404297	-0.19002254	No	
row_61	Shmt2	9235	-2.0908470153808594	-0.19009058	No	
row_62	Fah	9947	-2.4326751232147217	-0.22483036	No	
row_63	Dhps	10086	-2.508141040802002	-0.230402	No	
row_64	Casp6	10226	-2.5779788494110107	-0.23598428	No	
row_65	Cyp2e1	10328	-2.628657579421997	-0.23960595	No	
row_66	Ndrg2	10344	-2.633596181869507	-0.23885351	No	
row_67	Gcnt2	10472	-2.703083038330078	-0.2437539	No	
row_68	Vtn	10572	-2.756007194519043	-0.24720065	No	
row_69	Leap2	10582	-2.7612831592559814	-0.24606979	No	
row_70	Akr1c6	10678	-2.816598653793335	-0.24927838	No	
row_71	Abcd2	10738	-2.8425097465515137	-0.25064224	No	
row_72	F11	11043	-3.003558397293091	-0.26436642	No	
row_73	Slc1a5	11088	-3.0280356407165527	-0.26486114	No	
row_74	Aldh9a1	11258	-3.110966444015503	-0.2716617	No	
row_75	Upb1	11419	-3.2017159461975098	-0.2779526	No	
row_76	Dhrs1	11446	-3.215510845184326	-0.27742457	No	
row_77	Plg	11514	-3.247213125228882	-0.27896225	No	
row_78	Tat	11727	-3.3667235374450684	-0.28780133	No	
row_79	Acsm1	11847	-3.43880558013916	-0.2918719	No	
row_80	Pgrmc1	11982	-3.5077173709869385	-0.29666525	No	
row_81	Cyp2j6	11983	-3.508561372756958	-0.29464713	No	
row_82	Retsat	12456	-3.8032419681549072	-0.3164505	No	
row_83	Cyp1a1	12684	-3.944415807723999	-0.32571974	No	
row_84	Pycr1	12802	-4.02715539932251	-0.32935023	No	
row_85	Igfbp1	12894	-4.0846028327941895	-0.33162612	No	
row_86	Mthfd1	13191	-4.299903392791748	-0.34419802	No	
row_87	Cda	13192	-4.30106782913208	-0.34172404	No	
row_88	Rbp4	13199	-4.30684757232666	-0.33955166	No	
row_89	Cyp4f14	13431	-4.444270133972168	-0.34873667	No	
row_90	Mpp2	13513	-4.514960289001465	-0.35025674	No	
row_91	Slc6a12	13517	-4.517626762390137	-0.34781066	No	
row_92	Ptges	13580	-4.566799163818359	-0.34833518	No	
row_93	Cd36	13671	-4.629400253295898	-0.35024688	No	
row_94	Npc1	13928	-4.812858581542969	-0.3604906	No	
row_95	Acp2	14055	-4.93797492980957	-0.36405462	No	
row_96	Il1r1	14058	-4.939615249633789	-0.36131498	No	
row_97	Bcat1	14269	-5.121722221374512	-0.36904293	No	
row_98	Adh7	14559	-5.373157501220703	-0.38064167	No	
row_99	Gss	14567	-5.375704288482666	-0.37790534	No	
row_100	Fbp1	14614	-5.425051212310791	-0.3771229	No	
row_101	Marchf6	14849	-5.6349778175354	-0.3857755	No	
