NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	186	0.675604	2.915606	0.0	0.0	0.0	2672	tags=51%, list=13%, signal=58%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	0.620943	2.7049637	0.0	0.0	0.0	1518	tags=35%, list=8%, signal=37%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	0.6264251	2.4399252	0.0	0.0	0.0	1701	tags=42%, list=9%, signal=46%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.62276995	2.2122214	0.0	0.0	0.0	2557	tags=45%, list=13%, signal=52%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.54462683	1.9382308	0.0	9.79021E-4	0.003	3836	tags=56%, list=19%, signal=69%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	0.45495674	1.9350997	0.0	8.1585074E-4	0.003	1695	tags=31%, list=9%, signal=34%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	198	0.38122705	1.6396227	0.0	0.010293304	0.039	1824	tags=24%, list=9%, signal=26%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.37996617	1.5955186	0.0	0.013378954	0.06	2104	tags=30%, list=11%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	0.35778952	1.5295663	0.0	0.02007706	0.102	1637	tags=21%, list=8%, signal=23%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.3981401	1.5258516	0.007575758	0.018636018	0.104	1333	tags=22%, list=7%, signal=24%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	198	0.33139598	1.4461657	0.0057803467	0.031295244	0.172	1283	tags=19%, list=6%, signal=20%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	133	0.33772233	1.3758342	0.022123894	0.049213797	0.273	1027	tags=16%, list=5%, signal=17%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	0.33150637	1.3671572	0.015	0.048276648	0.288	2787	tags=31%, list=14%, signal=35%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.41806957	1.3350303	0.10204082	0.057850685	0.349	2463	tags=53%, list=12%, signal=61%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	0.30945456	1.3313197	0.019323671	0.05506355	0.355	649	tags=13%, list=3%, signal=13%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.38623354	1.277252	0.12944984	0.07694365	0.485	2608	tags=42%, list=13%, signal=48%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	155	0.29771796	1.2426196	0.0456621	0.09995766	0.6	810	tags=13%, list=4%, signal=13%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.34712604	1.190852	0.19548872	0.13764597	0.742	2546	tags=29%, list=13%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	199	0.26460448	1.143451	0.12921348	0.18512678	0.852	1515	tags=17%, list=8%, signal=18%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	0.275792	1.1140845	0.19642857	0.21818143	0.901	1861	tags=19%, list=9%, signal=21%	
