NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lifr	0	39.92817687988281	0.024643414	No	
row_1	Col4a1	8	30.587629318237305	0.043165993	No	
row_2	Apoe	157	14.609447479248047	0.04465794	No	
row_3	C3	212	13.26187801361084	0.050097506	No	
row_4	Esyt1	291	11.761842727661133	0.053391006	No	
row_5	Lipe	327	11.219948768615723	0.058536347	No	
row_6	Lama4	429	10.048148155212402	0.059602752	No	
row_7	Abca1	497	9.400426864624023	0.061998088	No	
row_8	Slc27a1	514	9.281707763671875	0.066913195	No	
row_9	Gpx3	543	9.056507110595703	0.07107918	No	
row_10	Pfkfb3	710	7.76239538192749	0.067429975	No	
row_11	Bcl6	724	7.638537883758545	0.071483456	No	
row_12	Ifngr1	973	6.4056267738342285	0.062827654	No	
row_13	Cavin1	1123	5.7919020652771	0.05882662	No	
row_14	Map4k3	1138	5.7328104972839355	0.06165306	No	
row_15	Angptl4	1183	5.602902889251709	0.062874	No	
row_16	Rreb1	1454	4.686744689941406	0.052038744	No	
row_17	Sspn	1721	4.01471471786499	0.040992092	No	
row_18	Angpt1	1877	3.7035562992095947	0.035397083	No	
row_19	Chuk	2089	3.3417136669158936	0.02673148	No	
row_20	Itsn1	2108	3.3109230995178223	0.027859768	No	
row_21	Gpat4	2380	2.8488523960113525	0.015839335	No	
row_22	Cd151	2402	2.825565814971924	0.016515533	No	
row_23	Rab34	2859	2.2283358573913574	-0.0052940217	No	
row_24	Fzd4	2881	2.2091639041900635	-0.0049982644	No	
row_25	Cidea	2986	2.0860254764556885	-0.00899856	No	
row_26	Preb	3120	1.9549202919006348	-0.014554249	No	
row_27	Ptcd3	3147	1.9185489416122437	-0.014692077	No	
row_28	Stat5a	3189	1.8750249147415161	-0.015619429	No	
row_29	Elovl6	3275	1.7807506322860718	-0.018842101	No	
row_30	Bcl2l13	3388	1.668407678604126	-0.0235069	No	
row_31	Elmod3	3495	1.5744868516921997	-0.027924603	No	
row_32	Ucp2	3701	1.4046764373779297	-0.037480667	No	
row_33	Acads	4154	1.0882540941238403	-0.059790496	No	
row_34	Miga2	4414	0.9191609621047974	-0.07239179	No	
row_35	G3bp2	4516	0.857326090335846	-0.076997906	No	
row_36	Ccng2	4844	0.6822842955589294	-0.09320279	No	
row_37	Slc1a5	4866	0.6697450876235962	-0.093857154	No	
row_38	Baz2a	4879	0.661583662033081	-0.09405896	No	
row_39	Adcy6	5059	0.5588578581809998	-0.102815114	No	
row_40	Riok3	5370	0.3956965208053589	-0.118332535	No	
row_41	Idh1	5371	0.3942142724990845	-0.11808923	No	
row_42	Gpam	5689	0.21379198133945465	-0.13407482	No	
row_43	Cavin2	5931	0.07208853960037231	-0.14628375	No	
row_44	Dgat1	6045	0.01946757733821869	-0.1520171	No	
row_45	Phldb1	6067	0.003566715633496642	-0.15308262	No	
row_46	Ppm1b	6107	-0.017443958669900894	-0.15505478	No	
row_47	Lpcat3	6264	-0.09575121104717255	-0.16292734	No	
