NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Flna	10	29.373620986938477	0.025099995	No	
row_1	Stat1	59	19.887073516845703	0.039998658	No	
row_2	Irf7	81	18.077617645263672	0.054691773	No	
row_3	Hif1a	136	15.246981620788574	0.065240294	No	
row_4	Egfr	194	13.599722862243652	0.07420029	No	
row_5	Ccl11	311	11.471427917480469	0.07830685	No	
row_6	Mmp9	362	10.683490753173828	0.08508013	No	
row_7	Il7	531	9.14697551727295	0.08451795	No	
row_8	Tap1	597	8.578034400939941	0.08869349	No	
row_9	Bcl3	895	6.754448413848877	0.0794906	No	
row_10	Ifngr1	973	6.4056267738342285	0.08116247	No	
row_11	Eif4g3	1155	5.682602405548096	0.076919444	No	
row_12	Ets1	1157	5.68031644821167	0.08182077	No	
row_13	Il2ra	1258	5.3406453132629395	0.081395485	No	
row_14	Acvr2a	1275	5.275431156158447	0.08518163	No	
row_15	Csf1	1304	5.193492412567139	0.088286586	No	
row_16	F2r	1813	3.85366153717041	0.065833226	No	
row_17	Ccl7	2152	3.2252867221832275	0.05147026	No	
row_18	Socs5	2246	3.0692555904388428	0.04942045	No	
row_19	Apbb1	2545	2.64096999168396	0.03658059	No	
row_20	Glmn	2583	2.5878984928131104	0.036956653	No	
row_21	Icam1	3032	2.035087823867798	0.015966631	No	
row_22	Map3k7	3386	1.6691107749938965	-5.1521865E-4	No	
row_23	Ube2d1	3441	1.6203014850616455	-0.0018465312	No	
row_24	Cd28	3446	1.6119639873504639	-6.4446195E-4	No	
row_25	Was	3699	1.404737114906311	-0.012224681	No	
row_26	Cxcl9	4060	1.152174472808838	-0.02951289	No	
row_27	Eif3a	4085	1.134786605834961	-0.029743087	No	
row_28	Lck	4118	1.1133239269256592	-0.0303985	No	
row_29	Tlr3	4415	0.9187950491905212	-0.04463814	No	
row_30	Tgfb1	4735	0.7374916672706604	-0.060204536	No	
row_31	Il18rap	4872	0.6651711463928223	-0.066535205	No	
row_32	St8sia4	5041	0.5647449493408203	-0.07457944	No	
row_33	Jak2	5270	0.44918549060821533	-0.08577321	No	
row_34	Il11	5272	0.44701698422431946	-0.0854343	No	
row_35	Sit1	5351	0.4049782454967499	-0.08904465	No	
row_36	Prkcg	5539	0.295662522315979	-0.09828893	No	
row_37	Stab1	5805	0.1400020867586136	-0.11163232	No	
row_38	Il16	5927	0.07524360716342926	-0.1177151	No	
row_39	Cd40lg	5938	0.07027414441108704	-0.11816196	No	
row_40	Cd3d	6148	-0.037833161652088165	-0.1287489	No	
row_41	Tap2	6289	-0.10935775190591812	-0.13576739	No	
row_42	Mtif2	6352	-0.14565715193748474	-0.1387908	No	
row_43	Cd3e	6463	-0.20363524556159973	-0.1442027	No	
row_44	Ifnar2	6490	-0.2149125635623932	-0.14533648	No	
row_45	Inhba	6742	-0.3335893452167511	-0.15779972	No	
row_46	Elane	6857	-0.38842079043388367	-0.16325377	No	
row_47	Dyrk3	7155	-0.5238655209541321	-0.17788853	No	
row_48	Fcgr2b	7286	-0.5743881464004517	-0.18399346	No	
row_49	Rpl3l	7493	-0.6582255959510803	-0.1938871	No	
row_50	Ncr1	7520	-0.6687602400779724	-0.1946252	No	
row_51	Ripk2	7689	-0.7182513475418091	-0.20253561	No	
row_52	Map4k1	7966	-0.7941199541091919	-0.21586768	No	
row_53	Il12rb1	8041	-0.8156321048736572	-0.21891677	No	
row_54	Cxcr3	8233	-0.8693665266036987	-0.22786413	No	
row_55	Fasl	8407	-0.9217855334281921	-0.23585117	No	
row_56	Prkcb	8427	-0.9295290112495422	-0.23600625	No	
row_57	Zap70	8606	-0.9834271669387817	-0.2441936	No	
row_58	Akt1	8850	-1.0598857402801514	-0.25561714	No	
row_59	Ifng	9003	-1.104163646697998	-0.2623781	No	
row_60	Cd8a	9203	-1.1607844829559326	-0.2714779	No	
row_61	Il6	9611	-1.2872999906539917	-0.29103652	No	
row_62	Il2	10086	-1.4314483404159546	-0.31387395	No	
row_63	Cd2	10171	-1.4595881700515747	-0.31686977	No	
row_64	Tlr6	10235	-1.47890305519104	-0.31878167	No	
row_65	Trat1	10340	-1.5162649154663086	-0.32274434	No	
row_66	Ccr5	10350	-1.5203075408935547	-0.32187623	No	
row_67	Tpd52	10484	-1.5640790462493896	-0.32727078	No	
row_68	Igsf6	10608	-1.6148573160171509	-0.33211294	No	
row_69	Gpr65	10628	-1.620762586593628	-0.3316654	No	
row_70	Cd4	10774	-1.67649245262146	-0.3375717	No	
row_71	Klrd1	10964	-1.7467336654663086	-0.34565255	No	
row_72	Abce1	11091	-1.7979748249053955	-0.3504875	No	
row_73	Il9	11397	-1.9477394819259644	-0.3642874	No	
row_74	Gzma	11528	-1.9994301795959473	-0.36914998	No	
row_75	Tlr2	11693	-2.059948205947876	-0.37568745	No	
row_76	Crtam	11784	-2.099013328552246	-0.3784307	No	
row_77	Bcat1	11838	-2.122427225112915	-0.3792734	No	
row_78	Cfp	11944	-2.173846960067749	-0.38271362	No	
