NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Fstl1	121	15.78244400024414	0.08250336	Yes	
row_1	Jag2	127	15.504806518554688	0.16929775	Yes	
row_2	Slco2a1	522	9.225335121154785	0.20122142	Yes	
row_3	Vegfa	554	8.983449935913086	0.2500927	Yes	
row_4	Jag1	613	8.481343269348145	0.2947835	Yes	
row_5	Itgav	818	7.153213977813721	0.32465535	Yes	
row_6	Col5a2	1319	5.124833106994629	0.3282127	Yes	
row_7	Msx1	1859	3.752596378326416	0.32209936	Yes	
row_8	Vcan	2381	2.8482089042663574	0.31181633	Yes	
row_9	Nrp1	2397	2.829944610595703	0.3269477	Yes	
row_10	Ptk2	2648	2.4920215606689453	0.32833114	Yes	
row_11	Pdgfa	2879	2.2097907066345215	0.3291387	Yes	
row_12	Thbd	2936	2.135631799697876	0.33830446	Yes	
row_13	App	4103	1.1234022378921509	0.28581163	No	
row_14	Col3a1	4751	0.73035728931427	0.25728464	No	
row_15	Postn	4949	0.6184238195419312	0.25082216	No	
row_16	Fgfr1	6398	-0.16748137772083282	0.17874174	No	
row_17	Stc1	6822	-0.37059804797172546	0.15949102	No	
row_18	Vtn	7438	-0.6378974914550781	0.13205867	No	
row_19	Lum	7505	-0.6615579724311829	0.13244447	No	
row_20	Serpina5	8493	-0.9507228136062622	0.08800891	No	
row_21	Kcnj8	9470	-1.241989254951477	0.045763288	No	
row_22	Olr1	9651	-1.2998535633087158	0.043983724	No	
row_23	Tnfrsf21	10419	-1.5450544357299805	0.0139791425	No	
row_24	Cxcl5	13200	-2.7961699962615967	-0.11051433	No	
row_25	Vav2	14393	-3.5792365074157715	-0.15053084	No	
row_26	Timp1	14472	-3.62753963470459	-0.13409868	No	
row_27	Ccnd2	14591	-3.7170870304107666	-0.11918092	No	
row_28	Lpl	15496	-4.5420613288879395	-0.13926853	No	
row_29	Spp1	15781	-4.826663970947266	-0.12649259	No	
row_30	Apoh	15970	-5.036526203155518	-0.107697286	No	
row_31	Lrpap1	16254	-5.4093780517578125	-0.09159945	No	
row_32	Pf4	17327	-7.093867301940918	-0.10583282	No	
row_33	Prg2	18323	-9.646102905273438	-0.10185451	No	
row_34	S100a4	19234	-14.669221878051758	-0.06538915	No	
row_35	Pglyrp1	19457	-17.306081771850586	0.02057488	No	
