NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tgfbi	31	23.36013412475586	0.02013924	Yes	
row_1	Myh9	37	22.062477111816406	0.04039413	Yes	
row_2	Map3k20	50	20.628469467163086	0.058960073	Yes	
row_3	Lamc2	65	19.292869567871094	0.07618277	Yes	
row_4	Itgb4	66	19.26668357849121	0.09409293	Yes	
row_5	Lama3	79	18.16559410095215	0.1103694	Yes	
row_6	Pard6g	91	17.014995574951172	0.12562713	Yes	
row_7	Lamb3	98	16.772920608520508	0.14091404	Yes	
row_8	Pecam1	128	15.491799354553223	0.15384063	Yes	
row_9	Cnn2	140	15.09791088104248	0.16731624	Yes	
row_10	Sdc3	150	14.748883247375488	0.1805691	Yes	
row_11	Egfr	194	13.599722862243652	0.191025	Yes	
row_12	Fbn1	195	13.576446533203125	0.20364557	Yes	
row_13	Epb41l2	199	13.462855339050293	0.21600801	Yes	
row_14	Vcl	221	13.118537902832031	0.22713518	Yes	
row_15	Mpzl2	252	12.49686336517334	0.23722684	Yes	
row_16	Mmp9	362	10.683490753173828	0.24161614	Yes	
row_17	Cdh3	381	10.503591537475586	0.250465	Yes	
row_18	Plcg1	455	9.79015827178955	0.25585425	Yes	
row_19	Dsc3	481	9.51620864868164	0.26342934	Yes	
row_20	Mapk13	483	9.501169204711914	0.27221072	Yes	
row_21	Nectin1	598	8.577313423156738	0.2743879	Yes	
row_22	Actn1	637	8.338629722595215	0.28020737	Yes	
row_23	Evl	664	8.166687965393066	0.28647712	Yes	
row_24	Sympk	687	7.978840351104736	0.2927756	Yes	
row_25	Zyx	695	7.859123229980469	0.29972547	Yes	
row_26	Nf1	737	7.5854573249816895	0.30469227	Yes	
row_27	Mdk	792	7.286776542663574	0.3087204	Yes	
row_28	Nlgn2	827	7.104556560516357	0.31359607	Yes	
row_29	Pkd1	841	7.033542633056641	0.31947342	Yes	
row_30	Mapk14	920	6.663641929626465	0.32170206	Yes	
row_31	Itga3	1098	5.898366928100586	0.31818575	Yes	
row_32	Myl9	1186	5.59954309463501	0.3189676	Yes	
row_33	Irs1	1227	5.459598064422607	0.32200906	Yes	
row_34	Nexn	1236	5.408234596252441	0.32662976	Yes	
row_35	Cdh11	1259	5.335811138153076	0.3304713	Yes	
row_36	Speg	1297	5.21754789352417	0.33344027	Yes	
row_37	Bmp1	1316	5.144308567047119	0.33730718	Yes	
row_38	Nf2	1327	5.093034267425537	0.3415332	Yes	
row_39	Taok2	1368	4.948878288269043	0.34409988	Yes	
row_40	Cdh1	1378	4.908373832702637	0.3482051	Yes	
row_41	Ldlrap1	1390	4.874643802642822	0.35217723	Yes	
row_42	Thbs3	1391	4.871655464172363	0.35670587	Yes	
row_43	Actn4	1436	4.739487171173096	0.35887453	Yes	
row_44	Lima1	1442	4.716409206390381	0.36300465	Yes	
row_45	Nrtn	1703	4.037944316864014	0.35353884	No	
row_46	Itga9	1759	3.9454400539398193	0.35441008	No	
row_47	Mmp2	1766	3.936131000518799	0.357764	No	
row_48	Rasa1	1860	3.7510862350463867	0.3565225	No	
row_49	Ctnna1	2033	3.444240093231201	0.35097906	No	
row_50	Tial1	2053	3.412757635116577	0.3531855	No	
row_51	Tmem8b	2127	3.262589693069458	0.3525068	No	
row_52	Cldn9	2284	2.99680495262146	0.3473609	No	
row_53	Shc1	2355	2.888925313949585	0.34648737	No	
row_54	Vcan	2381	2.8482089042663574	0.34786394	No	
row_55	Sorbs3	2437	2.78926420211792	0.3476604	No	
row_56	Ptk2	2648	2.4920215606689453	0.3392997	No	
row_57	Col16a1	2765	2.3424746990203857	0.33557937	No	
row_58	Amigo2	2842	2.2442309856414795	0.33380142	No	
row_59	Cercam	2861	2.225449800491333	0.334955	No	
row_60	Tsc1	2958	2.1107747554779053	0.33203614	No	
row_61	Icam1	3032	2.035087823867798	0.33021632	No	
row_62	Icam5	3069	2.004500389099121	0.3302493	No	
row_63	Cdk8	3142	1.9294010400772095	0.3283821	No	
row_64	Map4k2	3185	1.8820374011993408	0.32799616	No	
row_65	Src	3253	1.8049720525741577	0.3262675	No	
row_66	Dhx16	3314	1.7395566701889038	0.32483396	No	
row_67	Inppl1	3447	1.6119440793991089	0.319621	No	
row_68	Rsu1	3528	1.5511702299118042	0.31699544	No	
row_69	Akt3	3576	1.5138165950775146	0.316013	No	
row_70	Itga10	3721	1.3851325511932373	0.30997908	No	
row_71	Nlgn3	3834	1.2987148761749268	0.3054918	No	
row_72	Cx3cl1	4032	1.172648549079895	0.29656562	No	
row_73	Cdh6	4071	1.1456986665725708	0.29569858	No	
row_74	Actn2	4200	1.057916522026062	0.29017398	No	
row_75	Cldn11	4206	1.0524775981903076	0.29089814	No	
row_76	Ctnnd1	4233	1.0342416763305664	0.29053763	No	
row_77	Cd274	4439	0.9016375541687012	0.28095275	No	
row_78	Stx4a	4441	0.8985500931739807	0.2817372	No	
row_79	Exoc4	4475	0.8765276074409485	0.28087416	No	
row_80	Sgce	4605	0.8107717633247375	0.27506897	No	
row_81	Dlg1	4718	0.7453039884567261	0.27006727	No	
row_82	Itgb1	4881	0.6601843237876892	0.26244423	No	
row_83	Parva	4914	0.6383520364761353	0.26141065	No	
row_84	Mapk11	5157	0.5056060552597046	0.2495764	No	
row_85	Amigo1	5468	0.33522316813468933	0.23412637	No	
row_86	Cadm3	5559	0.2851659059524536	0.2298155	No	
row_87	Cd276	5576	0.27802279591560364	0.22926044	No	
row_88	Mpzl1	5778	0.15837307274341583	0.21918802	No	
row_89	Baiap2	5874	0.10294988006353378	0.21445355	No	
row_90	Akt2	5898	0.09005071222782135	0.21336783	No	
row_91	Cd34	5919	0.07980293780565262	0.21242514	No	
row_92	Myh10	5992	0.041302476078271866	0.20880277	No	
