NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Atf3	114	16.009769439697266	0.030369561	No	
row_1	Jag1	613	8.481343269348145	0.024351195	No	
row_2	Pnrc1	692	7.941936492919922	0.038333047	No	
row_3	Errfi1	717	7.676884651184082	0.054444734	No	
row_4	Stx5a	1348	5.012821674346924	0.033930745	No	
row_5	Tnfrsf12a	1371	4.946935653686523	0.0439829	No	
row_6	Chka	1612	4.246966361999512	0.041442584	No	
row_7	Fads2	1756	3.9618968963623047	0.043159187	No	
row_8	Cpeb2	2992	2.0790441036224365	-0.01453861	No	
row_9	Trp53inp1	3337	1.7205088138580322	-0.028034134	No	
row_10	Atxn2	3374	1.6817976236343384	-0.02605753	No	
row_11	Fasn	4683	0.7674440741539001	-0.09040296	No	
row_12	Gpx8	4700	0.7559341192245483	-0.08950536	No	
row_13	Nfil3	4810	0.7012841105461121	-0.093429245	No	
row_14	Plaur	5129	0.5195680260658264	-0.10832142	No	
row_15	Abca2	5743	0.18133202195167542	-0.13887963	No	
row_16	Avpr1a	6517	-0.22732679545879364	-0.17741689	No	
row_17	Gldc	6944	-0.42666685581207275	-0.19797464	No	
row_18	Tm7sf2	7049	-0.47631728649139404	-0.20215361	No	
row_19	Lss	7504	-0.6608995795249939	-0.22359726	No	
row_20	Clu	8402	-0.9197824001312256	-0.2668361	No	
row_21	Cxcl16	8849	-1.059831976890564	-0.28697535	No	
row_22	Srebf2	12311	-2.3444323539733887	-0.4565269	No	
row_23	Pcyt2	12358	-2.3673133850097656	-0.4535085	No	
row_24	Aldoc	12740	-2.5620851516723633	-0.46697405	No	
row_25	Dhcr7	13487	-2.959146738052368	-0.49798253	No	
row_26	Nsdhl	13568	-3.0034666061401367	-0.49524617	No	
row_27	Mvk	14074	-3.34885311126709	-0.51320046	No	
row_28	Adh4	14150	-3.405803680419922	-0.5093035	No	
row_29	Gnai1	14369	-3.5599193572998047	-0.5122829	No	
row_30	Ldlr	14496	-3.6478817462921143	-0.5104161	No	
row_31	Lgmn	14620	-3.7451698780059814	-0.50817823	No	
row_32	Gstm7	15146	-4.2261857986450195	-0.525163	Yes	
row_33	Ctnnb1	15272	-4.339529037475586	-0.5216849	Yes	
row_34	Lpl	15496	-4.5420613288879395	-0.5227005	Yes	
row_35	Hsd17b7	15620	-4.6683549880981445	-0.5183793	Yes	
row_36	Pdk3	15657	-4.703381538391113	-0.509584	Yes	
row_37	Gusb	15758	-4.805065155029297	-0.5037924	Yes	
row_38	Pparg	16351	-5.537065505981445	-0.52120364	Yes	
row_39	Acat2	16425	-5.625270366668701	-0.51219714	Yes	
row_40	Acss2	16443	-5.643220901489258	-0.5003211	Yes	
row_41	Trib3	16449	-5.654879093170166	-0.48781258	Yes	
row_42	Stard4	16634	-5.917336463928223	-0.48375443	Yes	
row_43	Sema3b	16775	-6.152500152587891	-0.47694284	Yes	
row_44	Tmem97	16837	-6.250488758087158	-0.4659192	Yes	
row_45	Fdft1	16970	-6.435976028442383	-0.45806375	Yes	
row_46	Sc5d	16980	-6.454202175140381	-0.44395348	Yes	
row_47	Antxr2	17011	-6.503698348999023	-0.43079236	Yes	
row_48	Mvd	17027	-6.534245014190674	-0.41680458	Yes	
row_49	Niban1	17269	-7.00421142578125	-0.41317326	Yes	
row_50	Ethe1	17350	-7.141003608703613	-0.40109986	Yes	
row_51	Lgals3	17358	-7.1531982421875	-0.38531116	Yes	
row_52	Atf5	17764	-7.975879669189453	-0.38777202	Yes	
row_53	Hmgcs1	17881	-8.251916885375977	-0.37501034	Yes	
row_54	Idi1	17979	-8.535663604736328	-0.36064848	Yes	
row_55	Hmgcr	18024	-8.672043800354004	-0.34330142	Yes	
row_56	Alcam	18231	-9.318425178527832	-0.33267957	Yes	
row_57	Fdps	18316	-9.624529838562012	-0.3152038	Yes	
row_58	Actg1	18426	-10.031211853027344	-0.2980732	Yes	
row_59	Pmvk	18510	-10.305886268615723	-0.2790093	Yes	
row_60	Cyp51	18562	-10.489795684814453	-0.25791383	Yes	
row_61	Mal2	18630	-10.770065307617188	-0.23699415	Yes	
row_62	Fbxo6	18667	-10.930559158325195	-0.21414624	Yes	
row_63	Anxa5	18799	-11.562719345092773	-0.19467096	Yes	
row_64	Plscr1	18830	-11.731117248535156	-0.16971336	Yes	
row_65	Sqle	18838	-11.80361270904541	-0.14343025	Yes	
row_66	Cd9	18913	-12.234664916992188	-0.1195591	Yes	
row_67	Ech1	19111	-13.588696479797363	-0.09884605	Yes	
row_68	Ebp	19239	-14.699082374572754	-0.07209099	Yes	
row_69	S100a11	19531	-18.3115291595459	-0.045468792	Yes	
row_70	Fabp5	19819	-27.60331916809082	0.0023238787	Yes	
