NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Col4a2	80	18.09926414489746	0.012726352	No	
row_1	Irf7	81	18.077617645263672	0.029497454	No	
row_2	Pclo	145	14.900640487670898	0.040120132	No	
row_3	C1s1	187	13.74373722076416	0.05078735	No	
row_4	Hspa1a	197	13.473020553588867	0.062829345	No	
row_5	C3	212	13.26187801361084	0.074421406	No	
row_6	Mmp14	303	11.578895568847656	0.08059053	No	
row_7	Zeb1	342	11.077187538146973	0.088936344	No	
row_8	Lrp1	390	10.410053253173828	0.09620595	No	
row_9	Ctsl	401	10.29312801361084	0.10524706	No	
row_10	Csrp1	408	10.221025466918945	0.11442453	No	
row_11	Irf1	486	9.484851837158203	0.11931148	No	
row_12	Klkb1	540	9.072419166564941	0.12503526	No	
row_13	Cblb	636	8.339933395385742	0.12794545	No	
row_14	Serpine1	670	8.109899520874023	0.13379249	No	
row_15	Tnfaip3	784	7.329833984375	0.134851	No	
row_16	Dgkh	860	6.927317142486572	0.13746688	No	
row_17	Zfpm2	918	6.665404796600342	0.14075437	No	
row_18	Dock10	1569	4.371204853057861	0.11178287	No	
row_19	Pim1	1726	4.007613658905029	0.10757442	No	
row_20	Cdk5r1	1932	3.610927104949951	0.10050824	No	
row_21	Pik3ca	1985	3.5238046646118164	0.10113523	No	
row_22	Vcpip1	2173	3.181826591491699	0.094585545	No	
row_23	Brpf3	2386	2.8453383445739746	0.08645343	No	
row_24	Akap10	2570	2.610734224319458	0.07957718	No	
row_25	Dusp6	2627	2.5223429203033447	0.07907184	No	
row_26	Raf1	2735	2.3885533809661865	0.07585105	No	
row_27	F3	2772	2.3341197967529297	0.0761873	No	
row_28	Kif2a	3031	2.035539150238037	0.064966634	No	
row_29	Ppp4c	3072	2.0005764961242676	0.06479021	No	
row_30	Spock2	3123	1.9513585567474365	0.06406002	No	
row_31	Src	3253	1.8049720525741577	0.059179995	No	
row_32	Ctsd	3450	1.6106399297714233	0.050715387	No	
row_33	Mmp12	3512	1.5633522272109985	0.049066313	No	
row_34	Hpcal4	3627	1.459566593170166	0.044628005	No	
row_35	Prkcd	3672	1.4262765645980835	0.043715544	No	
row_36	Was	3699	1.404737114906311	0.043697685	No	
row_37	Kcnip3	3820	1.3047475814819336	0.038810883	No	
row_38	Lck	4118	1.1133239269256592	0.024753047	No	
row_39	Actn2	4200	1.057916522026062	0.021618862	No	
row_40	Cp	4278	1.0084787607192993	0.018642051	No	
row_41	Stx4a	4441	0.8985500931739807	0.011244372	No	
row_42	Lamp2	4757	0.7272866368293762	-0.0040861885	No	
row_43	Pdgfb	4788	0.7131015658378601	-0.0049489373	No	
row_44	Cd46	4804	0.7034797668457031	-0.005058456	No	
row_45	Mmp15	4861	0.6730967164039612	-0.00727939	No	
row_46	Plaur	5129	0.5195680260658264	-0.020363757	No	
