NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Smad5	373	10.565801620483398	-0.008528749	No	
row_1	Pde4b	466	9.650745391845703	-0.003706856	No	
row_2	Rev3l	714	7.730103969573975	-0.008633544	No	
row_3	Ercc5	917	6.679511070251465	-0.012310985	No	
row_4	Cmpk2	1008	6.232215404510498	-0.01074835	No	
row_5	Bcam	1338	5.04611873626709	-0.022472033	No	
row_6	Nfx1	1652	4.174639701843262	-0.03424105	No	
row_7	Snapc4	1657	4.169025421142578	-0.030345418	No	
row_8	Npr2	1797	3.8714144229888916	-0.03358855	No	
row_9	Ercc2	2020	3.4739058017730713	-0.041431606	No	
row_10	Ago4	2161	3.2058799266815186	-0.045379724	No	
row_11	Usp11	2203	3.1243743896484375	-0.04438743	No	
row_12	Vps37d	2413	2.8111064434051514	-0.052222803	No	
row_13	Pola1	2634	2.5129401683807373	-0.060909137	No	
row_14	Xpc	2844	2.2436676025390625	-0.06930235	No	
row_15	Dgcr8	3148	1.9172836542129517	-0.0827834	No	
row_16	Upf3b	3274	1.782381296157837	-0.08737025	No	
row_17	Pom121	3795	1.3227304220199585	-0.1124404	No	
row_18	Ercc8	3830	1.3006489276885986	-0.11288599	No	
row_19	Srsf6	3880	1.2613475322723389	-0.11413089	No	
row_20	Pde6g	3915	1.2322889566421509	-0.114643686	No	
row_21	Zfp707	4051	1.1598320007324219	-0.12034967	No	
row_22	Taf1c	4338	0.9674422144889832	-0.13390237	No	
row_23	Gtf3c5	4422	0.9124028086662292	-0.13721454	No	
row_24	Supt5	4764	0.7221532464027405	-0.15379758	No	
row_25	Ercc4	4857	0.6774243116378784	-0.15779717	No	
row_26	Adcy6	5059	0.5588578581809998	-0.16744098	No	
row_27	Stx3	5524	0.3056896924972534	-0.19067107	No	
row_28	Taf9	5642	0.2369326949119568	-0.19637151	No	
row_29	Rnmt	5867	0.10479416698217392	-0.20762809	No	
row_30	Ccno	6537	-0.2362186163663864	-0.24132255	No	
row_31	Poll	6747	-0.3353016972541809	-0.25159183	No	
row_32	Tk2	7310	-0.5830495357513428	-0.27951908	No	
row_33	Rad52	7518	-0.6672430038452148	-0.2893606	No	
row_34	Gmpr2	7598	-0.6919703483581543	-0.29268664	No	
row_35	Tarbp2	8103	-0.8304799795150757	-0.3174293	No	
row_36	Polh	8330	-0.8982524871826172	-0.32800728	No	
row_37	Ddb2	8429	-0.9298973679542542	-0.33206296	No	
row_38	Prim1	9198	-1.1589908599853516	-0.36987078	No	
row_39	Ddb1	9303	-1.1922547817230225	-0.3739728	No	
row_40	Cstf3	9342	-1.2046451568603516	-0.37471563	No	
row_41	Rad51	9679	-1.3057491779327393	-0.39047137	No	
row_42	Ercc3	10035	-1.4143993854522705	-0.40708384	No	
row_43	Dctn4	10182	-1.4637173414230347	-0.41304892	No	
row_44	Nme3	10836	-1.6973940134048462	-0.44449553	No	
row_45	Ssrp1	10957	-1.7438485622406006	-0.44886667	No	
row_46	Taf6	10981	-1.7519577741622925	-0.44831076	No	
row_47	Nme4	11057	-1.7844946384429932	-0.45035988	No	
row_48	Aaas	11073	-1.7911168336868286	-0.44935977	No	
row_49	Nelfb	11148	-1.8236117362976074	-0.45131975	No	
row_50	Cda	11151	-1.8246427774429321	-0.4496274	No	
row_51	Gtf2h1	11153	-1.8250908851623535	-0.4478839	No	
row_52	Umps	11254	-1.8747187852859497	-0.45111215	No	
row_53	Sec61a1	11791	-2.1021435260772705	-0.4762275	No	
row_54	Vps37b	12004	-2.2039906978607178	-0.48481184	No	
row_55	Polr3c	12180	-2.283508777618408	-0.49144167	No	
row_56	Hcls1	12285	-2.332582950592041	-0.49442264	No	
row_57	Pold3	12505	-2.4381771087646484	-0.50313175	No	
row_58	Polr3gl	12529	-2.4498376846313477	-0.50188977	No	
row_59	Polr2a	12846	-2.6175413131713867	-0.5153417	No	
row_60	Impdh2	12987	-2.686006546020508	-0.5198009	No	
