NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Stag1	349	10.990194320678711	-0.004725152	No	
row_1	Tra2b	358	10.879278182983398	0.007756107	No	
row_2	Syncrip	585	8.646428108215332	0.0065082526	No	
row_3	Luc7l3	631	8.373321533203125	0.014139631	No	
row_4	Nup153	1266	5.305751800537109	-0.011810074	No	
row_5	Dnmt1	1614	4.242828369140625	-0.024426728	No	
row_6	Smc1a	1631	4.202016830444336	-0.02026236	No	
row_7	Tubb5	1680	4.104983329772949	-0.017839953	No	
row_8	Wee1	1808	3.8592686653137207	-0.019725304	No	
row_9	Ilf3	1824	3.8347465991973877	-0.015945176	No	
row_10	Nop56	2160	3.207526206970215	-0.02917816	No	
row_11	Tbrg4	2250	3.0632517337799072	-0.03007443	No	
row_12	Nasp	2252	3.0593106746673584	-0.026501099	No	
row_13	Suv39h1	2270	3.0238685607910156	-0.023783255	No	
row_14	Tk1	2344	2.918461799621582	-0.024037546	No	
row_15	Prkdc	2586	2.585308074951172	-0.033228297	No	
row_16	Chek2	2661	2.4759435653686523	-0.034057654	No	
row_17	Rfc1	2892	2.190018653869629	-0.0431574	No	
row_18	Dclre1b	2900	2.1820714473724365	-0.04092834	No	
row_19	Pnn	3016	2.0540733337402344	-0.044342067	No	
row_20	Nolc1	3268	1.7900934219360352	-0.0549833	No	
row_21	Brca2	3372	1.6834759712219238	-0.058225922	No	
row_22	Srsf2	3423	1.6380293369293213	-0.05882765	No	
row_23	Brms1l	3534	1.5489604473114014	-0.06258553	No	
row_24	Hnrnpd	3554	1.5334726572036743	-0.06173496	No	
row_25	Dck	3575	1.5149158239364624	-0.060957212	No	
row_26	Cit	3597	1.491057276725769	-0.06025857	No	
row_27	Ncapd2	3831	1.3005337715148926	-0.07056456	No	
row_28	Cbx5	4001	1.1873846054077148	-0.07775058	No	
row_29	Pms2	4027	1.1751313209533691	-0.07762957	No	
row_30	Mre11a	4064	1.1479594707489014	-0.07810004	No	
row_31	Ipo7	4079	1.1388028860092163	-0.077462785	No	
row_32	Mybl2	4102	1.123576283454895	-0.077250324	No	
row_33	Pan2	4838	0.6862876415252686	-0.11380767	No	
row_34	Atad2	4875	0.663474977016449	-0.11485208	No	
row_35	Bard1	5044	0.56427001953125	-0.12272541	No	
row_36	Nup107	5213	0.4800886809825897	-0.13069847	No	
row_37	Timeless	5333	0.41570845246315	-0.13625644	No	
row_38	Mcm7	5385	0.3860646188259125	-0.13839215	No	
row_39	Tmpo	5395	0.37986594438552856	-0.13839974	No	
row_40	Ung	5405	0.3730151653289795	-0.13841544	No	
row_41	Nbn	5501	0.31765198707580566	-0.14286932	No	
row_42	Srsf1	5534	0.2993793487548828	-0.14414167	No	
row_43	Gins3	5674	0.21800851821899414	-0.15095073	No	
row_44	Hus1	5678	0.21724578738212585	-0.1508459	No	
row_45	Mlh1	5800	0.1436568945646286	-0.15682785	No	
row_46	Mxd3	6327	-0.12794530391693115	-0.18342023	No	
row_47	Ctcf	6340	-0.13867706060409546	-0.18386608	No	
row_48	Lbr	6345	-0.14015492796897888	-0.18390343	No	
row_49	Orc2	6419	-0.1802811473608017	-0.18740146	No	
row_50	Msh2	6437	-0.18617503345012665	-0.18804526	No	
row_51	Zw10	6530	-0.23329080641269684	-0.19244654	No	
row_52	Ppp1r8	6564	-0.2479790598154068	-0.19383064	No	
row_53	Ccne1	6565	-0.24907012283802032	-0.19353558	No	
row_54	Xpo1	6704	-0.31257662177085876	-0.20018175	No	
row_55	Nup205	6874	-0.3959570527076721	-0.20830533	No	
row_56	Cdkn1b	7141	-0.5192931890487671	-0.22121467	No	
row_57	Cdc25b	7295	-0.5780511498451233	-0.22830902	No	
row_58	Mcm2	7399	-0.6224435567855835	-0.23280858	No	
row_59	Plk4	7588	-0.6883319020271301	-0.24155183	No	
row_60	Smc3	7654	-0.7095144391059875	-0.24401617	No	
row_61	Xrcc6	7672	-0.7144817113876343	-0.24403411	No	
row_62	Nap1l1	7705	-0.7231540083885193	-0.24480444	No	
row_63	Kif2c	7827	-0.7563959956169128	-0.25006053	No	
row_64	Rpa1	7830	-0.7569560408592224	-0.24926548	No	
row_65	Hmga1b	8177	-0.853179931640625	-0.2658468	No	
row_66	Ccp110	8302	-0.8902214765548706	-0.27109686	No	
row_67	Smc6	8425	-0.9290915131568909	-0.2761992	No	
row_68	Rad51c	8615	-0.986291229724884	-0.2846403	No	
row_69	Cdc25a	8669	-1.0013830661773682	-0.2861488	No	
row_70	Lmnb1	8696	-1.0106655359268188	-0.28627345	No	
row_71	Chek1	8810	-1.0489614009857178	-0.2907762	No	
row_72	Mki67	8887	-1.069757342338562	-0.29337305	No	
row_73	Dscc1	8987	-1.098897099494934	-0.2971048	No	
row_74	Paics	9047	-1.1158349514007568	-0.29878274	No	
row_75	Hmgb3	9135	-1.1416163444519043	-0.30185378	No	
