NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Glul	222	13.032821655273438	0.002060451	No	
row_1	Hpgd	639	8.331451416015625	-0.010524615	No	
row_2	Lgals1	787	7.3158183097839355	-0.010503332	No	
row_3	Bmpr1b	1066	6.043820381164551	-0.01842685	No	
row_4	Hsph1	1780	3.9142394065856934	-0.050591443	No	
row_5	Acsl4	2034	3.4436793327331543	-0.05990451	No	
row_6	Ugdh	2281	3.001260757446289	-0.06931472	No	
row_7	Slc22a5	2679	2.4498047828674316	-0.08694771	No	
row_8	Hsp90aa1	2774	2.333817720413208	-0.08933024	No	
row_9	Cidea	2986	2.0860254764556885	-0.09790062	No	
row_10	D2hgdh	3922	1.2286697626113892	-0.14407061	No	
row_11	Acads	4154	1.0882540941238403	-0.15467526	No	
row_12	Adsl	4267	1.0152992010116577	-0.15931848	No	
row_13	Rap1gds1	4363	0.9500464200973511	-0.16316609	No	
row_14	Ppara	4667	0.776923418045044	-0.177741	No	
row_15	Fasn	4683	0.7674440741539001	-0.17771743	No	
row_16	Odc1	5113	0.5276485085487366	-0.1989382	No	
row_17	Cpt1a	5204	0.4857686460018158	-0.20300676	No	
row_18	Idh1	5371	0.3942142724990845	-0.21102381	No	
row_19	Nbn	5501	0.31765198707580566	-0.21724238	No	
row_20	Prdx6	5654	0.22801843285560608	-0.22471918	No	
row_21	Fmo1	5968	0.053591690957546234	-0.24054064	No	
row_22	Cryz	6198	-0.0647321343421936	-0.25209	No	
row_23	Aldh3a1	6391	-0.16381505131721497	-0.26166135	No	
row_24	Rdh1	6491	-0.21503965556621552	-0.2664631	No	
row_25	Aoc3	6827	-0.3722969591617584	-0.2830747	No	
row_26	Trp53inp2	7319	-0.5856642723083496	-0.307381	No	
row_27	Pdha1	7346	-0.5995804071426392	-0.30808696	No	
row_28	Aqp7	7457	-0.644888162612915	-0.31300732	No	
row_29	Etfdh	7754	-0.7349361181259155	-0.3272701	No	
row_30	Dlst	7763	-0.7372442483901978	-0.32692233	No	
row_31	Nthl1	7772	-0.7398151159286499	-0.32657194	No	
row_32	Acaa2	7943	-0.7880163192749023	-0.3343894	No	
row_33	Acot2	8135	-0.8398371934890747	-0.34321904	No	
row_34	Gstz1	8332	-0.8988672494888306	-0.35224196	No	
row_35	Rdh11	8339	-0.9007082581520081	-0.35162568	No	
row_36	Gabarapl1	9087	-1.1280921697616577	-0.3883626	No	
row_37	G0s2	9255	-1.1790516376495361	-0.39562818	No	
row_38	Cyp4a10	9489	-1.2485474348068237	-0.40617046	No	
row_39	Gpd1	9620	-1.2895495891571045	-0.41144636	No	
row_40	Cd36	9697	-1.310908555984497	-0.4139614	No	
row_41	Cpox	11003	-1.760671615600586	-0.47835508	No	
row_42	Acsm3	11367	-1.9346970319747925	-0.49479	No	
row_43	Gad2	11378	-1.9398247003555298	-0.4933145	No	
row_44	Gpd2	11410	-1.9521567821502686	-0.4928916	No	
row_45	Metap1	11624	-2.0341436862945557	-0.5016165	No	
row_46	Hsd17b11	12160	-2.273211717605591	-0.5264297	No	
row_47	Ehhadh	12253	-2.3187060356140137	-0.5287262	No	
row_48	Inmt	12355	-2.365896701812744	-0.531431	No	
row_49	Adh7	12392	-2.386892795562744	-0.5308174	No	
row_50	Aadat	12434	-2.404388427734375	-0.5304395	No	
row_51	Cyp1a1	12531	-2.4505789279937744	-0.53280413	No	
row_52	Hsdl2	12892	-2.6400437355041504	-0.54836595	No	
row_53	Serinc1	13055	-2.7248106002807617	-0.553798	No	
row_54	Hao2	13116	-2.754784345626831	-0.5540257	No	
row_55	Ncaph2	13186	-2.792694568634033	-0.5546711	No	
row_56	Hibch	13356	-2.8801429271698	-0.56029946	No	
row_57	Cel	13470	-2.9511919021606445	-0.56301475	No	
row_58	Nsdhl	13568	-3.0034666061401367	-0.564865	No	
row_59	Fabp2	13579	-3.009603261947632	-0.5622961	No	
row_60	Gcdh	13675	-3.0739641189575195	-0.56397283	No	
row_61	Retsat	13705	-3.0908310413360596	-0.56228465	No	
row_62	Uros	13756	-3.127140522003174	-0.5616245	No	
row_63	Reep6	13963	-3.274808168411255	-0.5687262	No	
row_64	Hmgcl	14012	-3.3142056465148926	-0.5677734	No	
row_65	Aldh3a2	14195	-3.4294722080230713	-0.5734997	No	
row_66	Ephx1	14355	-3.5482780933380127	-0.5779379	No	
row_67	Eci2	14402	-3.581723213195801	-0.57661027	No	
row_68	Aldh1a1	14675	-3.786602020263672	-0.5865366	No	
row_69	Car4	14954	-4.049467086791992	-0.5964985	No	
row_70	Hsd17b4	15174	-4.252889633178711	-0.6032599	Yes	
row_71	Acss1	15211	-4.288934707641602	-0.60070217	Yes	
row_72	Gapdhs	15229	-4.299276351928711	-0.5971702	Yes	
row_73	Urod	15324	-4.382574081420898	-0.59745866	Yes	
row_74	Hmgcs2	15405	-4.456855773925781	-0.5969611	Yes	
row_75	Hccs	15586	-4.627098560333252	-0.6013618	Yes	
row_76	Hsd17b7	15620	-4.6683549880981445	-0.59826416	Yes	
row_77	Vnn1	15672	-4.7130913734436035	-0.5960337	Yes	
row_78	Acadvl	15872	-4.925820827484131	-0.6010929	Yes	
row_79	Maoa	15901	-4.96314001083374	-0.59744024	Yes	
row_80	Car6	15907	-4.970902919769287	-0.59261304	Yes	
row_81	Tdo2	15908	-4.97238302230835	-0.5875308	Yes	
row_82	Decr1	15934	-5.004332065582275	-0.5836839	Yes	
row_83	Aldh9a1	16005	-5.088978290557861	-0.58203304	Yes	
row_84	Apex1	16018	-5.1028733253479	-0.577426	Yes	
row_85	Cd1d2	16117	-5.224560260772705	-0.5770568	Yes	
row_86	Grhpr	16199	-5.329470634460449	-0.57571805	Yes	
row_87	Auh	16325	-5.504777431488037	-0.57643193	Yes	
row_88	Hsd17b10	16344	-5.5251784324646	-0.57169765	Yes	
row_89	Acat2	16425	-5.625270366668701	-0.57000583	Yes	
row_90	Fabp1	16565	-5.818378448486328	-0.57110935	Yes	
row_91	S100a10	16646	-5.9350810050964355	-0.5691009	Yes	
row_92	Crat	16665	-5.973086833953857	-0.56390876	Yes	
row_93	Car2	16722	-6.0669684410095215	-0.5605482	Yes	
row_94	Mlycd	16747	-6.101590156555176	-0.55552906	Yes	
row_95	Acadl	16828	-6.243165016174316	-0.5532057	Yes	
row_96	Acot8	16920	-6.357914924621582	-0.551323	Yes	
row_97	Blvra	17009	-6.49759578704834	-0.5491454	Yes	
row_98	Bckdhb	17458	-7.345334053039551	-0.5643615	Yes	
row_99	Fh1	17473	-7.377530574798584	-0.557531	Yes	
row_100	Dld	17494	-7.409670829772949	-0.55097204	Yes	
row_101	Ldha	17502	-7.4179911613464355	-0.5437451	Yes	
row_102	Acaa1a	17532	-7.488429546356201	-0.53756213	Yes	
row_103	Idh3b	17597	-7.610936164855957	-0.5330292	Yes	
row_104	Suclg2	17670	-7.750511169433594	-0.5287594	Yes	
row_105	Bphl	17735	-7.894993305206299	-0.52393615	Yes	
row_106	Cbr3	17737	-7.902019500732422	-0.51591015	Yes	
row_107	Acsl1	17830	-8.149918556213379	-0.5122466	Yes	
row_108	Hmgcs1	17881	-8.251916885375977	-0.50634843	Yes	
row_109	Idi1	17979	-8.535663604736328	-0.50254416	Yes	
row_110	Idh3g	18019	-8.652691841125488	-0.49567842	Yes	
row_111	Acadm	18022	-8.663511276245117	-0.48692483	Yes	
row_112	Erp29	18125	-8.969329833984375	-0.48293096	Yes	
row_113	Echs1	18149	-9.056074142456055	-0.47484133	Yes	
row_114	Sucla2	18192	-9.212666511535645	-0.46755537	Yes	
row_115	Eno3	18249	-9.381219863891602	-0.46080726	Yes	
row_116	Acsl5	18261	-9.427580833435059	-0.45172924	Yes	
row_117	Pdhb	18386	-9.848250389099121	-0.44795293	Yes	
row_118	Kmt5a	18407	-9.9331636428833	-0.43881464	Yes	
row_119	Ywhah	18486	-10.224079132080078	-0.43232092	Yes	
row_120	Hadh	18514	-10.315208435058594	-0.42314723	Yes	
row_121	Pts	18549	-10.439983367919922	-0.41420105	Yes	
row_122	Elovl5	18591	-10.622447967529297	-0.4054234	Yes	
row_123	Alad	18662	-10.913601875305176	-0.39781916	Yes	
row_124	Eno2	18722	-11.196181297302246	-0.38936815	Yes	
row_125	Sdha	18736	-11.27422046661377	-0.3785041	Yes	
row_126	Ltc4s	18777	-11.454723358154297	-0.36882508	Yes	
row_127	Cpt2	18789	-11.502869606018066	-0.3576259	Yes	
row_128	Hadhb	18842	-11.817519187927246	-0.34818473	Yes	
row_129	Dhcr24	18856	-11.88878059387207	-0.33669254	Yes	
row_130	Sdhc	18864	-11.933876991271973	-0.32484993	Yes	
row_131	Cbr1	18878	-12.017121315002441	-0.31322655	Yes	
row_132	Mgll	18927	-12.33405590057373	-0.30305457	Yes	
row_133	Ech1	19111	-13.588696479797363	-0.29844776	Yes	
row_134	Mif	19123	-13.68605899810791	-0.2850171	Yes	
row_135	Eci1	19133	-13.743488311767578	-0.27142632	Yes	
row_136	Adipor2	19228	-14.631685256958008	-0.26123917	Yes	
