NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Map3k20	50	20.628469467163086	0.0210557	Yes	
row_1	Meis2	78	18.354534149169922	0.04067941	Yes	
row_2	Atrx	109	16.222013473510742	0.05771116	Yes	
row_3	Hif1a	136	15.246981620788574	0.07383089	Yes	
row_4	Meis1	147	14.878082275390625	0.09034201	Yes	
row_5	Foxn3	154	14.670190811157227	0.10681865	Yes	
row_6	Sfpq	174	14.074481010437012	0.12195297	Yes	
row_7	Numa1	183	13.901996612548828	0.13744919	Yes	
row_8	Prpf4b	230	12.885391235351562	0.1498507	Yes	
row_9	Notch2	251	12.50660228729248	0.16314064	Yes	
row_10	Hnrnpu	255	12.4387845993042	0.17721723	Yes	
row_11	Stag1	349	10.990194320678711	0.18506145	Yes	
row_12	Tra2b	358	10.879278182983398	0.1970999	Yes	
row_13	Ythdc1	419	10.148797988891602	0.20565923	Yes	
row_14	Pml	547	9.039347648620605	0.2095434	Yes	
row_15	Ncl	570	8.798296928405762	0.21848963	Yes	
row_16	Syncrip	585	8.646428108215332	0.22766884	Yes	
row_17	Mtf2	713	7.731839179992676	0.2300573	Yes	
row_18	Ccnd1	788	7.310185432434082	0.23465775	Yes	
row_19	Abl1	789	7.293042182922363	0.24300048	Yes	
row_20	Dmd	802	7.253726482391357	0.2506882	Yes	
row_21	Bcl3	895	6.754448413848877	0.25373787	Yes	
row_22	Mapk14	920	6.663641929626465	0.26014054	Yes	
row_23	Smarcc1	947	6.523434162139893	0.26628116	Yes	
row_24	Pura	1102	5.866146087646484	0.26516283	Yes	
row_25	Top1	1218	5.501935005187988	0.2656105	Yes	
row_26	Tent4a	1252	5.368710041046143	0.2700743	Yes	
row_27	E2f3	1350	5.011155605316162	0.2708756	Yes	
row_28	Ewsr1	1622	4.225682735443115	0.26193285	No	
row_29	Smc1a	1631	4.202016830444336	0.26633298	No	
row_30	Ilf3	1824	3.8347465991973877	0.2609591	No	
row_31	Nup98	2013	3.480832576751709	0.2553837	No	
row_32	Tnpo2	2222	3.0901660919189453	0.24834469	No	
row_33	Nasp	2252	3.0593106746673584	0.2503701	No	
row_34	Suv39h1	2270	3.0238685607910156	0.25296494	No	
row_35	Slc12a2	2359	2.884572744369507	0.25179112	No	
row_36	Srsf10	2684	2.4474503993988037	0.23811987	No	
row_37	Cul5	2966	2.0979247093200684	0.22623476	No	
row_38	Upf1	3078	1.995133399963379	0.22287422	No	
row_39	Nolc1	3268	1.7900934219360352	0.21531391	No	
row_40	Brca2	3372	1.6834759712219238	0.21200356	No	
row_41	Srsf2	3423	1.6380293369293213	0.21133554	No	
row_42	Wrn	3431	1.6322640180587769	0.21284688	No	
row_43	Hnrnpd	3554	1.5334726572036743	0.20839904	No	
row_44	Casp8ap2	3611	1.4765619039535522	0.2072413	No	
row_45	Fancc	3652	1.438929557800293	0.20685388	No	
row_46	Ccnt1	3865	1.2759133577346802	0.19753614	No	
row_47	Odf2	3939	1.219040036201477	0.19521959	No	
row_48	Egf	4063	1.1495260000228882	0.1902817	No	
row_49	Mybl2	4102	1.123576283454895	0.18963522	No	
row_50	Ccnf	4287	1.001394271850586	0.18142688	No	
row_51	Rbl1	4320	0.9756019711494446	0.18091613	No	
row_52	Cul4a	4384	0.9399829506874084	0.17878872	No	
row_53	Arid4a	4530	0.8498299717903137	0.17238961	No	
