NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tgfbi	31	23.36013412475586	0.018676547	No	
row_1	Plod2	61	19.706993103027344	0.034287583	No	
row_2	Sdc3	150	14.748883247375488	0.042600084	No	
row_3	Sox9	163	14.378194808959961	0.05445555	No	
row_4	Egfr	194	13.599722862243652	0.06472085	No	
row_5	Ext1	219	13.153383255004883	0.07490426	No	
row_6	Gpc1	263	12.377068519592285	0.083448544	No	
row_7	Agrn	315	11.411994934082031	0.09074935	No	
row_8	Zfp292	409	10.21578598022461	0.09487751	No	
row_9	Vegfa	554	8.983449935913086	0.09534408	No	
row_10	Irs2	574	8.75619888305664	0.10196945	No	
row_11	Chst2	732	7.615602016448975	0.10058912	No	
row_12	Dsc2	830	7.093214511871338	0.10180668	No	
row_13	Cd44	1148	5.6985273361206055	0.090628825	No	
row_14	Angptl4	1183	5.602902889251709	0.09375765	No	
row_15	Hs2st1	1314	5.149509429931641	0.091612116	No	
row_16	Tpbg	1545	4.427043437957764	0.08375556	No	
row_17	Sdc1	1719	4.015281677246094	0.07844028	No	
row_18	Homer1	1754	3.9640166759490967	0.08014822	No	
row_19	Ddit4	2032	3.446279764175415	0.06905157	No	
row_20	Spag4	2063	3.395989179611206	0.07047043	No	
row_21	Fkbp4	2211	3.1055572032928467	0.06568844	No	
row_22	Nasp	2252	3.0593106746673584	0.06630694	No	
row_23	Cldn9	2284	2.99680495262146	0.06732887	No	
row_24	Vcan	2381	2.8482089042663574	0.06491694	No	
row_25	Xylt2	2398	2.829857110977173	0.066556826	No	
row_26	Ier3	2527	2.658482074737549	0.062353313	No	
row_27	Got2	2590	2.5838429927825928	0.061440967	No	
row_28	Pygb	2598	2.565274238586426	0.06330909	No	
row_29	Vldlr	2610	2.5503032207489014	0.06496084	No	
row_30	P4ha1	2682	2.448184013366699	0.063473254	No	
row_31	Me2	2690	2.4391398429870605	0.065232016	No	
row_32	Plod1	2762	2.3495681285858154	0.06365894	No	
row_33	Il13ra1	2949	2.1211323738098145	0.056040455	No	
row_34	Col5a1	2982	2.0865354537963867	0.05622235	No	
row_35	Ankzf1	2983	2.086308240890503	0.05803114	No	
row_36	Gys1	3017	2.0538809299468994	0.058133878	No	
row_37	Kif2a	3031	2.035539150238037	0.059237648	No	
row_38	Agl	3128	1.9454559087753296	0.056043047	No	
row_39	Mxi1	3440	1.6203064918518066	0.04163453	No	
row_40	Chpf2	3492	1.5775213241577148	0.040409036	No	
row_41	Phka2	3658	1.4353158473968506	0.03326374	No	
row_42	B4galt2	3719	1.387061595916748	0.031415496	No	
row_43	Gpc4	3729	1.3811076879501343	0.03215527	No	
row_44	Nol3	4194	1.06110417842865	0.009482409	No	
row_45	Lhx9	4523	0.8522591590881348	-0.006456382	No	
row_46	Egln3	4527	0.8513228297233582	-0.0058708414	No	
row_47	Hdlbp	4589	0.8195093870162964	-0.008261984	No	
row_48	Idua	4616	0.8043275475502014	-0.0088866595	No	
row_49	Chst5	4728	0.7387577891349792	-0.013890143	No	
row_50	Pfkp	4969	0.6079083681106567	-0.025566282	No	
row_51	Glce	5132	0.5175328254699707	-0.033354737	No	
row_52	Hs6st2	5198	0.4871405363082886	-0.036237426	No	
row_53	B4galt4	5210	0.4819500148296356	-0.036378898	No	
row_54	Lct	5256	0.45698273181915283	-0.038270798	No	
row_55	Chpf	5288	0.4380806088447571	-0.039467234	No	
row_56	B4galt7	5308	0.42985522747039795	-0.040060643	No	
row_57	Cacna1h	5338	0.41294798254966736	-0.041177176	No	
row_58	Aldh7a1	5363	0.39841338992118835	-0.04205208	No	
row_59	Idh1	5371	0.3942142724990845	-0.042066228	No	
row_60	Pfkfb1	5618	0.24892614781856537	-0.054358676	No	
row_61	Mertk	5809	0.13886043429374695	-0.063899145	No	
row_62	Nt5e	5822	0.13202790915966034	-0.06439483	No	
row_63	B3gat1	5928	0.07367236912250519	-0.06966986	No	
row_64	Adora2b	6013	0.03362443670630455	-0.073911816	No	
row_65	Met	6245	-0.08365778625011444	-0.08558485	No	
row_66	Eno1b	6280	-0.10410796105861664	-0.08722337	No	
row_67	Igfbp3	6401	-0.16918744146823883	-0.09317829	No	
row_68	Sod1	6507	-0.22317513823509216	-0.09832369	No	
row_69	Tpst1	6666	-0.2903960347175598	-0.106105685	No	
row_70	Tktl1	6689	-0.3038465976715088	-0.10696088	No	
row_71	Stc1	6822	-0.37059804797172546	-0.11335133	No	
row_72	Rragd	7023	-0.4630281627178192	-0.12311921	No	
row_73	Artn	7109	-0.5047350525856018	-0.12700358	No	
row_74	Abcb6	7121	-0.5118291974067688	-0.12711914	No	
row_75	Slc35a3	7341	-0.5968287587165833	-0.13773711	No	
row_76	B4galt1	7969	-0.79514080286026	-0.16892855	No	
row_77	Pkp2	8277	-0.881993293762207	-0.18377379	No	
row_78	Dcn	8357	-0.9054937362670898	-0.18700562	No	
row_79	Ext2	8393	-0.9172855019569397	-0.18798998	No	
row_80	Chst4	9234	-1.173292875289917	-0.2296839	No	
row_81	Ecd	9283	-1.1866343021392822	-0.23109575	No	
row_82	Pmm2	9581	-1.2787399291992188	-0.24508855	No	
row_83	Cln6	9667	-1.3026126623153687	-0.24828117	No	
row_84	Cited2	9849	-1.352937936782837	-0.25631142	No	
row_85	Sdc2	9861	-1.357405185699463	-0.25569388	No	
row_86	Cog2	9903	-1.3775609731674194	-0.2565843	No	
row_87	Paxip1	9956	-1.393872857093811	-0.25801983	No	
row_88	Slc37a4	10030	-1.4124635457992554	-0.26050708	No	
row_89	Qsox1	10054	-1.4198479652404785	-0.26044556	No	
row_90	Dpysl4	10248	-1.4839340448379517	-0.26897243	No	
row_91	Cxcr4	10412	-1.5430370569229126	-0.27592263	No	
row_92	P4ha2	10427	-1.5483735799789429	-0.27529207	No	
row_93	Pgm2	10686	-1.643310785293579	-0.28698575	No	
row_94	Pgam2	10737	-1.6595184803009033	-0.28808933	No	
row_95	Ldhc	10801	-1.6866257190704346	-0.2898304	No	
row_96	Kdelr3	10907	-1.7260407209396362	-0.29367283	No	
row_97	Ndst3	11150	-1.824280023574829	-0.3043961	No	
row_98	Alg1	11343	-1.9192850589752197	-0.31249467	No	
row_99	Miox	11431	-1.95734441280365	-0.31522134	No	
row_100	Gnpda1	11478	-1.9776934385299683	-0.31584567	No	
row_101	Ak4	11684	-2.055647850036621	-0.324487	No	
row_102	Hmmr	11802	-2.106940984725952	-0.32860938	No	
row_103	Hk2	12324	-2.3528897762298584	-0.35306054	No	
