NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jun	3	34.734405517578125	0.03425003	Yes	
row_1	Tgfbi	31	23.36013412475586	0.056014195	Yes	
row_2	Myh9	37	22.062477111816406	0.07761168	Yes	
row_3	Atf3	114	16.009769439697266	0.08960435	Yes	
row_4	Sdc3	150	14.748883247375488	0.10243278	Yes	
row_5	Fos	180	14.002676963806152	0.1148272	Yes	
row_6	Egfr	194	13.599722862243652	0.12763603	Yes	
row_7	Ext1	219	13.153383255004883	0.13944349	Yes	
row_8	Gpc1	263	12.377068519592285	0.14951602	Yes	
row_9	Bhlhe40	282	11.94998836517334	0.16043665	Yes	
row_10	Bcl2	334	11.164973258972168	0.1689019	Yes	
row_11	Ccn1	377	10.54939079284668	0.17721505	Yes	
row_12	Zfp292	409	10.21578598022461	0.18575709	Yes	
row_13	Klf6	415	10.185063362121582	0.19559062	Yes	
row_14	Lox	532	9.145455360412598	0.1987508	Yes	
row_15	Vegfa	554	8.983449935913086	0.2065807	Yes	
row_16	Irs2	574	8.75619888305664	0.2142872	Yes	
row_17	Wsb1	577	8.72070026397705	0.2228229	Yes	
row_18	Serpine1	670	8.109899520874023	0.22617768	Yes	
row_19	Tgfb3	676	8.02491283416748	0.2338717	Yes	
row_20	Pgf	686	7.9864821434021	0.24132428	Yes	
row_21	Pnrc1	692	7.941936492919922	0.24893612	Yes	
row_22	Pfkfb3	710	7.76239538192749	0.25576	Yes	
row_23	Errfi1	717	7.676884651184082	0.26305848	Yes	
row_24	Chst2	732	7.615602016448975	0.2698895	Yes	
row_25	Klhl24	772	7.3737640380859375	0.2752099	Yes	
row_26	Tnfaip3	784	7.329833984375	0.28191045	Yes	
row_27	Fosl2	811	7.190450191497803	0.28771025	Yes	
row_28	Ampd3	863	6.914774417877197	0.2919659	Yes	
row_29	Noct	1091	5.930466175079346	0.28629813	Yes	
row_30	Cavin1	1123	5.7919020652771	0.29045853	Yes	
row_31	Ets1	1157	5.68031644821167	0.29440674	Yes	
row_32	Angptl4	1183	5.602902889251709	0.298685	Yes	
row_33	Btg1	1376	4.925368309020996	0.29380128	No	
row_34	Pdk1	1460	4.669707298278809	0.29420632	No	
row_35	Tpbg	1545	4.427043437957764	0.29432017	No	
row_36	Cavin3	1550	4.41812801361084	0.2984927	No	
row_37	Pim1	1726	4.007613658905029	0.29356432	No	
row_38	Klf7	1767	3.9360647201538086	0.29542902	No	
row_39	Tiparp	1907	3.651120185852051	0.29197794	No	
row_40	Slc6a6	1980	3.536120891571045	0.2918195	No	
row_41	Ddit4	2032	3.446279764175415	0.29263982	No	
row_42	Phkg1	2174	3.180405616760254	0.28862083	No	
row_43	Kdm3a	2295	2.983189821243286	0.28547424	No	
row_44	Inha	2341	2.920699119567871	0.28607905	No	
row_45	Ccn2	2496	2.707913875579834	0.28093112	No	
row_46	Ier3	2527	2.658482074737549	0.2820389	No	
row_47	Vldlr	2610	2.5503032207489014	0.28039563	No	
row_48	P4ha1	2682	2.448184013366699	0.27921048	No	
row_49	Ndst1	2731	2.3925931453704834	0.27913973	No	
row_50	Nedd4l	2757	2.3533577919006348	0.2801995	No	
row_51	F3	2772	2.3341197967529297	0.2817995	No	
row_52	Col5a1	2982	2.0865354537963867	0.2732397	No	
row_53	Ankzf1	2983	2.086308240890503	0.27530608	No	
row_54	Gys1	3017	2.0538809299468994	0.27566248	No	
row_55	Efna1	3056	2.015016555786133	0.27572617	No	
row_56	Gcnt2	3188	1.8751510381698608	0.27092284	No	
row_57	Mxi1	3440	1.6203064918518066	0.25976583	No	
row_58	Jmjd6	3537	1.5458807945251465	0.2564159	No	
row_59	Gpc4	3729	1.3811076879501343	0.24807261	No	
row_60	Large1	3796	1.3221279382705688	0.24602641	No	
row_61	Foxo3	4023	1.1760833263397217	0.2357005	No	
row_62	Chst3	4097	1.1264399290084839	0.23310457	No	
row_63	Cp	4278	1.0084787607192993	0.22495149	No	
row_64	Anxa2	4349	0.9627541303634644	0.22234598	No	
row_65	Hdlbp	4589	0.8195093870162964	0.21100594	No	
row_66	Adm	4599	0.8136220574378967	0.21135418	No	
row_67	Pkp1	4625	0.7997048497200012	0.21087515	No	
row_68	Rora	4642	0.7905281186103821	0.21084462	No	
row_69	Car12	4755	0.7281650304794312	0.2058713	No	
row_70	Pdgfb	4788	0.7131015658378601	0.20495059	No	
row_71	Nfil3	4810	0.7012841105461121	0.20457745	No	
row_72	Ccng2	4844	0.6822842955589294	0.20357536	No	
row_73	Pfkp	4969	0.6079083681106567	0.1978728	No	
row_74	Ndst2	5033	0.5683415532112122	0.19523254	No	
row_75	Atp7a	5062	0.5581634640693665	0.19436173	No	
row_76	Plaur	5129	0.5195680260658264	0.19152063	No	
row_77	Pygm	5275	0.44589516520500183	0.1845899	No	
row_78	Tes	5382	0.3902405798435211	0.17958693	No	
row_79	Ackr3	5384	0.38930419087409973	0.17992167	No	
row_80	Ppp1r15a	5503	0.31731116771698	0.17423637	No	
row_81	Nagk	5948	0.06442069262266159	0.15172543	No	
row_82	Adora2b	6013	0.03362443670630455	0.14850472	No	
row_83	Eno1b	6280	-0.10410796105861664	0.13508332	No	
row_84	Igfbp3	6401	-0.16918744146823883	0.12914962	No	
row_85	Dusp1	6671	-0.29386720061302185	0.115763634	No	
row_86	Tktl1	6689	-0.3038465976715088	0.11520023	No	
row_87	Ncan	6694	-0.3084035813808441	0.11530231	No	
row_88	Stc1	6822	-0.37059804797172546	0.109212175	No	
row_89	Gbe1	6844	-0.38019365072250366	0.108521014	No	
row_90	Gpi1	6988	-0.44446420669555664	0.10169054	No	
row_91	Rragd	7023	-0.4630281627178192	0.100420445	No	
row_92	Cdkn1b	7141	-0.5192931890487671	0.09498603	No	
row_93	Slc25a1	7271	-0.5695253014564514	0.08899124	No	
row_94	Csrp2	7405	-0.6252952218055725	0.0828483	No	
row_95	Brs3	7467	-0.6486201882362366	0.08038925	No	
row_96	Ddit3	7749	-0.7335885167121887	0.06682866	No	
row_97	Nr3c1	7821	-0.7548242211341858	0.06396635	No	
row_98	Dtna	8038	-0.8133735060691833	0.05378964	No	
row_99	Stbd1	8049	-0.817120373249054	0.054090515	No	
row_100	Dcn	8357	-0.9054937362670898	0.03937825	No	
row_101	Has1	8695	-1.0106589794158936	0.02324482	No	
row_102	Ppp1r3c	9466	-1.241623044013977	-0.014675306	No	
row_103	Ndrg1	9533	-1.2635104656219482	-0.016779572	No	
row_104	Il6	9611	-1.2872999906539917	-0.019419558	No	
row_105	Cav1	9787	-1.3338747024536133	-0.02699613	No	
row_106	Cited2	9849	-1.352937936782837	-0.028757602	No	
row_107	Sdc2	9861	-1.357405185699463	-0.027972449	No	
row_108	Ids	9875	-1.3624258041381836	-0.027284011	No	
row_109	Slc37a4	10030	-1.4124635457992554	-0.03371502	No	
row_110	Vhl	10215	-1.4741322994232178	-0.04161027	No	
row_111	Siah2	10228	-1.4774881601333618	-0.040757027	No	
row_112	Dpysl4	10248	-1.4839340448379517	-0.040253304	No	
row_113	Ccn5	10396	-1.5388654470443726	-0.04620321	No	
row_114	Cxcr4	10412	-1.5430370569229126	-0.045437574	No	
row_115	P4ha2	10427	-1.5483735799789429	-0.04461581	No	
row_116	Tpd52	10484	-1.5640790462493896	-0.04591394	No	
row_117	Pgm2	10686	-1.643310785293579	-0.054505974	No	
row_118	Kif5a	10734	-1.6585586071014404	-0.05525293	No	
row_119	Pgam2	10737	-1.6595184803009033	-0.053710952	No	
row_120	Lalba	10740	-1.6605477333068848	-0.05216796	No	
row_121	Scarb1	10745	-1.6634052991867065	-0.05072382	No	
row_122	Ldhc	10801	-1.6866257190704346	-0.05184973	No	
row_123	Pfkl	10818	-1.6931971311569214	-0.05098621	No	
row_124	Kdelr3	10907	-1.7260407209396362	-0.053750936	No	
row_125	Xpnpep1	10994	-1.7574381828308105	-0.056382872	No	
row_126	Srpx	11157	-1.827432632446289	-0.06280963	No	
row_127	Ak4	11684	-2.055647850036621	-0.08751757	No	
row_128	Slc2a1	12033	-2.2205588817596436	-0.103011936	No	
row_129	Hk2	12324	-2.3528897762298584	-0.115426295	No	
row_130	B4galnt2	12414	-2.394576072692871	-0.11757971	No	
row_131	Map3k1	12432	-2.402411699295044	-0.1160646	No	
row_132	Bgn	12470	-2.4223508834838867	-0.11554662	No	
row_133	Aldoc	12740	-2.5620851516723633	-0.12668605	No	
row_134	Igfbp1	12787	-2.589543581008911	-0.12646008	No	
row_135	Slc2a3	12800	-2.596290349960327	-0.12449871	No	
row_136	Slc2a5	13204	-2.799414873123169	-0.14221618	No	
row_137	Efna3	13791	-3.1540110111236572	-0.16888689	No	
row_138	Fbp1	13931	-3.253906011581421	-0.17273138	No	
row_139	Zfp36	14281	-3.487786293029785	-0.18702148	No	
