NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jun	3	34.734405517578125	0.06730302	Yes	
row_1	Osmr	47	20.97947883605957	0.10587165	Yes	
row_2	Stat1	59	19.887073516845703	0.14393653	Yes	
row_3	Stat2	62	19.642919540405273	0.18198223	Yes	
row_4	Il6st	73	18.72527313232422	0.21784142	Yes	
row_5	Socs3	134	15.33801555633545	0.24459484	Yes	
row_6	Il15ra	316	11.388766288757324	0.25756177	Yes	
row_7	Irf9	396	10.365193367004395	0.2736974	Yes	
row_8	Cxcl10	448	9.88690185546875	0.29031965	Yes	
row_9	Stat3	449	9.884285926818848	0.3095151	Yes	
row_10	Irf1	486	9.484851837158203	0.32611486	Yes	
row_11	Il7	531	9.14697551727295	0.34165406	Yes	
row_12	Ifngr1	973	6.4056267738342285	0.33179975	Yes	
row_13	Cd44	1148	5.6985273361206055	0.33407003	Yes	
row_14	Il2ra	1258	5.3406453132629395	0.3389313	Yes	
row_15	Csf1	1304	5.193492412567139	0.34674224	Yes	
row_16	Tnfrsf12a	1371	4.946935653686523	0.3530127	Yes	
row_17	Pdgfc	1407	4.831564903259277	0.3606263	Yes	
row_18	Cbl	1690	4.072333812713623	0.3542787	Yes	
row_19	Cntfr	1722	4.014103889465332	0.360507	Yes	
row_20	Pim1	1726	4.007613658905029	0.3681382	Yes	
row_21	Ptpn11	1893	3.671703577041626	0.36687678	No	
row_22	Ccl7	2152	3.2252867221832275	0.36009753	No	
row_23	Itga4	2525	2.6607251167297363	0.34645876	No	
row_24	Cxcl11	2743	2.3722479343414307	0.34009558	No	
row_25	Il18r1	2755	2.353806734085083	0.3441106	No	
row_26	Myd88	2883	2.201263904571533	0.3419652	No	
row_27	Ltbr	2915	2.1688525676727295	0.34460998	No	
row_28	Il13ra1	2949	2.1211323738098145	0.34706098	No	
row_29	Tnfrsf1a	3108	1.9666825532913208	0.34289283	No	
row_30	Cxcl9	4060	1.152174472808838	0.29705393	No	
row_31	Il3ra	4127	1.1084418296813965	0.29587	No	
row_32	Acvr1b	4606	0.8105935454368591	0.27327958	No	
row_33	Il1r2	4684	0.7671717405319214	0.27087682	No	
row_34	Tgfb1	4735	0.7374916672706604	0.26978135	No	
row_35	Tyk2	5124	0.5210394263267517	0.25117844	No	
row_36	Acvrl1	5608	0.2568235695362091	0.22725983	No	
row_37	Inhbe	5863	0.10745444148778915	0.2146279	No	
row_38	Il17ra	6349	-0.14237001538276672	0.19038591	No	
row_39	Il1r1	6626	-0.269887238740921	0.17695725	No	
row_40	Cd38	7015	-0.45857036113739014	0.15823303	No	
row_41	Ifnar1	7898	-0.7763819694519043	0.11515253	No	
row_42	Il12rb1	8041	-0.8156321048736572	0.10955789	No	
row_43	Csf3r	9339	-1.2039116621017456	0.046327934	No	
row_44	Pla2g2a	9496	-1.249599575996399	0.04086832	No	
row_45	Il6	9611	-1.2872999906539917	0.037605166	No	
row_46	Cd36	9697	-1.310908555984497	0.035853915	No	
row_47	Tnfrsf21	10419	-1.5450544357299805	0.002405315	No	
row_48	A2m	11281	-1.889243245124817	-0.037452366	No	
row_49	Tlr2	11693	-2.059948205947876	-0.05422943	No	
row_50	Il1b	12008	-2.2058990001678467	-0.06581937	No	
row_51	Dntt	12206	-2.2977635860443115	-0.07131613	No	
row_52	Lepr	12779	-2.584834575653076	-0.09521298	No	
row_53	Socs1	12926	-2.6567790508270264	-0.0974343	No	
row_54	Il4ra	12943	-2.6659281253814697	-0.09306589	No	
row_55	Crlf2	12971	-2.6779956817626953	-0.089230135	No	
row_56	Csf2ra	13000	-2.692788600921631	-0.0854162	No	
row_57	Ccr1	13366	-2.890089511871338	-0.09825566	No	
row_58	Reg1	13376	-2.897768497467041	-0.093083136	No	
row_59	Tnfrsf1b	14121	-3.387341260910034	-0.12411672	No	
row_60	Csf2	15457	-4.5078043937683105	-0.18285151	No	
row_61	Itgb3	15583	-4.622679233551025	-0.1801934	No	
row_62	Ptpn1	15863	-4.916347980499268	-0.18475023	No	
row_63	Stam2	16002	-5.083729267120361	-0.18185395	No	
row_64	Map3k8	16192	-5.324088096618652	-0.18106912	No	
row_65	Il10rb	16270	-5.432539939880371	-0.17441168	No	
row_66	Ptpn2	16368	-5.54918098449707	-0.1685388	No	
row_67	Il9r	16448	-5.6484174728393555	-0.16156322	No	
row_68	Hax1	16508	-5.740747451782227	-0.15339728	No	
row_69	Pik3r5	16727	-6.072563171386719	-0.15262495	No	
row_70	Cxcl13	16959	-6.424775123596191	-0.15182583	No	
row_71	Ltb	17189	-6.839446067810059	-0.15012029	No	
row_72	Il17rb	17244	-6.946803092956543	-0.1393594	No	
row_73	Pf4	17327	-7.093867301940918	-0.1297284	No	
row_74	Cd14	17404	-7.239822864532471	-0.11951064	No	
row_75	Grb2	17876	-8.243334770202637	-0.1273127	No	
row_76	Tnf	18163	-9.087837219238281	-0.12412232	No	
row_77	Bak1	18168	-9.100519180297852	-0.10665121	No	
row_78	Ifngr2	18221	-9.298385620117188	-0.0912224	No	
row_79	Cd9	18913	-12.234664916992188	-0.10239503	No	
row_80	Ebi3	18952	-12.48493766784668	-0.080070145	No	
row_81	Hmox1	19049	-13.145442008972168	-0.059394665	No	
row_82	Fas	19203	-14.385858535766602	-0.03919183	No	
row_83	Cxcl2	19361	-16.085378646850586	-0.015890718	No	
row_84	Il2rg	19662	-21.276464462280273	0.010262394	No	
