NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Parp14	26	24.13774871826172	0.030982872	Yes	
row_1	Stat2	62	19.642919540405273	0.055496223	Yes	
row_2	Irf7	81	18.077617645263672	0.07877486	Yes	
row_3	Ddx60	94	16.879680633544922	0.10075402	Yes	
row_4	Gbp3	102	16.679262161254883	0.12271789	Yes	
row_5	Samd9l	111	16.190418243408203	0.14397708	Yes	
row_6	Eif2ak2	126	15.523927688598633	0.16404101	Yes	
row_7	Herc6	167	14.302794456481934	0.18115607	Yes	
row_8	Isg15	175	14.069208145141602	0.19962753	Yes	
row_9	C1s1	187	13.74373722076416	0.21746118	Yes	
row_10	Ifi44	203	13.391929626464844	0.2346218	Yes	
row_11	Mx2	248	12.58603572845459	0.24923743	Yes	
row_12	Ifit3	275	12.110220909118652	0.26412675	Yes	
row_13	Adar	388	10.42072868347168	0.272406	Yes	
row_14	Irf9	396	10.365193367004395	0.28592128	Yes	
row_15	Rtp4	403	10.28539752960205	0.29938033	Yes	
row_16	Cxcl10	448	9.88690185546875	0.31038436	Yes	
row_17	Irf1	486	9.484851837158203	0.32120442	Yes	
row_18	Il7	531	9.14697551727295	0.3312184	Yes	
row_19	Trafd1	578	8.700767517089844	0.34053415	Yes	
row_20	Tap1	597	8.578034400939941	0.35110176	Yes	
row_21	Rnf31	602	8.552016258239746	0.3623426	Yes	
row_22	Helz2	760	7.408722400665283	0.3643158	Yes	
row_23	Parp12	846	7.004478454589844	0.36938944	Yes	
row_24	Ifih1	856	6.940463542938232	0.37822104	Yes	
row_25	Ifit2	885	6.811424255371094	0.38591906	Yes	
row_26	Parp9	948	6.520136833190918	0.39150783	Yes	
row_27	Cmpk2	1008	6.232215404510498	0.39686304	Yes	
row_28	Trim25	1023	6.186369895935059	0.40443277	Yes	
row_29	Trim12c	1093	5.923071384429932	0.40886858	Yes	
row_30	Ly6e	1149	5.691079139709473	0.41370204	Yes	
row_31	Csf1	1304	5.193492412567139	0.41286284	Yes	
row_32	Trim14	1431	4.752231121063232	0.4128493	Yes	
row_33	Ifitm3	1503	4.557254314422607	0.41535643	Yes	
row_34	Ifi44l	1538	4.4450788497924805	0.41958472	Yes	
row_35	Rsad2	1548	4.422303199768066	0.42504686	Yes	
row_36	Pnpt1	1731	3.9994139671325684	0.42119384	No	
row_37	Trim21	1826	3.825718641281128	0.42155895	No	
row_38	Trim26	1971	3.549110174179077	0.4190252	No	
row_39	Cmtr1	1992	3.507610559463501	0.42270714	No	
row_40	Dhx58	2128	3.2603650093078613	0.42024222	No	
row_41	Lgals3bp	2289	2.9928884506225586	0.41615504	No	
row_42	Cxcl11	2743	2.3722479343414307	0.39641923	No	
row_43	Lpar6	2933	2.1408369541168213	0.3897253	No	
row_44	Tent5a	3793	1.3232358694076538	0.3480528	No	
row_45	Slc25a28	3933	1.2240591049194336	0.34266087	No	
row_46	Oas1a	4437	0.9038004875183105	0.3184315	No	
row_47	Mov10	4719	0.7450963258743286	0.30521718	No	
row_48	Lamp3	5175	0.496554434299469	0.2828704	No	
row_49	Tdrd7	5814	0.13529305160045624	0.25078523	No	
row_50	Gmpr	7418	-0.6298092007637024	0.17055781	No	
row_51	Sp110	7423	-0.6313613653182983	0.17120032	No	
row_52	Ripk2	7689	-0.7182513475418091	0.15875927	No	
