NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rnf213	16	28.01566505432129	0.01832721	Yes	
row_1	Parp14	26	24.13774871826172	0.03436073	Yes	
row_2	Stat1	59	19.887073516845703	0.0463215	Yes	
row_3	Stat2	62	19.642919540405273	0.059639856	Yes	
row_4	Rigi	67	19.239547729492188	0.072581	Yes	
row_5	Auts2	71	19.074481964111328	0.08546019	Yes	
row_6	Irf7	81	18.077617645263672	0.09735345	Yes	
row_7	Ddx60	94	16.879680633544922	0.10827584	Yes	
row_8	Gbp3	102	16.679262161254883	0.11931537	Yes	
row_9	Samd9l	111	16.190418243408203	0.1299701	Yes	
row_10	Eif2ak2	126	15.523927688598633	0.13986462	Yes	
row_11	Socs3	134	15.33801555633545	0.14998782	Yes	
row_12	Hif1a	136	15.246981620788574	0.1603537	Yes	
row_13	Herc6	167	14.302794456481934	0.16860093	Yes	
row_14	Isg15	175	14.069208145141602	0.17785728	Yes	
row_15	C1s1	187	13.74373722076416	0.18668802	Yes	
row_16	Ifi44	203	13.391929626464844	0.19507515	Yes	
row_17	Mx2	248	12.58603572845459	0.20143811	Yes	
row_18	Nlrc5	258	12.405722618103027	0.20945635	Yes	
row_19	Ifit3	275	12.110220909118652	0.21691701	Yes	
row_20	Il15ra	316	11.388766288757324	0.22266527	Yes	
row_21	Adar	388	10.42072868347168	0.22617695	Yes	
row_22	Irf9	396	10.365193367004395	0.23290272	Yes	
row_23	Rtp4	403	10.28539752960205	0.2396248	Yes	
row_24	Cxcl10	448	9.88690185546875	0.24414372	Yes	
row_25	Stat3	449	9.884285926818848	0.25089663	Yes	
row_26	Pde4b	466	9.650745391845703	0.256677	Yes	
row_27	Tnfsf10	477	9.558992385864258	0.26269954	Yes	
row_28	Irf1	486	9.484851837158203	0.26877305	Yes	
row_29	Il7	531	9.14697551727295	0.27278647	Yes	
row_30	Pml	547	9.039347648620605	0.27819994	Yes	
row_31	Trafd1	578	8.700767517089844	0.28261986	Yes	
row_32	Tap1	597	8.578034400939941	0.28756574	Yes	
row_33	Rnf31	602	8.552016258239746	0.29320517	Yes	
row_34	Helz2	760	7.408722400665283	0.29028916	Yes	
row_35	Ripk1	775	7.350473403930664	0.2945996	Yes	
row_36	Sectm1a	776	7.348031997680664	0.29961976	Yes	
row_37	Tnfaip3	784	7.329833984375	0.3042718	Yes	
row_38	Parp12	846	7.004478454589844	0.30595762	Yes	
row_39	Ifih1	856	6.940463542938232	0.31024203	Yes	
row_40	Ifit2	885	6.811424255371094	0.3134728	Yes	
row_41	Oas2	969	6.430412292480469	0.31364855	Yes	
row_42	Oas3	974	6.403417110443115	0.3178201	Yes	
row_43	Arid5b	1001	6.273165702819824	0.32078478	Yes	
row_44	Cmpk2	1008	6.232215404510498	0.32473773	Yes	
row_45	Trim25	1023	6.186369895935059	0.32825285	Yes	
row_46	Samhd1	1134	5.750765800476074	0.32659233	Yes	
row_47	Ly6e	1149	5.691079139709473	0.32976907	Yes	
row_48	Zbp1	1328	5.089066505432129	0.3242012	Yes	
row_49	Btg1	1376	4.925368309020996	0.32517797	Yes	
row_50	Nod1	1421	4.777192115783691	0.32620597	Yes	
row_51	Trim14	1431	4.752231121063232	0.32899535	Yes	
row_52	Ifitm3	1503	4.557254314422607	0.32850114	Yes	
row_53	Ifi44l	1538	4.4450788497924805	0.32981035	Yes	
row_54	Rsad2	1548	4.422303199768066	0.33237433	Yes	
row_55	Sspn	1721	4.01471471786499	0.32637733	No	
row_56	Pim1	1726	4.007613658905029	0.32891208	No	
row_57	Pnpt1	1731	3.9994139671325684	0.33144122	No	
row_58	Trim21	1826	3.825718641281128	0.3292785	No	
row_59	Trim26	1971	3.549110174179077	0.32438618	No	
row_60	Cmtr1	1992	3.507610559463501	0.3257663	No	
row_61	Dhx58	2128	3.2603650093078613	0.32113403	No	
row_62	Ccl7	2152	3.2252867221832275	0.32216883	No	
row_63	Lgals3bp	2289	2.9928884506225586	0.317303	No	
row_64	Xaf1	2317	2.9561829566955566	0.3179507	No	
row_65	Nfkb1	2486	2.7345950603485107	0.31128237	No	
row_66	Cxcl11	2743	2.3722479343414307	0.29989496	No	
row_67	Myd88	2883	2.201263904571533	0.29433584	No	
row_68	Icam1	3032	2.035087823867798	0.2882059	No	
row_69	Lats2	3041	2.023552894592285	0.2891819	No	
row_70	Eif4e3	3567	1.5201449394226074	0.2635436	No	
row_71	Isoc1	3731	1.3799937963485718	0.2562039	No	
row_72	Slc25a28	3933	1.2240591049194336	0.24682675	No	
row_73	Cxcl9	4060	1.152174472808838	0.24121147	No	
row_74	Cd274	4439	0.9016375541687012	0.22262016	No	
row_75	Itgb7	4862	0.672266960144043	0.20163636	No	
row_76	Pfkp	4969	0.6079083681106567	0.1966655	No	
row_77	St8sia4	5041	0.5647449493408203	0.19344361	No	
row_78	Jak2	5270	0.44918549060821533	0.18216512	No	
row_79	Ncoa3	5517	0.30856284499168396	0.16987593	No	
row_80	Tdrd7	5814	0.13529305160045624	0.15492772	No	
row_81	Fcgr1	5888	0.09548094123601913	0.15128359	No	
row_82	Ifnar2	6490	-0.2149125635623932	0.12089181	No	
row_83	Bank1	6582	-0.25581011176109314	0.11644259	No	
row_84	Tor1b	6623	-0.26876720786094666	0.11459369	No	
row_85	Mvp	6848	-0.3822627365589142	0.10347274	No	
row_86	Cd38	7015	-0.45857036113739014	0.09535108	No	
row_87	Cmklr1	7018	-0.4593973159790039	0.09556331	No	
row_88	Cfh	7050	-0.47678300738334656	0.09431384	No	
row_89	Sp110	7423	-0.6313613653182983	0.075842746	No	
row_90	Ripk2	7689	-0.7182513475418091	0.06286801	No	
row_91	Rapgef6	8411	-0.9233506321907043	0.026862659	No	
row_92	Ogfr	8984	-1.0982693433761597	-0.001452047	No	
row_93	Znfx1	9107	-1.1341832876205444	-0.0068763634	No	
row_94	Ciita	9267	-1.1817291975021362	-0.014148277	No	
row_95	Casp4	9421	-1.2267124652862549	-0.021084582	No	
row_96	Bst2	9514	-1.256563663482666	-0.024900898	No	
row_97	Peli1	9603	-1.283886194229126	-0.028495295	No	
row_98	Il6	9611	-1.2872999906539917	-0.027971506	No	
row_99	Xcl1	9794	-1.3358519077301025	-0.036306825	No	
row_100	Fpr1	9795	-1.3359100818634033	-0.035394136	No	
row_101	Usp18	10029	-1.4122703075408936	-0.046268705	No	
row_102	Apol6	10258	-1.4869251251220703	-0.05683821	No	
row_103	Batf2	10468	-1.5584633350372314	-0.06639339	No	
row_104	Irf2	10572	-1.6031198501586914	-0.07053188	No	
row_105	Vcam1	10721	-1.6550968885421753	-0.07692145	No	
row_106	Gzma	11528	-1.9994301795959473	-0.116510734	No	
row_107	Marchf1	11901	-2.1555490493774414	-0.1339405	No	
row_108	Selp	12409	-2.3932714462280273	-0.15806763	No	
row_109	P2ry14	12567	-2.4690630435943604	-0.1643584	No	
row_110	Socs1	12926	-2.6567790508270264	-0.18073437	No	
row_111	Il4ra	12943	-2.6659281253814697	-0.17972602	No	
row_112	Oasl1	13142	-2.7672407627105713	-0.18789642	No	
row_113	Nup93	13145	-2.770034074783325	-0.18610556	No	
row_114	Nampt	13449	-2.9417855739593506	-0.1994921	No	
row_115	Cd69	13484	-2.9575347900390625	-0.19919915	No	
row_116	Casp3	13860	-3.19416880607605	-0.21607178	No	
row_117	Lysmd2	13889	-3.219789981842041	-0.2152948	No	
row_118	Rbck1	13929	-3.252617359161377	-0.21505433	No	
row_119	Serping1	14634	-3.7547826766967773	-0.24826142	No	
row_120	Casp8	14816	-3.9259870052337646	-0.25477636	No	
row_121	Lcp2	14930	-4.02197265625	-0.25777042	No	
row_122	Il2rb	15043	-4.122955322265625	-0.2606447	No	
row_123	Gpr18	15073	-4.155017375946045	-0.25927958	No	
row_124	Fgl2	15079	-4.163603782653809	-0.25668907	No	
row_125	Ido1	15156	-4.236920356750488	-0.25765622	No	
row_126	Sppl2a	15265	-4.330658435821533	-0.26018533	No	
row_127	Wars1	15568	-4.608602523803711	-0.2723823	No	
row_128	Ptpn1	15863	-4.916347980499268	-0.28396246	No	
row_129	Cfb	16001	-5.080645561218262	-0.28745276	No	
row_130	Casp7	16063	-5.163999080657959	-0.28702432	No	
row_131	Lap3	16167	-5.28479528427124	-0.2886475	No	
row_132	Ptpn2	16368	-5.54918098449707	-0.29501894	No	
row_133	Tnfaip2	16568	-5.820791721343994	-0.301154	No	
row_134	Il18bp	16736	-6.092012405395508	-0.3054777	No	
row_135	Ifi35	16843	-6.255782127380371	-0.30658996	No	
row_136	Upp1	16854	-6.263932228088379	-0.3028186	No	
row_137	Il10ra	16868	-6.291065216064453	-0.2991811	No	
row_138	Irf4	17022	-6.518861770629883	-0.30250183	No	
row_139	Mthfd2	17133	-6.7332000732421875	-0.30349118	No	
row_140	Stat4	17463	-7.350738525390625	-0.31518665	No	
row_141	Cd86	17480	-7.3937883377075195	-0.31094825	No	
row_142	Txnip	17484	-7.396113872528076	-0.30604768	No	
row_143	Gch1	17486	-7.400139808654785	-0.30104274	No	
row_144	Il15	17635	-7.680367946624756	-0.30331585	No	
row_145	Vamp5	17658	-7.72777795791626	-0.29915416	No	
row_146	Pnp	17763	-7.975161075592041	-0.2989901	No	
row_147	Tnfaip6	17783	-8.020562171936035	-0.2944759	No	
