NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dst	2	35.27813720703125	0.034559097	Yes	
row_1	Flna	10	29.373620986938477	0.06306277	Yes	
row_2	Myh9	37	22.062477111816406	0.083417155	Yes	
row_3	Tiam1	83	17.816938400268555	0.09863421	Yes	
row_4	Rabgap1	95	16.868328094482422	0.114648044	Yes	
row_5	Palld	110	16.198965072631836	0.12985168	Yes	
row_6	Mid1	142	15.005104064941406	0.14301796	Yes	
row_7	Trio	169	14.15077018737793	0.15559909	Yes	
row_8	Numa1	183	13.901996612548828	0.1685968	Yes	
row_9	Epb41l2	199	13.462855339050293	0.18106137	Yes	
row_10	Vcl	221	13.118537902832031	0.19288257	Yes	
row_11	Notch2	251	12.50660228729248	0.20369576	Yes	
row_12	Nedd9	302	11.58139705657959	0.21253215	Yes	
row_13	Bcr	370	10.582624435424805	0.21952286	Yes	
row_14	Arhgef12	371	10.582240104675293	0.22991993	Yes	
row_15	Dync1h1	382	10.499676704406738	0.2397274	Yes	
row_16	Gsn	387	10.427064895629883	0.24976861	Yes	
row_17	Synpo	456	9.777588844299316	0.25591752	Yes	
row_18	Map1s	513	9.285131454467773	0.26219276	Yes	
row_19	Plekhg2	559	8.900918960571289	0.26864982	Yes	
row_20	Sptbn1	599	8.56645679473877	0.27508336	Yes	
row_21	Ssh2	677	8.024043083190918	0.2790518	Yes	
row_22	Cep250	712	7.736236572265625	0.28492388	Yes	
row_23	Fgd6	722	7.653954029083252	0.29198626	Yes	
row_24	Nf1	737	7.5854573249816895	0.29872712	Yes	
row_25	Abl1	789	7.293042182922363	0.30329937	Yes	
row_26	Cdc42bpa	808	7.226845741271973	0.3094845	Yes	
row_27	Pcnt	837	7.055477619171143	0.31499282	Yes	
row_28	Pcm1	842	7.028715133666992	0.32169515	Yes	
row_29	Pkd2	905	6.715418338775635	0.32514057	Yes	
row_30	Clip1	927	6.602630138397217	0.33055988	Yes	
row_31	Bcar1	946	6.5241827964782715	0.33605465	Yes	
row_32	Arhgap10	990	6.349800109863281	0.34010693	Yes	
row_33	Akap13	1040	6.139734268188477	0.34364772	Yes	
row_34	Rictor	1045	6.124236583709717	0.3494614	Yes	
row_35	Hook3	1049	6.110668182373047	0.35531262	Yes	
row_36	Alms1	1056	6.081997871398926	0.3609831	Yes	
row_37	Nin	1081	5.985975742340088	0.365644	Yes	
row_38	Cntrl	1086	5.954134941101074	0.37129056	Yes	
row_39	Myo9b	1168	5.6384196281433105	0.37271172	Yes	
row_40	Nck2	1295	5.223518371582031	0.37143716	Yes	
row_41	Cdk5rap2	1307	5.187832355499268	0.3759749	Yes	
row_42	Cd2ap	1352	5.003168106079102	0.37865326	Yes	
row_43	Taok2	1368	4.948878288269043	0.38275284	Yes	
row_44	Bcl2l11	1370	4.948440074920654	0.38756385	Yes	
row_45	Arhgef11	1416	4.785125732421875	0.38997713	Yes	
row_46	Actn4	1436	4.739487171173096	0.3936676	Yes	
row_47	Hdac6	1451	4.695647239685059	0.39756924	Yes	
row_48	Kif1b	1476	4.626094818115234	0.40089405	Yes	
row_49	Smc1a	1631	4.202016830444336	0.39719215	Yes	
row_50	Arhgap5	1673	4.131588459014893	0.39916673	Yes	
row_51	Pdlim5	1675	4.118908405303955	0.40316272	Yes	
row_52	Tubgcp3	1741	3.985868453979492	0.4037738	Yes	
row_53	Rasa1	1860	3.7510862350463867	0.40145937	Yes	
row_54	Ralbp1	1897	3.6655850410461426	0.4032303	Yes	
row_55	Clip2	1908	3.6497769355773926	0.40630776	Yes	
row_56	Pxn	1909	3.6468749046325684	0.4098908	Yes	
row_57	Apc	1917	3.6330342292785645	0.41310436	Yes	
row_58	Tubgcp6	1921	3.631523609161377	0.4165198	Yes	
row_59	Stau1	2074	3.3716166019439697	0.4121037	Yes	
row_60	Itsn1	2108	3.3109230995178223	0.41367877	Yes	
row_61	Kif3c	2165	3.197092056274414	0.4139725	Yes	
row_62	Cep192	2204	3.1238715648651123	0.41510954	Yes	
row_63	Clasp1	2217	3.0982677936553955	0.4175434	Yes	
row_64	Cntrob	2228	3.085772752761841	0.42006674	Yes	
