NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plod2	61	19.706993103027344	0.011709892	No	
row_1	Igfbp5	76	18.467201232910156	0.024877092	No	
row_2	Btg2	119	15.833085060119629	0.034641378	No	
row_3	Bhlhe40	282	11.94998836517334	0.03538763	No	
row_4	Serpinh1	297	11.660131454467773	0.04343905	No	
row_5	Slc7a11	657	8.19717025756836	0.031351186	No	
row_6	Slc1a4	882	6.82332181930542	0.02509302	No	
row_7	Txnrd1	1398	4.854068756103516	0.0025630365	No	
row_8	Pdk1	1460	4.669707298278809	0.0029718105	No	
row_9	Ube2d3	1551	4.415687561035156	0.0017155772	No	
row_10	Fads2	1756	3.9618968963623047	-0.005676442	No	
row_11	Slc6a6	1980	3.536120891571045	-0.014354239	No	
row_12	Srd5a1	2029	3.451343059539795	-0.01420031	No	
row_13	Ddit4	2032	3.446279764175415	-0.011711956	No	
row_14	Fads1	2179	3.166015625	-0.016753908	No	
row_15	Add3	2255	3.0582380294799805	-0.018267853	No	
row_16	Vldlr	2610	2.5503032207489014	-0.034345403	No	
row_17	P4ha1	2682	2.448184013366699	-0.036114503	No	
row_18	Elovl6	3275	1.7807506322860718	-0.064868204	No	
row_19	Gga2	3356	1.7044905424118042	-0.0676537	No	
row_20	Ccnf	4287	1.001394271850586	-0.11417402	No	
row_21	Ifrd1	4391	0.9341970682144165	-0.11870754	No	
row_22	Egln3	4527	0.8513228297233582	-0.124929935	No	
row_23	Nfil3	4810	0.7012841105461121	-0.13873726	No	
row_24	Slc1a5	4866	0.6697450876235962	-0.14102963	No	
row_25	Gsk3b	4934	0.6269406080245972	-0.14396414	No	
row_26	Acsl3	5047	0.5632095336914062	-0.14923394	No	
row_27	Idh1	5371	0.3942142724990845	-0.16535611	No	
row_28	Tes	5382	0.3902405798435211	-0.16557115	No	
row_29	Ung	5405	0.3730151653289795	-0.16640909	No	
row_30	Ppp1r15a	5503	0.31731116771698	-0.17110124	No	
row_31	Rrp9	5967	0.05463883653283119	-0.19459496	No	
row_32	Eno1b	6280	-0.10410796105861664	-0.21037602	No	
row_33	Tbk1	6674	-0.2955447733402252	-0.23013054	No	
row_34	Stc1	6822	-0.37059804797172546	-0.23732418	No	
row_35	Gbe1	6844	-0.38019365072250366	-0.23810591	No	
row_36	Nup205	6874	-0.3959570527076721	-0.23928243	No	
row_37	Gpi1	6988	-0.44446420669555664	-0.24469231	No	
row_38	Tm7sf2	7049	-0.47631728649139404	-0.2473842	No	
row_39	Sord	7350	-0.6010717153549194	-0.2621818	No	
row_40	Mcm2	7399	-0.6224435567855835	-0.2641539	No	
row_41	Ddit3	7749	-0.7335885167121887	-0.28134263	No	
row_42	Rpa1	7830	-0.7569560408592224	-0.28484023	No	
row_43	Rdh11	8339	-0.9007082581520081	-0.30998552	No	
row_44	Cdc25a	8669	-1.0013830661773682	-0.32595634	No	
row_45	Mthfd2l	8778	-1.0407158136367798	-0.33066398	No	
row_46	Edem1	8823	-1.053170084953308	-0.33210903	No	
row_47	Map2k3	9804	-1.3382853269577026	-0.38091773	No	
row_48	Slc37a4	10030	-1.4124635457992554	-0.3912932	No	
row_49	Psat1	10406	-1.5406736135482788	-0.409197	No	
row_50	Cxcr4	10412	-1.5430370569229126	-0.4082915	No	
row_51	Pfkl	10818	-1.6931971311569214	-0.42760557	No	
row_52	Dhfr	10834	-1.6972545385360718	-0.4270925	No	
row_53	Rrm2	10914	-1.7285443544387817	-0.42980906	No	
row_54	Polr3g	10999	-1.758488416671753	-0.43275732	No	
row_55	Ssr1	11133	-1.8186529874801636	-0.43815106	No	
row_56	Gtf2h1	11153	-1.8250908851623535	-0.4377452	No	
row_57	Nfyc	11283	-1.8894751071929932	-0.44288242	No	
row_58	Insig1	11505	-1.9925858974456787	-0.45261857	No	
row_59	Abcf2	11510	-1.9940264225006104	-0.4513233	No	
row_60	Ak4	11684	-2.055647850036621	-0.45857218	No	
row_61	Bcat1	11838	-2.122427225112915	-0.46475425	No	
row_62	Cfp	11944	-2.173846960067749	-0.4684578	No	
row_63	Slc2a1	12033	-2.2205588817596436	-0.4712621	No	
row_64	Nufip1	12046	-2.2259371280670166	-0.47019917	No	
row_65	Sla	12260	-2.3213465213775635	-0.4792816	No	
row_66	Hk2	12324	-2.3528897762298584	-0.4807157	No	
row_67	Gclc	12450	-2.4139418601989746	-0.4852554	No	
row_68	Pitpnb	12572	-2.470785140991211	-0.48954907	No	
row_69	Acaca	12744	-2.565444231033325	-0.49631315	No	
row_70	Slc2a3	12800	-2.596290349960327	-0.49715763	No	
row_71	Mcm4	12807	-2.599196672439575	-0.49550924	No	
row_72	Sqstm1	12817	-2.6084673404693604	-0.49400634	No	
row_73	Shmt2	12834	-2.6141250133514404	-0.492855	No	
row_74	Skap2	13086	-2.741931915283203	-0.503553	No	
row_75	Hspa9	13141	-2.7660579681396484	-0.50421906	No	
row_76	Pdap1	13185	-2.792578935623169	-0.504306	No	
row_77	Itgb2	13287	-2.8433916568756104	-0.50730306	No	
row_78	Nampt	13449	-2.9417855739593506	-0.513276	No	
row_79	Dhcr7	13487	-2.959146738052368	-0.51293284	No	
row_80	Gmps	13665	-3.0664830207824707	-0.51962537	No	
row_81	Plk1	13861	-3.195038080215454	-0.5271362	No	
row_82	Bub1	14252	-3.469714879989624	-0.5443527	No	
row_83	Ldlr	14496	-3.6478817462921143	-0.5539631	No	
row_84	Uso1	14545	-3.684316635131836	-0.5536341	No	
row_85	Lgmn	14620	-3.7451698780059814	-0.554581	No	
row_86	Fgl2	15079	-4.163603782653809	-0.5747325	No	
row_87	Psph	15431	-4.490544319152832	-0.58919936	No	
row_88	Tuba4a	15445	-4.502458572387695	-0.5864764	No	
row_89	Lta4h	15481	-4.529611587524414	-0.5848513	No	
row_90	Wars1	15568	-4.608602523803711	-0.5857592	No	
row_91	Slc7a5	15618	-4.664966583251953	-0.58474404	No	
row_92	Tpi1	15707	-4.7564778327941895	-0.5856425	No	
row_93	Aurka	15969	-5.0341644287109375	-0.59512603	No	
row_94	Gla	15996	-5.066173076629639	-0.5926402	No	
row_95	Sytl2	16019	-5.104010581970215	-0.58992267	No	
row_96	Cth	16071	-5.18159818649292	-0.58862084	No	
row_97	Rpn1	16154	-5.27059268951416	-0.58882797	No	
row_98	Ykt6	16396	-5.58510684967041	-0.5968808	Yes	
row_99	Fdxr	16441	-5.642334461212158	-0.59487695	Yes	
row_100	Trib3	16449	-5.654879093170166	-0.5909829	Yes	
row_101	G6pdx	16452	-5.659837245941162	-0.586831	Yes	
row_102	Ppa1	16467	-5.684384822845459	-0.58327055	Yes	
row_103	Stard4	16634	-5.917336463928223	-0.5872614	Yes	
row_104	Tcea1	16657	-5.963449478149414	-0.5838979	Yes	
row_105	Tubg1	16675	-5.985731601715088	-0.5802635	Yes	
row_106	Psme3	16692	-6.015161037445068	-0.5765562	Yes	
row_107	Dapp1	16785	-6.170480251312256	-0.5765953	Yes	
row_108	Tmem97	16837	-6.250488758087158	-0.5744902	Yes	
row_109	Hspa4	16839	-6.251296043395996	-0.56984293	Yes	
row_110	Immt	16871	-6.294942855834961	-0.56668776	Yes	
row_111	Sc5d	16980	-6.454202175140381	-0.56732696	Yes	
row_112	Ero1a	16998	-6.482777118682861	-0.563319	Yes	
row_113	Pik3r3	17042	-6.563735485076904	-0.56057185	Yes	
row_114	Atp2a2	17048	-6.575891494750977	-0.55588394	Yes	
row_115	Gsr	17064	-6.596833229064941	-0.5516886	Yes	
row_116	Mthfd2	17133	-6.7332000732421875	-0.5500849	Yes	
row_117	Hmbs	17176	-6.813865661621094	-0.5470989	Yes	
row_118	Psmc6	17198	-6.8606648445129395	-0.5430103	Yes	
row_119	Tfrc	17235	-6.929172515869141	-0.5396327	Yes	
row_120	Niban1	17269	-7.00421142578125	-0.53604615	Yes	
row_121	Asns	17277	-7.0176873207092285	-0.53112787	Yes	
row_122	Ctsc	17281	-7.02407693862915	-0.5260015	Yes	
row_123	Uchl5	17287	-7.030967712402344	-0.5209716	Yes	
row_124	Acly	17337	-7.111763000488281	-0.51811755	Yes	
row_125	Xbp1	17354	-7.147805213928223	-0.513559	Yes	
row_126	Pgm1	17388	-7.216780185699463	-0.5098127	Yes	
row_127	Tomm40	17421	-7.27112340927124	-0.50597477	Yes	
row_128	Ldha	17502	-7.4179911613464355	-0.50446635	Yes	
row_129	Glrx	17510	-7.433623313903809	-0.4992355	Yes	
row_130	Etf1	17535	-7.49393892288208	-0.4948235	Yes	
row_131	Pno1	17648	-7.701687335968018	-0.49472842	Yes	
row_132	Rab1a	17654	-7.717402935028076	-0.48918265	Yes	
row_133	Stip1	17750	-7.949403285980225	-0.48803732	Yes	
row_134	Pnp	17763	-7.975161075592041	-0.48265365	Yes	
row_135	Actr2	17776	-8.009995460510254	-0.47724378	Yes	
row_136	Hmgcs1	17881	-8.251916885375977	-0.47632858	Yes	
row_137	Idi1	17979	-8.535663604736328	-0.4748443	Yes	
row_138	Rit1	18014	-8.627881050109863	-0.47008836	Yes	
row_139	Hmgcr	18024	-8.672043800354004	-0.46402845	Yes	
row_140	Ccng1	18043	-8.726005554199219	-0.45838547	Yes	
row_141	Nmt1	18050	-8.760516166687012	-0.45210657	Yes	
row_142	Psmd13	18065	-8.802526473999023	-0.44620275	Yes	
row_143	Ddx39a	18222	-9.29951286315918	-0.44714347	Yes	
row_144	Cyb5b	18235	-9.328485488891602	-0.4407427	Yes	
row_145	Cops5	18269	-9.464644432067871	-0.4353071	Yes	
row_146	Eef1e1	18296	-9.55041217803955	-0.42945117	Yes	
row_147	Canx	18315	-9.620929718017578	-0.4231356	Yes	
row_148	Psmg1	18341	-9.710274696350098	-0.41710874	Yes	
row_149	Calr	18347	-9.723934173583984	-0.41005498	Yes	
row_150	Hspa5	18390	-9.865760803222656	-0.40477538	Yes	
row_151	Qdpr	18415	-9.97325611114502	-0.39850003	Yes	
row_152	Mllt11	18423	-10.025494575500488	-0.39132127	Yes	
row_153	Psma3	18545	-10.437150955200195	-0.3896279	Yes	
row_154	Cyp51	18562	-10.489795684814453	-0.38255772	Yes	
row_155	Elovl5	18591	-10.622447967529297	-0.37599778	Yes	
row_156	Psmd12	18665	-10.928330421447754	-0.37149537	Yes	
row_157	Actr3	18724	-11.209311485290527	-0.36601934	Yes	
row_158	M6pr	18751	-11.336396217346191	-0.35882118	Yes	
row_159	Serp1	18762	-11.382107734680176	-0.3507754	Yes	
row_160	Hsp90b1	18778	-11.462915420532227	-0.34292305	Yes	
row_161	Cdkn1a	18806	-11.614127159118652	-0.335567	Yes	
row_162	Sqle	18838	-11.80361270904541	-0.32827187	Yes	
row_163	Dhcr24	18856	-11.88878059387207	-0.3202011	Yes	
row_164	Cd9	18913	-12.234664916992188	-0.31385282	Yes	
row_165	Arpc5l	18945	-12.438793182373047	-0.30608034	Yes	
row_166	Nupr1	18989	-12.740761756896973	-0.2986909	Yes	
row_167	Nfkbib	18990	-12.743408203125	-0.2891137	Yes	
row_168	Psmd14	19011	-12.830810546875	-0.28048745	Yes	
row_169	Psmc2	19070	-13.2683744430542	-0.27346396	Yes	
row_170	Coro1a	19072	-13.27695083618164	-0.26353663	Yes	
row_171	Pgk1	19091	-13.381274223327637	-0.25439504	Yes	
row_172	Phgdh	19092	-13.394022941589355	-0.24432889	Yes	
row_173	Hspd1	19196	-14.292823791503906	-0.23882286	Yes	
row_174	Adipor2	19228	-14.631685256958008	-0.22940233	Yes	
row_175	Ebp	19239	-14.699082374572754	-0.21886371	Yes	
row_176	Fkbp2	19268	-15.014348030090332	-0.20900309	Yes	
row_177	Got1	19280	-15.161490440368652	-0.19816777	Yes	
row_178	Psmc4	19281	-15.16163158416748	-0.18677321	Yes	
row_179	Cacybp	19323	-15.675699234008789	-0.17707637	Yes	
