NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hnrnpu	255	12.4387845993042	-0.00419938	No	
row_1	Tra2b	358	10.879278182983398	-0.0017223918	No	
row_2	Hnrnpa2b1	529	9.169286727905273	-0.0039046642	No	
row_3	Syncrip	585	8.646428108215332	-6.115768E-4	No	
row_4	Srpk1	700	7.825619697570801	-8.9437363E-4	No	
row_5	Smarcc1	947	6.523434162139893	-0.008801335	No	
row_6	Hnrnpr	1325	5.1019744873046875	-0.024365624	No	
row_7	Gnl3	1628	4.207945346832275	-0.03674841	No	
row_8	Cdk2	1796	3.8716466426849365	-0.042508222	No	
row_9	Hsp90ab1	1964	3.5559592247009277	-0.048490304	No	
row_10	Ddx21	2094	3.33260178565979	-0.052698754	No	
row_11	Nop56	2160	3.207526206970215	-0.053743236	No	
row_12	Sf3b3	2420	2.804574966430664	-0.06492915	No	
row_13	Dhx15	2488	2.725743055343628	-0.06641447	No	
row_14	Got2	2590	2.5838429927825928	-0.06972735	No	
row_15	Fam120a	2846	2.241128921508789	-0.08110672	No	
row_16	Nolc1	3268	1.7900934219360352	-0.10123862	No	
row_17	Srsf2	3423	1.6380293369293213	-0.107910514	No	
row_18	Hnrnpd	3554	1.5334726572036743	-0.11343651	No	
row_19	Pabpc4	3665	1.4305392503738403	-0.11801873	No	
row_20	Trim28	3698	1.4052939414978027	-0.1186553	No	
row_21	Srsf3	3736	1.3750416040420532	-0.11956724	No	
row_22	Rrm1	3882	1.2602709531784058	-0.12604779	No	
row_23	Ilf2	4016	1.1804921627044678	-0.13197476	No	
row_24	Ifrd1	4391	0.9341970682144165	-0.15032107	No	
row_25	Hnrnpa1	4600	0.8126252293586731	-0.16031802	No	
row_26	Cul1	4662	0.7805134654045105	-0.16286807	No	
row_27	Kpnb1	4840	0.6851970553398132	-0.17137954	No	
row_28	Xpot	5024	0.5724830627441406	-0.18027523	No	
row_29	Odc1	5113	0.5276485085487366	-0.18437527	No	
row_30	Srsf7	5202	0.4859050512313843	-0.1885047	No	
row_31	Eif3b	5320	0.4223184287548065	-0.19415247	No	
row_32	Mcm7	5385	0.3860646188259125	-0.19713269	No	
row_33	Srsf1	5534	0.2993793487548828	-0.20444222	No	
row_34	Tardbp	5933	0.07142017781734467	-0.22461551	No	
row_35	Rrp9	5967	0.05463883653283119	-0.22625387	No	
row_36	Cad	6296	-0.11377473920583725	-0.24284042	No	
row_37	Orc2	6419	-0.1802811473608017	-0.24891269	No	
row_38	Xpo1	6704	-0.31257662177085876	-0.2631235	No	
row_39	Fbl	6752	-0.33706948161125183	-0.26527438	No	
row_40	Prps2	6965	-0.435866117477417	-0.27573985	No	
row_41	Mrpl23	7142	-0.5197840332984924	-0.284317	No	
row_42	Mcm2	7399	-0.6224435567855835	-0.29688686	No	
row_43	Xrcc6	7672	-0.7144817113876343	-0.31020492	No	
row_44	Nap1l1	7705	-0.7231540083885193	-0.3113218	No	
row_45	Rpl6	8576	-0.9716285467147827	-0.354845	No	
row_46	Rnps1	8659	-0.9985138177871704	-0.35830864	No	
row_47	Hddc2	8946	-1.0854216814041138	-0.37207693	No	
row_48	Glo1	9400	-1.22068190574646	-0.39423576	No	
row_49	Mad2l1	9656	-1.300834059715271	-0.40627718	No	
row_50	Cbx3	10284	-1.49606454372406	-0.43708357	No	
row_51	Pold2	10303	-1.5013911724090576	-0.43694112	No	
row_52	Mcm5	10517	-1.573872447013855	-0.44665614	No	
row_53	Tufm	10755	-1.666782259941101	-0.45752528	No	
row_54	Tomm70a	10757	-1.6670854091644287	-0.45640233	No	
row_55	Abce1	11091	-1.7979748249053955	-0.47205713	No	
row_56	Hnrnpa3	11780	-2.0981063842773438	-0.50553924	No	
row_57	Nop16	11836	-2.122370958328247	-0.50683963	No	
row_58	Psmd3	12556	-2.4645330905914307	-0.5416389	No	
row_59	Eif4e	12673	-2.5307211875915527	-0.5457514	No	
row_60	Myc	12748	-2.568371534347534	-0.5477032	No	
row_61	Mcm4	12807	-2.599196672439575	-0.5488203	No	
row_62	Cstf2	12838	-2.6152455806732178	-0.5485034	No	
row_63	Srm	12880	-2.633023262023926	-0.5487328	No	
row_64	Stard7	12983	-2.683084487915039	-0.5520266	No	
row_65	Impdh2	12987	-2.686006546020508	-0.5502879	No	
row_66	Eif4g2	13196	-2.7950029373168945	-0.5588891	No	
row_67	Uba2	13399	-2.9104421138763428	-0.56710416	No	
row_68	Rad23b	13432	-2.9338879585266113	-0.56666446	No	
row_69	Psmd7	13520	-2.976466417312622	-0.5689895	No	
row_70	Mcm6	13823	-3.1720430850982666	-0.58210164	No	
row_71	Ccna2	13918	-3.243337631225586	-0.5845945	No	
row_72	Eif4a1	14048	-3.333069086074829	-0.58880264	No	
row_73	Ncbp1	14223	-3.450129270553589	-0.5952149	No	
row_74	Prpf31	14567	-3.7078053951263428	-0.61003315	No	
row_75	Ube2e1	14654	-3.7666144371032715	-0.6117511	No	
row_76	Tyms	14657	-3.7712209224700928	-0.60919744	No	
row_77	Ddx18	14700	-3.8177618980407715	-0.6086436	No	
row_78	Pabpc1	14744	-3.854473352432251	-0.60811466	No	
row_79	Sf3a1	14927	-4.019984722137451	-0.61453223	No	
row_80	Dek	14988	-4.075686454772949	-0.6147114	No	
row_81	Exosc7	15101	-4.179695129394531	-0.6174596	No	
row_82	Cdc45	15236	-4.307140350341797	-0.62123597	No	
row_83	Cdc20	15250	-4.317235469818115	-0.61885685	No	
row_84	Eif4h	15252	-4.32021951675415	-0.6158658	No	
row_85	Pole3	15271	-4.336450576782227	-0.6137273	No	
row_86	Clns1a	15605	-4.649812698364258	-0.6273741	No	
row_87	Snrpa	15651	-4.699855327606201	-0.62635165	No	
row_88	Rps6	15658	-4.7055182456970215	-0.62334347	No	
row_89	Cdk4	15687	-4.735487461090088	-0.621432	No	
row_90	Psmd1	15725	-4.780985355377197	-0.6199459	No	
row_91	Usp1	15802	-4.8514485359191895	-0.62039185	No	
row_92	Rfc4	15905	-4.96478796005249	-0.6220792	No	
row_93	Apex1	16018	-5.1028733253479	-0.6241774	No	
row_94	Cct7	16044	-5.139586925506592	-0.62182903	No	
row_95	Pcna	16108	-5.219052791595459	-0.6213556	No	
row_96	Rsl1d1	16146	-5.259990692138672	-0.61953217	No	
row_97	Eif3d	16184	-5.315052032470703	-0.61767006	No	
row_98	Aimp2	16418	-5.616748809814453	-0.6255548	No	
row_99	Mrpl9	16497	-5.720214366912842	-0.6254907	No	
row_100	Eif3j1	16536	-5.779303073883057	-0.6233525	No	
row_101	Pwp1	16570	-5.8252644538879395	-0.6209279	No	
row_102	Ruvbl2	16573	-5.831623554229736	-0.6169236	No	
row_103	Tcp1	16864	-6.286754608154297	-0.6272329	No	
row_104	Txnl4a	17093	-6.659445285797119	-0.63412946	Yes	
row_105	Serbp1	17155	-6.772302627563477	-0.63246083	Yes	
row_106	Dut	17160	-6.781362533569336	-0.6278894	Yes	
row_107	Ppm1g	17173	-6.809641361236572	-0.6237046	Yes	
row_108	Psmc6	17198	-6.8606648445129395	-0.62009364	Yes	
row_109	Hnrnpc	17319	-7.084310054779053	-0.6212033	Yes	
row_110	Gspt1	17342	-7.119934558868408	-0.61730814	Yes	
row_111	Hdac2	17355	-7.14811372756958	-0.61288506	Yes	
row_112	Ldha	17502	-7.4179911613464355	-0.61508083	Yes	
row_113	Etf1	17535	-7.49393892288208	-0.6114305	Yes	
row_114	G3bp1	17739	-7.911709785461426	-0.61617506	Yes	
row_115	Lsm2	17778	-8.014372825622559	-0.6124632	Yes	
row_116	Prdx4	17796	-8.047024726867676	-0.6076612	Yes	
row_117	Snrpa1	17847	-8.188455581665039	-0.6044365	Yes	
row_118	Mrps18b	17923	-8.363945960998535	-0.6023586	Yes	
row_119	Hdgf	17932	-8.407781600952148	-0.59684527	Yes	
row_120	Vbp1	17950	-8.43600845336914	-0.59176946	Yes	
row_121	Cct4	18199	-9.237103462219238	-0.5978674	Yes	
row_122	Cct3	18202	-9.240264892578125	-0.59146315	Yes	
row_123	Rps10	18228	-9.312423706054688	-0.58617675	Yes	
row_124	Bub3	18234	-9.327727317810059	-0.5798633	Yes	
row_125	Cops5	18269	-9.464644432067871	-0.57492703	Yes	
row_126	Canx	18315	-9.620929718017578	-0.5704397	Yes	
row_127	Cnbp	18344	-9.720312118530273	-0.56501853	Yes	
row_128	Pcbp1	18346	-9.722171783447266	-0.55822414	Yes	
row_129	Rps3	18356	-9.74335765838623	-0.55182135	Yes	
row_130	Ssbp1	18383	-9.835899353027344	-0.5462172	Yes	
row_131	Snrpb2	18389	-9.863519668579102	-0.5395265	Yes	
row_132	Pa2g4	18396	-9.883934020996094	-0.53287226	Yes	
row_133	Rpl14	18417	-9.993361473083496	-0.52685237	Yes	
row_134	Rps5	18466	-10.178977012634277	-0.5221246	Yes	
row_135	Acp1	18498	-10.279165267944336	-0.5164624	Yes	
row_136	Ap3s1	18503	-10.284172058105469	-0.50942475	Yes	
row_137	Phb2	18509	-10.304438591003418	-0.5024236	Yes	
row_138	Ssb	18572	-10.542598724365234	-0.49815115	Yes	
row_139	Rack1	18602	-10.653194427490234	-0.492124	Yes	
row_140	Cct5	18660	-10.908156394958496	-0.4873401	Yes	
row_141	Eif2s1	18696	-11.110702514648438	-0.48129568	Yes	
row_142	Npm1	18712	-11.167848587036133	-0.4741948	Yes	
row_143	Snrpd2	18744	-11.319621086120605	-0.46780005	Yes	
