NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Nav2	25	24.14753532409668	0.022603458	Yes	
row_1	Tpm2	32	23.333736419677734	0.0453684	Yes	
row_2	Myh9	37	22.062477111816406	0.06697814	Yes	
row_3	Col6a2	39	21.953760147094727	0.088632934	Yes	
row_4	Itgb4	66	19.26668357849121	0.106359854	Yes	
row_5	Col4a2	80	18.09926414489746	0.12359356	Yes	
row_6	Mef2a	151	14.72996997833252	0.1345978	Yes	
row_7	Tagln	193	13.626997947692871	0.14598607	Yes	
row_8	Ncam1	202	13.395822525024414	0.15882371	Yes	
row_9	Fst	281	11.973677635192871	0.16669604	Yes	
row_10	Bhlhe40	282	11.94998836517334	0.17851096	Yes	
row_11	Svil	288	11.857345581054688	0.18998007	Yes	
row_12	Agrn	315	11.411994934082031	0.19994107	Yes	
row_13	Gsn	387	10.427064895629883	0.20664018	Yes	
row_14	Notch1	400	10.296093940734863	0.21620975	Yes	
row_15	Myh11	460	9.727438926696777	0.2228273	Yes	
row_16	Wwtr1	515	9.273431777954102	0.22925021	Yes	
row_17	Gpx3	543	9.056507110595703	0.2368315	Yes	
row_18	Dmd	802	7.253726482391357	0.23088484	Yes	
row_19	Dennd2b	857	6.9396891593933105	0.23500037	Yes	
row_20	Pdlim7	965	6.447655200958252	0.23593457	Yes	
row_21	Nos1	1097	5.899003982543945	0.235106	Yes	
row_22	Efs	1140	5.726994514465332	0.23863271	Yes	
row_23	Speg	1297	5.21754789352417	0.23585922	Yes	
row_24	Slc6a8	1361	4.969690799713135	0.2375694	Yes	
row_25	Kcnh1	1463	4.661416053771973	0.23704264	Yes	
row_26	Sh2b1	1468	4.651090145111084	0.24143778	Yes	
row_27	Ephb3	1486	4.58548641204834	0.24510704	Yes	
row_28	Ablim1	1514	4.538793087005615	0.24822168	Yes	
row_29	Schip1	1585	4.3208441734313965	0.24893443	Yes	
row_30	Mef2c	1632	4.200863361358643	0.25074887	Yes	
row_31	Tsc2	1650	4.177661418914795	0.25401494	Yes	
row_32	Sspn	1721	4.01471471786499	0.25442502	Yes	
row_33	Foxo4	1778	3.9147136211395264	0.25544807	Yes	
row_34	Sparc	1804	3.863784074783325	0.257997	Yes	
row_35	Aebp1	1876	3.7037341594696045	0.25804877	Yes	
row_36	Mapk12	2121	3.275352954864502	0.24888055	No	
row_37	Des	2130	3.258676528930664	0.25169563	No	
row_38	Hdac5	2143	3.238133192062378	0.254287	No	
row_39	Sorbs3	2437	2.78926420211792	0.24214669	No	
row_40	Sptan1	2564	2.6160402297973633	0.23832649	No	
row_41	Lpin1	2720	2.3996846675872803	0.23281783	No	
row_42	Klf5	3005	2.0650503635406494	0.22041911	No	
row_43	Agl	3128	1.9454559087753296	0.2161393	No	
row_44	Flii	3179	1.8909852504730225	0.21546657	No	
row_45	Itgb5	3344	1.7126274108886719	0.20882101	No	
row_46	Myom1	3404	1.6554445028305054	0.2074578	No	
row_47	Bin1	3424	1.6365232467651367	0.20810974	No	
row_48	Chrnb1	3473	1.5906652212142944	0.20724179	No	
row_49	Ptp4a3	3494	1.5746527910232544	0.20778172	No	
row_50	Large1	3796	1.3221279382705688	0.19378407	No	
row_51	Pick1	4094	1.1272751092910767	0.17979717	No	
row_52	App	4103	1.1234022378921509	0.1805011	No	
row_53	Hrc	4181	1.0663946866989136	0.17764026	No	
row_54	Actn2	4200	1.057916522026062	0.17777097	No	
row_55	Ifrd1	4391	0.9341970682144165	0.16903377	No	
row_56	Pde4dip	4561	0.8322452902793884	0.16126353	No	
row_57	Tgfb1	4735	0.7374916672706604	0.15319622	No	
row_58	Col3a1	4751	0.73035728931427	0.15315562	No	
row_59	Itgb1	4881	0.6601843237876892	0.14724913	No	
row_60	Gja5	5229	0.4717779755592346	0.13007182	No	
row_61	Pygm	5275	0.44589516520500183	0.12822457	No	
