NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Notch2	251	12.50660228729248	0.047400773	Yes	
row_1	Hes1	314	11.417545318603516	0.09910106	Yes	
row_2	Notch1	400	10.296093940734863	0.14425659	Yes	
row_3	Jag1	613	8.481343269348145	0.17429468	Yes	
row_4	Fzd7	622	8.42350959777832	0.21434042	Yes	
row_5	Ccnd1	788	7.310185432434082	0.24112435	Yes	
row_6	Maml2	916	6.682665824890137	0.2668109	Yes	
row_7	Dtx4	1021	6.197085857391357	0.29132533	Yes	
row_8	Dll1	1489	4.58238410949707	0.2897842	Yes	
row_9	Notch3	1533	4.4700164794921875	0.30908087	Yes	
row_10	Heyl	2273	3.017481565475464	0.28631136	No	
row_11	Kat2a	2886	2.198564291000366	0.2660126	No	
row_12	Fzd5	3875	1.267503023147583	0.22228561	No	
row_13	Wnt5a	4281	1.0060242414474487	0.20669699	No	
row_14	Cul1	4662	0.7805134654045105	0.19128594	No	
row_15	Ppard	4752	0.73006671667099	0.19030443	No	
row_16	Tcf7l2	6808	-0.362724244594574	0.08843624	No	
row_17	Arrb1	11373	-1.939023494720459	-0.13236262	No	
row_18	Fzd1	11493	-1.984323263168335	-0.12883383	No	
row_19	Lfng	12049	-2.2265026569366455	-0.14612459	No	
row_20	Fbxw11	14670	-3.782322645187378	-0.26005852	No	
row_21	Wnt2	14980	-4.069817543029785	-0.25609487	No	
row_22	Dtx1	15407	-4.461377143859863	-0.25614992	No	
row_23	Sap30	15816	-4.870728015899658	-0.25333178	No	
row_24	Psen2	16123	-5.230557918548584	-0.24364306	No	
row_25	Aph1a	17072	-6.6082234382629395	-0.25970757	No	
row_26	St3gal6	17408	-7.256525039672852	-0.24175245	No	
row_27	Skp1	17741	-7.916609287261963	-0.22047639	No	
row_28	Dtx2	18262	-9.427702903747559	-0.20142284	No	
row_29	Prkca	19302	-15.394709587097168	-0.17988335	No	
row_30	Psenen	19677	-21.58747100830078	-0.095078364	No	
row_31	Rbx1	19685	-21.763465881347656	0.009075302	No	
