NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tcirg1	1357	4.983828067779541	-0.0668972	No	
row_1	Mtrr	2318	2.956062078475952	-0.11445617	No	
row_2	Got2	2590	2.5838429927825928	-0.12716612	No	
row_3	Opa1	3453	1.6081146001815796	-0.17029804	No	
row_4	Supv3l1	4334	0.9682866334915161	-0.21460608	No	
row_5	Cpt1a	5204	0.4857686460018158	-0.25855267	No	
row_6	Idh1	5371	0.3942142724990845	-0.26682425	No	
row_7	Cox10	5435	0.35537922382354736	-0.26987928	No	
row_8	Aldh6a1	5669	0.2200147658586502	-0.28162572	No	
row_9	Pdhx	5728	0.19112125039100647	-0.28449395	No	
row_10	Pdk4	5921	0.07704703509807587	-0.29421604	No	
row_11	Afg3l2	6342	-0.13952931761741638	-0.315495	No	
row_12	Bdh2	6545	-0.238417387008667	-0.32565913	No	
row_13	Pdp1	6812	-0.36622828245162964	-0.33902216	No	
row_14	Rhot1	6886	-0.40279507637023926	-0.3425658	No	
row_15	Gpi1	6988	-0.44446420669555664	-0.3475148	No	
row_16	Pdha1	7346	-0.5995804071426392	-0.3654052	No	
row_17	Mfn2	7409	-0.6261405348777771	-0.3682987	No	
row_18	Lrpprc	7572	-0.6842919588088989	-0.37624842	No	
row_19	Etfdh	7754	-0.7349361181259155	-0.38514262	No	
row_20	Dlst	7763	-0.7372442483901978	-0.38524747	No	
row_21	Gm10053	7925	-0.7842280268669128	-0.3931055	No	
row_22	Acaa2	7943	-0.7880163192749023	-0.39364678	No	
row_23	Slc25a20	8300	-0.88922518491745	-0.4113679	No	
row_24	Slc25a12	8518	-0.9573861956596375	-0.42199993	No	
row_25	Cox15	8670	-1.0016745328903198	-0.42926103	No	
row_26	Bckdha	9658	-1.301239013671875	-0.47886848	No	
row_27	Tomm70a	10757	-1.6670854091644287	-0.5339651	No	
row_28	Acadsb	10761	-1.669198751449585	-0.53343475	No	
row_29	Rhot2	12247	-2.3169455528259277	-0.6079252	No	
row_30	Hspa9	13141	-2.7660579681396484	-0.65215826	No	
row_31	Oat	13286	-2.841602325439453	-0.6583112	No	
row_32	Maob	13358	-2.8818047046661377	-0.66073924	No	
row_33	Retsat	13705	-3.0908310413360596	-0.67705184	No	
row_34	Pmpca	13976	-3.2831592559814453	-0.68942493	No	
row_35	Mtrf1	14091	-3.3633997440338135	-0.6938404	No	
row_36	Cox11	14210	-3.439647674560547	-0.6984279	No	
row_37	Fxn	14470	-3.6267123222351074	-0.71010166	No	
row_38	Mrps11	14629	-3.751981735229492	-0.71659344	No	
row_39	Mrps22	14830	-3.9407100677490234	-0.7251416	No	
row_40	Dlat	15129	-4.213037967681885	-0.73855674	No	
row_41	Abcb7	15406	-4.458846569061279	-0.75075376	No	
row_42	Hccs	15586	-4.627098560333252	-0.75795436	No	
row_43	Cyb5r3	15670	-4.712622165679932	-0.7602431	No	
row_44	Timm50	15735	-4.788478374481201	-0.7615357	No	
row_45	Acadvl	15872	-4.925820827484131	-0.7664297	No	
row_46	Cs	15919	-4.984089374542236	-0.76672786	No	
row_47	Decr1	15934	-5.004332065582275	-0.7653921	No	
row_48	Oxa1l	15937	-5.005300521850586	-0.7634464	No	
row_49	Casp7	16063	-5.163999080657959	-0.76768416	No	
row_50	Hsd17b10	16344	-5.5251784324646	-0.77964824	No	
row_51	Idh2	16459	-5.675130844116211	-0.7831181	No	
row_52	Aifm1	16506	-5.738978385925293	-0.7831075	No	
row_53	Por	16558	-5.811110973358154	-0.7833214	No	
row_54	Mrps15	16721	-6.065371990203857	-0.78907007	No	
row_55	Ndufs1	16816	-6.231937408447266	-0.7912962	No	
row_56	Immt	16871	-6.294942855834961	-0.79146457	No	
row_57	Hadha	16942	-6.399940013885498	-0.7924028	No	
row_58	Mrpl35	16978	-6.450933933258057	-0.7915422	No	
row_59	Glud1	17049	-6.576145172119141	-0.79240835	No	
row_60	Fh1	17473	-7.377530574798584	-0.8108791	Yes	
row_61	Dld	17494	-7.409670829772949	-0.80886436	Yes	
row_62	Ldha	17502	-7.4179911613464355	-0.8061857	Yes	
row_63	Atp6ap1	17529	-7.481805801391602	-0.8044462	Yes	
row_64	Acaa1a	17532	-7.488429546356201	-0.8014848	Yes	
row_65	Idh3b	17597	-7.610936164855957	-0.8016229	Yes	
row_66	Nqo2	17623	-7.663034915924072	-0.7997585	Yes	
row_67	Timm10	17809	-8.084737777709961	-0.8058496	Yes	
row_68	Mrps30	17851	-8.192173957824707	-0.8045815	Yes	
row_69	Timm9	17971	-8.511287689208984	-0.80714536	Yes	
row_70	Mrps12	17993	-8.570310592651367	-0.80470663	Yes	
row_71	Idh3g	18019	-8.652691841125488	-0.8024374	Yes	
row_72	Acadm	18022	-8.663511276245117	-0.7989954	Yes	
row_73	Atp6v1h	18039	-8.709426879882812	-0.79624575	Yes	
row_74	Idh3a	18132	-8.992059707641602	-0.79724133	Yes	
row_75	Echs1	18149	-9.056074142456055	-0.7943499	Yes	
row_76	Sucla2	18192	-9.212666511535645	-0.7927152	Yes	
row_77	Uqcrc1	18290	-9.528961181640625	-0.79374516	Yes	
row_78	Etfb	18353	-9.730509757995605	-0.7929147	Yes	
row_79	Pdhb	18386	-9.848250389099121	-0.790512	Yes	
row_80	Surf1	18500	-10.280793190002441	-0.79204726	Yes	
row_81	Mrpl15	18506	-10.297321319580078	-0.78808933	Yes	
row_82	Phb2	18509	-10.304438591003418	-0.7839761	Yes	
row_83	Ndufv1	18645	-10.854086875915527	-0.7863945	Yes	
row_84	Ndufs2	18697	-11.117606163024902	-0.7844378	Yes	
row_85	Sdha	18736	-11.27422046661377	-0.7817567	Yes	
row_86	Htra2	18769	-11.421552658081055	-0.7787105	Yes	
row_87	Ogdh	18784	-11.473207473754883	-0.77472883	Yes	
row_88	Slc25a11	18792	-11.50936508178711	-0.7703767	Yes	
row_89	Hadhb	18842	-11.817519187927246	-0.7680322	Yes	
row_90	Sdhc	18864	-11.933876991271973	-0.7642176	Yes	
row_91	Acat1	18943	-12.413031578063965	-0.7631027	Yes	
row_92	Timm13	18968	-12.56387710571289	-0.7591829	Yes	
row_93	Fdx1	18983	-12.665485382080078	-0.75471354	Yes	
row_94	Ndufs3	19005	-12.803253173828125	-0.75054336	Yes	
row_95	Cox7a2l	19044	-13.12524127960205	-0.7471051	Yes	
row_96	Ech1	19111	-13.588696479797363	-0.74489975	Yes	
row_97	Ndufa9	19127	-13.704516410827637	-0.74005616	Yes	
row_98	Eci1	19133	-13.743488311767578	-0.73468864	Yes	
row_99	Etfa	19139	-13.80133056640625	-0.72929746	Yes	
row_100	Mtx2	19140	-13.806803703308105	-0.72365004	Yes	
row_101	Polr2f	19166	-14.021066665649414	-0.71918494	Yes	
row_102	Cyc1	19205	-14.409289360046387	-0.71522146	Yes	
row_103	Gpx4	19223	-14.606379508972168	-0.7101106	Yes	
row_104	Ndufs8	19235	-14.670501708984375	-0.7046687	Yes	
row_105	Sdhd	19282	-15.181844711303711	-0.70079565	Yes	
row_106	Ndufb7	19299	-15.333353996276855	-0.69533664	Yes	
row_107	Slc25a4	19305	-15.441657066345215	-0.6892745	Yes	
row_108	Sdhb	19327	-15.744708061218262	-0.6839012	Yes	
row_109	Phyh	19355	-16.039230346679688	-0.67871225	Yes	
row_110	Ndufs7	19380	-16.358335494995117	-0.67324036	Yes	
row_111	Iscu	19398	-16.527271270751953	-0.6673438	Yes	
row_112	Atp6v1g1	19402	-16.568992614746094	-0.660719	Yes	
row_113	Ndufa2	19411	-16.669593811035156	-0.65430695	Yes	
row_114	Vdac1	19459	-17.314008712768555	-0.6496126	Yes	
row_115	Atp6v0b	19464	-17.388410568237305	-0.64270335	Yes	
row_116	Alas1	19474	-17.517669677734375	-0.63599527	Yes	
row_117	Prdx3	19480	-17.65080451965332	-0.6290295	Yes	
row_118	Atp1b1	19489	-17.74165916442871	-0.62217903	Yes	
row_119	Aco2	19495	-17.82139015197754	-0.61514354	Yes	
row_120	Slc25a3	19499	-17.852313995361328	-0.6079938	Yes	
row_121	Mgst3	19509	-17.945201873779297	-0.6011108	Yes	
row_122	Ndufs6	19514	-18.064128875732422	-0.5939252	Yes	
row_123	Ndufab1	19555	-18.846866607666016	-0.5882482	Yes	
row_124	Ndufs4	19557	-18.861858367919922	-0.58058393	Yes	
row_125	Mrpl11	19559	-18.88731575012207	-0.5729092	Yes	
row_126	Mrpl34	19566	-19.009016036987305	-0.5654387	Yes	
row_127	Atp6v1d	19576	-19.32236671447754	-0.55799246	Yes	
row_128	Vdac3	19581	-19.35834312438965	-0.5502775	Yes	
