NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Atxn1	833	7.084231853485107	-0.030320283	No	
row_1	Smarcc1	947	6.523434162139893	-0.025148615	No	
row_2	Pex6	1790	3.894770860671997	-0.061248064	No	
row_3	Acsl4	2034	3.4436793327331543	-0.06779437	No	
row_4	Fads1	2179	3.166015625	-0.069795296	No	
row_5	Abcc5	2782	2.325840950012207	-0.09637091	No	
row_6	Abcd1	3073	1.999224305152893	-0.10770623	No	
row_7	Pex5	3146	1.9235522747039795	-0.108138256	No	
row_8	Dlg4	3671	1.4264026880264282	-0.13226883	No	
row_9	Isoc1	3731	1.3799937963485718	-0.13295044	No	
row_10	Abcb9	4387	0.9378682971000671	-0.16452435	No	
row_11	Abcd2	4508	0.8588608503341675	-0.16916208	No	
row_12	Idh1	5371	0.3942142724990845	-0.21211651	No	
row_13	Siah1a	5558	0.28549638390541077	-0.22105053	No	
row_14	Slc25a17	6208	-0.07116613537073135	-0.25376758	No	
row_15	Pex14	6370	-0.15276843309402466	-0.26165828	No	
row_16	Msh2	6437	-0.18617503345012665	-0.26468676	No	
row_17	Sod1	6507	-0.22317513823509216	-0.26780525	No	
row_18	Cln8	6528	-0.23287981748580933	-0.26842842	No	
row_19	Ide	6751	-0.3361894488334656	-0.27909923	No	
row_20	Mvp	6848	-0.3822627365589142	-0.28331822	No	
row_21	Abcb4	7066	-0.4865417182445526	-0.2934851	No	
row_22	Ctbp1	7264	-0.5677276253700256	-0.30250457	No	
row_23	Serpina6	7516	-0.6665850281715393	-0.31409115	No	
row_24	Gnpat	8136	-0.8402323126792908	-0.34400663	No	
row_25	Slc23a2	8335	-0.9000680446624756	-0.35252193	No	
row_26	Rdh11	8339	-0.9007082581520081	-0.35117027	No	
row_27	Hsd3b7	8389	-0.9145046472549438	-0.3521229	No	
row_28	Esr2	8494	-0.9507834911346436	-0.3557977	No	
row_29	Cdk7	9104	-1.1329811811447144	-0.3847186	No	
row_30	Cln6	9667	-1.3026126623153687	-0.41097838	No	
row_31	Ercc3	10035	-1.4143993854522705	-0.42718565	No	
row_32	Pex11b	10598	-1.6112784147262573	-0.45293024	No	
row_33	Hsd17b11	12160	-2.273211717605591	-0.5281138	No	
row_34	Ehhadh	12253	-2.3187060356140137	-0.5288981	No	
row_35	Crabp2	12344	-2.3596694469451904	-0.5295129	No	
row_36	Slc35b2	12370	-2.3741605281829834	-0.5268148	No	
row_37	Cadm1	12536	-2.451913595199585	-0.53107023	No	
row_38	Alb	12561	-2.4660189151763916	-0.52816826	No	
row_39	Hao2	13116	-2.754784345626831	-0.5515993	No	
row_40	Ttr	13205	-2.799718141555786	-0.55137837	No	
row_41	Cel	13470	-2.9511919021606445	-0.5598092	No	
row_42	Retsat	13705	-3.0908310413360596	-0.56648916	No	
row_43	Nr1i2	13834	-3.176288366317749	-0.56766343	No	
row_44	Lonp2	13958	-3.272658348083496	-0.56842387	No	
row_45	Hmgcl	14012	-3.3142056465148926	-0.56557333	No	
row_46	Eci2	14402	-3.581723213195801	-0.579276	No	
row_47	Hsd11b2	14458	-3.6156394481658936	-0.5760235	No	
row_48	Aldh1a1	14675	-3.786602020263672	-0.5806314	No	
row_49	Pabpc1	14744	-3.854473352432251	-0.577638	No	
row_50	Sema3c	14777	-3.884718656539917	-0.5727727	No	
row_51	Top2a	14875	-3.97361159324646	-0.5710476	No	
