NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Stat2	62	19.642919540405273	0.028258832	No	
row_1	Tiam1	83	17.816938400268555	0.0557245	No	
row_2	Egfr	194	13.599722862243652	0.071895145	No	
row_3	Plcg1	455	9.79015827178955	0.07438605	No	
row_4	Itpr2	465	9.685850143432617	0.08941202	No	
row_5	Ripk1	775	7.350473403930664	0.085523814	No	
row_6	Pikfyve	864	6.914586067199707	0.09212255	No	
row_7	Adcy2	891	6.762410640716553	0.10161555	No	
row_8	Prkaa2	960	6.480250835418701	0.10853216	No	
row_9	Mapk8	1036	6.147674083709717	0.11456296	No	
row_10	Camk4	1132	5.754819869995117	0.11895375	No	
row_11	Vav3	1170	5.636804103851318	0.12609097	No	
row_12	Nod1	1421	4.777192115783691	0.12107544	No	
row_13	Pdk1	1460	4.669707298278809	0.1266163	No	
row_14	Ube2d3	1551	4.415687561035156	0.12911971	No	
row_15	Sfn	1607	4.268226146697998	0.13315858	No	
row_16	Tsc2	1650	4.177661418914795	0.13771056	No	
row_17	Cdk2	1796	3.8716466426849365	0.13656114	No	
row_18	Gna14	1889	3.6805014610290527	0.13778824	No	
row_19	Ptpn11	1893	3.671703577041626	0.14350511	No	
row_20	Irak4	2192	3.142894983291626	0.13344836	No	
row_21	Raf1	2735	2.3885533809661865	0.109838344	No	
row_22	Myd88	2883	2.201263904571533	0.10591785	No	
row_23	Tnfrsf1a	3108	1.9666825532913208	0.097725846	No	
row_24	Map3k7	3386	1.6691107749938965	0.08637617	No	
row_25	Rptor	3886	1.2554746866226196	0.0631311	No	
row_26	Mapkap1	3995	1.1911934614181519	0.059569735	No	
row_27	Lck	4118	1.1133239269256592	0.055175446	No	
row_28	Gsk3b	4934	0.6269406080245972	0.014934667	No	
row_29	Them4	5005	0.5884225368499756	0.012332844	No	
row_30	Mknk1	5441	0.35320085287094116	-0.009115673	No	
