NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dst	2	35.27813720703125	0.056394216	No	
row_1	Egfr	194	13.599722862243652	0.06851306	No	
row_2	Abca1	497	9.400426864624023	0.06829303	No	
row_3	Stx16	751	7.447915554046631	0.06742445	No	
row_4	Golga4	816	7.155738353729248	0.075646944	No	
row_5	Gnas	914	6.6840434074401855	0.08144502	No	
row_6	Dop1a	1101	5.875383377075195	0.08144678	No	
row_7	Kif1b	1476	4.626094818115234	0.069939494	No	
row_8	Ocrl	1604	4.275096416473389	0.07036252	No	
row_9	Sspn	1721	4.01471471786499	0.070924915	No	
row_10	Sgms1	2154	3.219971179962158	0.054232385	No	
row_11	Mon2	2830	2.257270574569702	0.023708053	No	
row_12	Igf2r	2913	2.1707990169525146	0.02303715	No	
row_13	Atp1a1	3019	2.0520687103271484	0.021012848	No	
row_14	Galc	3064	2.007683038711548	0.022002637	No	
row_15	Krt18	3743	1.3691458702087402	-0.010095692	No	
row_16	Arfgef1	4300	0.9917610287666321	-0.036628034	No	
row_17	Lamp2	4757	0.7272866368293762	-0.058526255	No	
row_18	Sec24d	4830	0.6897737383842468	-0.061063148	No	
row_19	Atp7a	5062	0.5581634640693665	-0.071852475	No	
row_20	Dnm1l	5604	0.2630835473537445	-0.0987931	No	
row_21	Rab5a	5655	0.22773931920528412	-0.100957215	No	
row_22	Tom1l1	6169	-0.05161223188042641	-0.12682034	No	
row_23	Sod1	6507	-0.22317513823509216	-0.14350726	No	
row_24	Zw10	6530	-0.23329080641269684	-0.14424634	No	
row_25	Stam	6653	-0.28340601921081543	-0.14996283	No	
row_26	Sec31a	7876	-0.7708701491355896	-0.2105329	No	
row_27	Scamp1	7951	-0.7900145649909973	-0.21301043	No	
row_28	Ap2b1	8587	-0.9767327904701233	-0.24356239	No	
row_29	Ap3b1	9508	-1.2535920143127441	-0.28808528	No	
row_30	Cog2	9903	-1.3775609731674194	-0.3058064	No	
row_31	Tpd52	10484	-1.5640790462493896	-0.33263606	No	
row_32	Ppt1	11354	-1.9255439043045044	-0.37350348	No	
row_33	Cav2	11708	-2.068702459335327	-0.38804415	No	
row_34	Adam10	11774	-2.0971193313598633	-0.38797322	No	
