NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sbno2	34	22.400413513183594	0.046572607	No	
row_1	Gpx3	543	9.056507110595703	0.040462315	No	
row_2	Txnrd1	1398	4.854068756103516	0.007834017	No	
row_3	Ercc2	2020	3.4739058017730713	-0.016012488	No	
row_4	Fes	2104	3.3153696060180664	-0.01305371	No	
row_5	Junb	2144	3.2377376556396484	-0.0080420775	No	
row_6	Scaf4	2482	2.7380621433258057	-0.019144423	No	
row_7	Egln2	4601	0.8115728497505188	-0.12426747	No	
row_8	Pfkp	4969	0.6079083681106567	-0.14147553	No	
row_9	Prdx6	5654	0.22801843285560608	-0.17549807	No	
row_10	Ptpa	5954	0.060838062316179276	-0.19045421	No	
row_11	Stk25	6247	-0.08441150188446045	-0.20500633	No	
row_12	Sod1	6507	-0.22317513823509216	-0.21759416	No	
row_13	Hhex	7122	-0.5124223828315735	-0.24747147	No	
row_14	Oxsr1	9891	-1.3712788820266724	-0.38418642	No	
row_15	Txnrd2	11589	-2.0215506553649902	-0.46545783	No	
row_16	Abcc1	12379	-2.377934455871582	-0.50014406	No	
row_17	Gclc	12450	-2.4139418601989746	-0.49847248	No	
row_18	Pdlim1	15086	-4.167891025543213	-0.6224478	No	
row_19	Cdkn2d	15689	-4.73626708984375	-0.6426143	No	
row_20	Mgst1	15958	-5.026108741760254	-0.64530265	No	
row_21	Msra	16076	-5.184931755065918	-0.6400293	No	
row_22	G6pdx	16452	-5.659837245941162	-0.6467507	No	
row_23	Mpo	16759	-6.136362075805664	-0.6489631	No	
row_24	Gsr	17064	-6.596833229064941	-0.650082	Yes	
row_25	Cat	17144	-6.750283718109131	-0.63951683	Yes	
row_26	Gclm	17470	-7.373493194580078	-0.64002115	Yes	
row_27	Glrx	17510	-7.433623313903809	-0.62596446	Yes	
row_28	Nqo1	17530	-7.484084606170654	-0.6107899	Yes	
row_29	Prdx4	17796	-8.047024726867676	-0.60681474	Yes	
row_30	Mbp	18118	-8.956003189086914	-0.6037058	Yes	
row_31	Glrx2	18564	-10.498698234558105	-0.60352826	Yes	
row_32	Ndufs2	18697	-11.117606163024902	-0.5862228	Yes	
row_33	Ipcef1	18855	-11.888554573059082	-0.56851697	Yes	
row_34	Hmox2	19190	-14.206221580505371	-0.55474615	Yes	
row_35	Gpx4	19223	-14.606379508972168	-0.52487415	Yes	
row_36	Srxn1	19365	-16.154521942138672	-0.49716482	Yes	
row_37	Lsp1	19368	-16.173616409301758	-0.46240053	Yes	
row_38	Atox1	19394	-16.49092674255371	-0.42811278	Yes	
row_39	Sod2	19592	-19.552215576171875	-0.39590484	Yes	
row_40	Selenos	19613	-19.843008041381836	-0.35413876	Yes	
row_41	Prdx2	19632	-20.33710289001465	-0.31120667	Yes	
row_42	Ndufa6	19674	-21.555322647094727	-0.26680902	Yes	
row_43	Prnp	19703	-22.240205764770508	-0.22027901	Yes	
row_44	Prdx1	19707	-22.411523818969727	-0.17211822	Yes	
row_45	Lamtor5	19716	-22.741497039794922	-0.1234984	Yes	
row_46	Ftl1	19801	-26.219947814941406	-0.07121505	Yes	
row_47	Txn1	19858	-34.510616302490234	3.532354E-4	Yes	
