NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Klf10	107	16.266427993774414	0.042323653	Yes	
row_1	Skil	120	15.79765510559082	0.0880668	Yes	
row_2	Ski	188	13.723523139953613	0.124948695	Yes	
row_3	Id1	262	12.381422996520996	0.15759015	Yes	
row_4	Id2	268	12.173307418823242	0.19305311	Yes	
row_5	Tgfbr1	284	11.890408515930176	0.22718136	Yes	
row_6	Bmpr2	376	10.553037643432617	0.25355002	Yes	
row_7	Smad7	416	10.166476249694824	0.28140908	Yes	
row_8	Pmepa1	492	9.42201042175293	0.30526698	Yes	
row_9	Wwtr1	515	9.273431777954102	0.33136395	Yes	
row_10	Ncor2	552	8.987557411193848	0.3559156	Yes	
row_11	Furin	565	8.851666450500488	0.3812799	Yes	
row_12	Sptbn1	599	8.56645679473877	0.4047475	Yes	
row_13	Ltbp2	609	8.52713394165039	0.42931104	Yes	
row_14	Slc20a1	658	8.190093994140625	0.45091733	Yes	
row_15	Serpine1	670	8.109899520874023	0.4741558	Yes	
row_16	Tgif1	795	7.276617527008057	0.4892462	Yes	
row_17	Bmpr1a	931	6.579029560089111	0.50173473	Yes	
row_18	Arid4b	1355	4.997264385223389	0.49504662	Yes	
row_19	Cdh1	1378	4.908373832702637	0.50833696	Yes	
row_20	Acvr1	1453	4.6886701583862305	0.5183581	Yes	
row_21	Smurf2	1493	4.576348304748535	0.52981627	Yes	
row_22	Ube2d3	1551	4.415687561035156	0.5398946	Yes	
row_23	Smad6	1561	4.3897271156311035	0.5523194	Yes	
row_24	Id3	1692	4.070276737213135	0.55769986	Yes	
row_25	Apc	1917	3.6330342292785645	0.5570531	Yes	
row_26	Thbs1	1935	3.606778383255005	0.56677705	Yes	
row_27	Junb	2144	3.2377376556396484	0.5657781	Yes	
row_28	Trim33	2162	3.205273389816284	0.574324	Yes	
row_29	Hipk2	2573	2.6095328330993652	0.5612867	No	
row_30	Xiap	2895	2.1865036487579346	0.5515002	No	
row_31	Bcar3	3162	1.9030346870422363	0.54365796	No	
row_32	Map3k7	3386	1.6691107749938965	0.53729975	No	
row_33	Ppm1a	3857	1.279567003250122	0.5173321	No	
row_34	Tgfb1	4735	0.7374916672706604	0.47523195	No	
row_35	Smad3	5070	0.5519511699676514	0.4599937	No	
row_36	Ppp1r15a	5503	0.31731116771698	0.43912077	No	
row_37	Tjp1	6004	0.038099437952041626	0.4139966	No	
row_38	Rab31	7096	-0.498156875371933	0.3603933	No	
row_39	Smad1	7424	-0.631703794002533	0.34574234	No	
row_40	Cdk9	7530	-0.6718121767044067	0.3424138	No	
row_41	Nog	8478	-0.9446067214012146	0.2973883	No	
row_42	Smurf1	9779	-1.3328206539154053	0.23568518	No	
row_43	Eng	11251	-1.8722268342971802	0.16693392	No	
row_44	Ctnnb1	15272	-4.339529037475586	-0.0232314	No	
row_45	Fnta	17124	-6.716831207275391	-0.09694837	No	
row_46	Bmp2	17180	-6.819492340087891	-0.079716586	No	
row_47	Cdkn1c	17742	-7.918615341186523	-0.084798865	No	
row_48	Ifngr2	18221	-9.298385620117188	-0.081643865	No	
row_49	Hdac1	18579	-10.569716453552246	-0.068651795	No	
row_50	Fkbp1a	18896	-12.099288940429688	-0.04910276	No	
row_51	Ppp1ca	19336	-15.880269050598145	-0.02466874	No	
row_52	Rhoa	19471	-17.49134063720703	0.01988595	No	
