NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jun	3	34.734405517578125	0.025003577	Yes	
row_1	Egr1	35	22.352916717529297	0.03961648	Yes	
row_2	Nfat5	42	21.80732536315918	0.055105213	Yes	
row_3	Rigi	67	19.239547729492188	0.067819156	Yes	
row_4	Il6st	73	18.72527313232422	0.08112658	Yes	
row_5	Fosb	74	18.67380142211914	0.094650924	Yes	
row_6	Lamb3	98	16.772920608520508	0.10562927	Yes	
row_7	Gem	105	16.347915649414062	0.117164075	Yes	
row_8	Klf10	107	16.266427993774414	0.12889406	Yes	
row_9	Atf3	114	16.009769439697266	0.14018396	Yes	
row_10	Btg2	119	15.833085060119629	0.15144758	Yes	
row_11	Socs3	134	15.33801555633545	0.16184427	Yes	
row_12	Fos	180	14.002676963806152	0.16969784	Yes	
row_13	Id2	268	12.173307418823242	0.17409126	Yes	
row_14	Bhlhe40	282	11.94998836517334	0.18208504	Yes	
row_15	Ccnl1	287	11.858778953552246	0.1904703	Yes	
row_16	Hes1	314	11.417545318603516	0.19741754	Yes	
row_17	Il15ra	316	11.388766288757324	0.20561492	Yes	
row_18	Ccn1	377	10.54939079284668	0.2102049	Yes	
row_19	Zbtb10	379	10.536389350891113	0.21778496	Yes	
row_20	Klf6	415	10.185063362121582	0.22338204	Yes	
row_21	Dram1	439	10.005817413330078	0.22945938	Yes	
row_22	Cxcl10	448	9.88690185546875	0.23621316	Yes	
row_23	Pde4b	466	9.650745391845703	0.24233837	Yes	
row_24	Irf1	486	9.484851837158203	0.24824175	Yes	
row_25	Pmepa1	492	9.42201042175293	0.25481138	Yes	
row_26	Abca1	497	9.400426864624023	0.2614162	Yes	
row_27	Vegfa	554	8.983449935913086	0.26507542	Yes	
row_28	Kdm6b	566	8.84250545501709	0.27092028	Yes	
row_29	Irs2	574	8.75619888305664	0.276906	Yes	
row_30	Egr2	596	8.579137802124023	0.28205177	Yes	
row_31	Tap1	597	8.578034400939941	0.28826433	Yes	
row_32	Jag1	613	8.481343269348145	0.29364428	Yes	
row_33	Serpine1	670	8.109899520874023	0.29667085	Yes	
row_34	Plpp3	675	8.029243469238281	0.3022826	Yes	
row_35	Pnrc1	692	7.941936492919922	0.30722106	Yes	
row_36	Klf4	697	7.850020408630371	0.312703	Yes	
row_37	Pfkfb3	710	7.76239538192749	0.31771478	Yes	
row_38	Bcl6	724	7.638537883758545	0.32258603	Yes	
row_39	Tnfaip3	784	7.329833984375	0.3248951	Yes	
row_40	Ccnd1	788	7.310185432434082	0.33003694	Yes	
row_41	Tgif1	795	7.276617527008057	0.33500192	Yes	
row_42	Fosl2	811	7.190450191497803	0.33944696	Yes	
row_43	Dennd5a	825	7.119269371032715	0.34394214	Yes	
row_44	Ifih1	856	6.940463542938232	0.34744352	Yes	
row_45	Ifit2	885	6.811424255371094	0.35095316	Yes	
row_46	Bcl3	895	6.754448413848877	0.35538745	Yes	
row_47	Phlda1	954	6.497798919677734	0.35714477	Yes	
row_48	Nr4a2	1048	6.114420413970947	0.35684508	Yes	
row_49	Ier2	1131	5.755606174468994	0.35684475	Yes	
row_50	Cd44	1148	5.6985273361206055	0.36015844	Yes	
row_51	Tnc	1205	5.561532974243164	0.36133936	Yes	
row_52	Dnajb4	1209	5.53307580947876	0.3651941	Yes	
row_53	Panx1	1272	5.277295112609863	0.36586416	Yes	
row_54	Csf1	1304	5.193492412567139	0.3680495	Yes	
row_55	Btg1	1376	4.925368309020996	0.3680071	Yes	
row_56	Nfe2l2	1384	4.895275115966797	0.37119657	Yes	
row_57	Trip10	1601	4.285783767700195	0.36331934	No	
row_58	Ets2	1603	4.278141498565674	0.3663669	No	
row_59	Rcan1	1656	4.171614646911621	0.36674452	No	
row_60	Pdlim5	1675	4.118908405303955	0.36881253	No	
row_61	Birc3	1872	3.7083303928375244	0.36153382	No	
row_62	Tiparp	1907	3.651120185852051	0.36244962	No	
row_63	Egr3	2086	3.3469631671905518	0.3558243	No	
row_64	Junb	2144	3.2377376556396484	0.3552714	No	
row_65	Sgk1	2176	3.1687521934509277	0.35599032	No	
row_66	Gfpt2	2266	3.026552200317383	0.35365763	No	
row_67	F2rl1	2311	2.963330030441284	0.35356688	No	
row_68	Nfkb1	2486	2.7345950603485107	0.34670144	No	
row_69	Ier3	2527	2.658482074737549	0.34659326	No	
row_70	Cxcl11	2743	2.3722479343414307	0.33738098	No	
row_71	F3	2772	2.3341197967529297	0.33764797	No	
row_72	Clcf1	2935	2.1382479667663574	0.3309607	No	
row_73	Icam1	3032	2.035087823867798	0.32755405	No	
row_74	Efna1	3056	2.015016555786133	0.3278441	No	
row_75	Stat5a	3189	1.8750249147415161	0.32249135	No	
row_76	Spsb1	3343	1.7141122817993164	0.31595445	No	
row_77	Tsc22d1	3580	1.51018488407135	0.30505022	No	
row_78	Ptger4	3972	1.2012221813201904	0.2860422	No	
row_79	Nr4a1	4317	0.9796550273895264	0.26926315	No	
row_80	Nfkbie	4346	0.9642078876495361	0.26853797	No	
row_81	Rhob	4725	0.741582989692688	0.24985799	No	
row_82	Per1	4807	0.7023163437843323	0.24624869	No	
row_83	Nfil3	4810	0.7012841105461121	0.24665491	No	
row_84	Smad3	5070	0.5519511699676514	0.23388739	No	
row_85	Plaur	5129	0.5195680260658264	0.23131503	No	
row_86	Ackr3	5384	0.38930419087409973	0.21868391	No	
row_87	Ppp1r15a	5503	0.31731116771698	0.21291475	No	
row_88	Fjx1	5537	0.2973659038543701	0.21145242	No	
row_89	Fosl1	5953	0.06090783327817917	0.19039842	No	
row_90	Litaf	6120	-0.02291720174252987	0.18197577	No	
row_91	Zc3h12a	6131	-0.02895289845764637	0.18148835	No	
