NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jag2	127	15.504806518554688	0.08847067	Yes	
row_1	Notch1	400	10.296093940734863	0.1377538	Yes	
row_2	Ncor2	552	8.987557411193848	0.18513346	Yes	
row_3	Jag1	613	8.481343269348145	0.23400588	Yes	
row_4	Hey2	1124	5.78547477722168	0.24368197	Yes	
row_5	Fzd8	1163	5.665487766265869	0.27643338	Yes	
row_6	Hey1	1234	5.410149097442627	0.3060081	Yes	
row_7	Dll1	1489	4.58238410949707	0.32123587	Yes	
row_8	Csnk1e	1886	3.6858649253845215	0.32381463	Yes	
row_9	Hdac5	2143	3.238133192062378	0.33071578	Yes	
row_10	Ptch1	2353	2.8913698196411133	0.3378659	Yes	
row_11	Hdac11	2366	2.8762707710266113	0.35486105	Yes	
row_12	Maml1	2508	2.6885199546813965	0.36420006	Yes	
row_13	Kat2a	2886	2.198564291000366	0.35863617	No	
row_14	Dvl2	3395	1.6587949991226196	0.34316117	No	
row_15	Frat1	4009	1.1844993829727173	0.31948724	No	
row_16	Numb	4035	1.1707398891448975	0.32539013	No	
row_17	Cul1	4662	0.7805134654045105	0.29858837	No	
row_18	Ppard	4752	0.73006671667099	0.29856628	No	
row_19	Wnt5b	4758	0.7271208167076111	0.30276346	No	
row_20	Axin1	4831	0.6897736191749573	0.30335236	No	
row_21	Dkk4	4996	0.5957908034324646	0.29872534	No	
row_22	Skp2	5201	0.4864925742149353	0.29141173	No	
row_23	Lef1	5771	0.16394400596618652	0.26371235	No	
row_24	Axin2	6487	-0.21238866448402405	0.2289446	No	
row_25	Notch4	9785	-1.333545207977295	0.07079128	No	
row_26	Nkd1	11252	-1.873395562171936	0.008304201	No	
row_27	Wnt1	11328	-1.9130488634109497	0.01622724	No	
row_28	Fzd1	11493	-1.984323263168335	0.020096915	No	
row_29	Myc	12748	-2.568371534347534	-0.027443357	No	
row_30	Ncstn	13977	-3.2835533618927	-0.06929574	No	
row_31	Wnt6	14331	-3.531358003616333	-0.065493345	No	
row_32	Gnai1	14369	-3.5599193572998047	-0.045575906	No	
row_33	Adam17	14558	-3.700772762298584	-0.032413583	No	
row_34	Ccnd2	14591	-3.7170870304107666	-0.011282182	No	
row_35	Dkk1	15075	-4.156565189361572	-0.010211725	No	
row_36	Ctnnb1	15272	-4.339529037475586	0.0064557255	No	
row_37	Trp53	15847	-4.898183345794678	0.007473898	No	
row_38	Psen2	16123	-5.230557918548584	0.025608666	No	
row_39	Hdac2	17355	-7.14811372756958	0.0072529716	No	
row_40	Rbpj	17519	-7.4639892578125	0.044704273	No	
row_41	Tcf7	18880	-12.02552318572998	0.049687166	No	
