NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Igfbp4	54	20.23369026184082	0.014579673	No	
row_1	Apoe	157	14.609447479248047	0.02190401	No	
row_2	Id2	268	12.173307418823242	0.026735857	No	
row_3	Pros1	418	10.149356842041016	0.027852451	No	
row_4	Man1a	520	9.233487129211426	0.030624634	No	
row_5	Serpine1	670	8.109899520874023	0.029995013	No	
row_6	Comt	682	7.996286392211914	0.036282446	No	
row_7	Crp	800	7.259038925170898	0.03655082	No	
row_8	Slc35d1	840	7.046691417694092	0.040602	No	
row_9	Bcar1	946	6.5241827964782715	0.040851116	No	
row_10	Atoh8	975	6.3993682861328125	0.04490716	No	
row_11	Ddah2	996	6.315751075744629	0.049298238	No	
row_12	Esr1	1190	5.588498115539551	0.0442733	No	
row_13	Slc12a4	1541	4.4430317878723145	0.030287517	No	
row_14	Ets2	1603	4.278141498565674	0.030849991	No	
row_15	Pdlim5	1675	4.118908405303955	0.030767843	No	
row_16	Aox1	1789	3.898021697998047	0.028361771	No	
row_17	Npc1	1803	3.8637917041778564	0.031009242	No	
row_18	Slc6a6	1980	3.536120891571045	0.025091108	No	
row_19	Xdh	2249	3.0637457370758057	0.014092297	No	
row_20	Ugdh	2281	3.001260757446289	0.015086342	No	
row_21	Lcat	2340	2.9207818508148193	0.014639108	No	
row_22	Fbln1	2378	2.852288246154785	0.015200629	No	
row_23	Cyp2e1	2837	2.25071382522583	-0.0061517283	No	
row_24	Tnfrsf1a	3108	1.9666825532913208	-0.01819152	No	
row_25	Gcnt2	3188	1.8751510381698608	-0.020601436	No	
row_26	Csad	4039	1.1675869226455688	-0.06280596	No	
row_27	Abcd2	4508	0.8588608503341675	-0.08585833	No	
row_28	Ppard	4752	0.73006671667099	-0.09758456	No	
row_29	Slc1a5	4866	0.6697450876235962	-0.102754734	No	
row_30	Hrg	4944	0.6197810173034668	-0.106137864	No	
row_31	Hes6	5050	0.5623826384544373	-0.11099333	No	
row_32	Lonp1	5173	0.49747923016548157	-0.116768464	No	
row_33	Idh1	5371	0.3942142724990845	-0.12644415	No	
row_34	Tyr	5495	0.32018718123435974	-0.1324219	No	
row_35	Marchf6	5554	0.28702667355537415	-0.1351242	No	
row_36	Pdk4	5921	0.07704703509807587	-0.15366146	No	
row_37	Fmo1	5968	0.053591690957546234	-0.15595369	No	
row_38	Cyp2c55	6390	-0.16339078545570374	-0.1772126	No	
row_39	Aldh3a1	6391	-0.16381505131721497	-0.17707233	No	
row_40	Il1r1	6626	-0.269887238740921	-0.18873511	No	
row_41	Tpst1	6666	-0.2903960347175598	-0.19046879	No	
