NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	181	-0.8138968	-2.545509	0.0	0.0	0.0	2394	tags=67%, list=12%, signal=75%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	186	-0.63881826	-2.020404	0.0	0.0	0.0	2774	tags=44%, list=14%, signal=51%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	151	-0.6076068	-1.896935	0.0	0.0	0.0	4693	tags=54%, list=24%, signal=70%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	193	-0.6010782	-1.8928742	0.0	0.0	0.0	3471	tags=49%, list=17%, signal=59%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	198	-0.58447385	-1.8418343	0.0	0.0	0.0	2530	tags=39%, list=13%, signal=44%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	-0.5904093	-1.828368	0.0	1.1805555E-4	0.001	3440	tags=41%, list=17%, signal=49%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.6643027	-1.8154453	0.0	1.01190475E-4	0.001	2803	tags=50%, list=14%, signal=58%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	101	-0.5882657	-1.7797235	0.0	8.854167E-5	0.001	4368	tags=47%, list=22%, signal=59%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	-0.5173574	-1.5597043	0.0	0.0065980325	0.083	3127	tags=35%, list=16%, signal=41%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	-0.5246806	-1.5594109	0.0010526315	0.005938229	0.083	3218	tags=43%, list=16%, signal=51%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	-0.5347001	-1.5552536	0.0043431055	0.0056000347	0.086	4721	tags=55%, list=24%, signal=72%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	192	-0.4989508	-1.5546998	0.0	0.0051333653	0.086	4234	tags=43%, list=21%, signal=54%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	186	-0.463637	-1.4576906	0.002020202	0.017157251	0.273	3331	tags=31%, list=17%, signal=37%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	199	-0.4516664	-1.4282541	0.0020181634	0.022829736	0.377	4757	tags=40%, list=24%, signal=52%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	-0.44905657	-1.4187233	0.0010131713	0.024660794	0.424	6049	tags=43%, list=30%, signal=61%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.50616103	-1.3657625	0.051044084	0.044582713	0.648	4488	tags=41%, list=23%, signal=53%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	-0.43069637	-1.3412206	0.015166835	0.056141265	0.743	4141	tags=39%, list=21%, signal=49%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	-0.41546467	-1.3170799	0.019308943	0.0721293	0.841	4877	tags=39%, list=25%, signal=51%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	185	-0.41744396	-1.3016639	0.026449643	0.08138385	0.89	4621	tags=39%, list=23%, signal=50%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	-0.42153293	-1.2928467	0.061116964	0.0850358	0.913	3418	tags=30%, list=17%, signal=37%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		95	-0.42207846	-1.2680638	0.07423118	0.105884105	0.962	2464	tags=33%, list=12%, signal=37%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		111	-0.4015637	-1.2291362	0.11666667	0.15024263	0.989	5220	tags=42%, list=26%, signal=57%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		155	-0.3935748	-1.2244308	0.08553971	0.15056391	0.992	3764	tags=34%, list=19%, signal=42%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		186	-0.3836356	-1.2062868	0.08841463	0.1697991	0.995	3790	tags=31%, list=19%, signal=38%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		198	-0.36526582	-1.1495912	0.15136226	0.2677856	1.0	3926	tags=34%, list=20%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		199	-0.3617383	-1.1374167	0.18355066	0.28429914	1.0	3707	tags=32%, list=19%, signal=39%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		129	-0.3576241	-1.1034336	0.28112033	0.35075822	1.0	7772	tags=48%, list=39%, signal=78%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		193	-0.3319205	-1.040655	0.39756593	0.4920387	1.0	3408	tags=30%, list=17%, signal=35%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		57	-0.3479847	-0.9971128	0.49103138	0.5908533	1.0	5458	tags=32%, list=27%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		197	-0.30995816	-0.973935	0.55939084	0.62979394	1.0	3748	tags=26%, list=19%, signal=32%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		133	-0.29715535	-0.9116036	0.6587137	0.75785196	1.0	5283	tags=38%, list=27%, signal=52%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		197	-0.26491195	-0.84145063	0.84375	0.8612931	1.0	4272	tags=28%, list=22%, signal=35%	
