NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	0.5385358	2.4743707	0.0	0.0	0.0	1434	tags=30%, list=7%, signal=32%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.574324	2.1894155	0.0	0.0	0.0	2162	tags=55%, list=11%, signal=61%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.46139133	2.0505877	0.0	0.0	0.0	1400	tags=30%, list=7%, signal=32%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.42407668	1.8589369	0.0	0.0034168565	0.002	2325	tags=34%, list=12%, signal=38%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	0.42504686	1.8064699	0.0	0.0027334853	0.002	1548	tags=39%, list=8%, signal=42%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	0.37119657	1.6739771	0.0	0.004910149	0.005	1384	tags=29%, list=7%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	0.36300465	1.633669	0.0	0.010283111	0.009	1442	tags=23%, list=7%, signal=24%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.455679	1.56777	0.025477707	0.024943052	0.023	2610	tags=44%, list=13%, signal=51%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.3681382	1.5514709	0.0	0.022677802	0.024	1726	tags=25%, list=9%, signal=27%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	0.33237433	1.4462506	0.0	0.043705396	0.049	1548	tags=30%, list=8%, signal=32%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	198	0.298685	1.4087567	0.0	0.048981857	0.061	1183	tags=17%, list=6%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.36420006	1.3244841	0.083333336	0.068514295	0.102	2508	tags=31%, list=13%, signal=35%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.2708756	1.3084131	0.0	0.07282283	0.115	1350	tags=14%, list=7%, signal=15%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.33830446	1.2045982	0.15492958	0.12194383	0.2	2936	tags=36%, list=15%, signal=42%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	0.25804877	1.1584468	0.0	0.15935211	0.265	1876	tags=18%, list=9%, signal=20%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.30908087	1.0509914	0.3115942	0.32528463	0.488	1533	tags=31%, list=8%, signal=34%	
