NAME	TITLE	SCORE	
Lifr		39.928177	
Cald1		37.48198	
Dst		35.278137	
Jun		34.734406	
Grip2		33.02473	
Ccl21a		32.98708	
Krt5		32.833164	
Lars2		32.035217	
Col4a1		30.58763	
mt-Cytb		29.739822	
Flna		29.373621	
mt-Co1		29.352974	
Zfp36l1		29.071266	
Iigp1		28.801695	
Sox4		28.70237	
mt-Nd2		28.128784	
Rnf213		28.015665	
Jmjd1c		27.348635	
Col6a1		27.27667	
Ifi27l2a		26.385523	
Ahnak		26.278532	
Itga6		26.23795	
Gm8113		25.902193	
Ccdc88c		24.672344	
Gm20594		24.620378	
Nav2		24.147535	
Parp14		24.137749	
mt-Nd4		23.72988	
Nedd4		23.68858	
mt-Nd1		23.573345	
Fbxo32		23.45983	
Tgfbi		23.360134	
Tpm2		23.333736	
Runx1		23.08575	
Sbno2		22.400414	
Egr1		22.352917	
Robo1		22.214674	
Myh9		22.062477	
Son		22.03565	
Col6a2		21.95376	
Krt14		21.867523	
Ifi202b		21.836803	
Nfat5		21.807325	
Amotl1		21.105362	
Kcnq3		21.071028	
Lpp		21.028372	
Sulf1		21.015825	
Osmr		20.979479	
Nfia		20.953274	
Ttc3		20.832132	
Map3k20		20.62847	
Eya4		20.542221	
Myo10		20.45325	
Zbtb20		20.267199	
Igfbp4		20.23369	
Plce1		20.125061	
Ascl1		20.088	
mt-Atp8		20.064976	
S1pr3		19.950535	
Stat1		19.887074	
Hspa1b		19.808327	
Plod2		19.706993	
Stat2		19.64292	
Dsp		19.533297	
Wfikkn2		19.425991	
Lamc2		19.29287	
Itgb4		19.266684	
Rigi		19.239548	
Nopchap1		19.164316	
Xylt1		19.101597	
Fgfr2		19.089025	
Auts2		19.074482	
Tcf4		18.879337	
Il6st		18.725273	
Fosb		18.673801	
Mycbp2		18.578478	
Igfbp5		18.467201	
BC034090		18.417166	
Meis2		18.354534	
Lama3		18.165594	
Col4a2		18.099264	
Irf7		18.077618	
Tpm1		18.076332	
Tiam1		17.816938	
Rnf150		17.792097	
Sh3pxd2b		17.666822	
Ifi204		17.468504	
Boc		17.364813	
Trp63		17.325312	
Oasl2		17.180166	
Pbx1		17.104963	
Pard6g		17.014996	
Slc38a2		16.99684	
Snhg11		16.904413	
Ddx60		16.87968	
Rabgap1		16.868328	
Skint7		16.86213	
Picalm		16.858236	
Lamb3		16.77292	
Adamts1		16.73906	
Igdcc4		16.738205	
Syne1		16.691896	
Gbp3		16.679262	
Gas1		16.589825	
Slfn8		16.579258	
Gem		16.347916	
Ankrd11		16.282938	
Klf10		16.266428	
Nfkbiz		16.259201	
Atrx		16.222013	
Palld		16.198965	
Samd9l		16.190418	
Ptprd		16.16622	
Nfe2l1		16.062557	
Atf3		16.00977	
Phldb2		15.950132	
Arid5a		15.90866	
Tns3		15.8730545	
mt-Nd6		15.847003	
Btg2		15.833085	
Skil		15.797655	
Fstl1		15.782444	
Nfib		15.710644	
Dpysl3		15.700588	
Gbp7		15.617715	
mt-Nd3		15.575499	
Eif2ak2		15.523928	
Jag2		15.5048065	
Pecam1		15.491799	
Frmd6		15.488236	
Lamb1		15.442801	
Ptpn14		15.397785	
Adamts9		15.396863	
Shisa2		15.367768	
Socs3		15.338016	
Ddx3x		15.271118	
Hif1a		15.246982	
Frmd4a		15.238385	
Ppp1r10		15.1510105	
Ccdc141		15.121725	
Cnn2		15.097911	
Prrc2c		15.010556	
Mid1		15.005104	
Baz2b		14.984455	
Krt17		14.982022	
Pclo		14.9006405	
Rbms3		14.878986	
Meis1		14.878082	
Vmn1r13		14.823821	
Brwd1		14.778443	
Sdc3		14.748883	
Mef2a		14.72997	
Mbnl2		14.6990185	
Ank3		14.697445	
Foxn3		14.670191	
Synpo2		14.646539	
Clca3a1		14.623361	
Apoe		14.6094475	
Tle4		14.567541	
Antxr1		14.448125	
Zfp703		14.404944	
Pkp4		14.399804	
Igsf3		14.384912	
Sox9		14.378195	
Plec		14.356039	
Irgm1		14.326624	
Tut4		14.319271	
Herc6		14.302794	
Fcgbp		14.217344	
Trio		14.15077	
Plxnb1		14.138369	
Igf2bp2		14.128933	
Ifi203		14.116231	
Nfix		14.074796	
Sfpq		14.074481	
Isg15		14.069208	
Sema6d		14.0434675	
Sema4c		14.042435	
Garin4		14.025553	
Paxbp1		14.021446	
Fos		14.002677	
Dpp6		13.995741	
mt-Nd5		13.91163	
Numa1		13.901997	
Rrad		13.840812	
Clk1		13.8305025	
Man2a2		13.76182	
C1s1		13.743737	
Ski		13.723523	
Luzp1		13.718075	
Tcim		13.679214	
Clca3a2		13.663133	
Fryl		13.6526985	
Tagln		13.626998	
Egfr		13.599723	
Fbn1		13.576447	
Kmt2a		13.564134	
Hspa1a		13.473021	
Trim29		13.469575	
Epb41l2		13.462855	
Mast4		13.4511	
Mtss2		13.400713	
Ncam1		13.395823	
Ifi44		13.39193	
Emp2		13.363632	
Macf1		13.328186	
Rnf122		13.314585	
Ggt5		13.301067	
Nisch		13.297349	
Slfn5		13.292832	
Mill1		13.2840185	
Mprip		13.279953	
C3		13.261878	
Sema6a		13.259485	
Dgkz		13.254329	
Usp34		13.229967	
Robo2		13.183626	
Pcf11		13.170741	
Rgs4		13.168114	
Ext1		13.153383	
Clstn1		13.147898	
Vcl		13.118538	
Glul		13.032822	
Rnd3		13.01891	
Rgma		12.975981	
Skint8		12.945721	
Bmt2		12.924029	
Fto		12.912332	
Rbbp8		12.902892	
Zfp608		12.888666	
Prpf4b		12.885391	
Slc5a3		12.813581	
Parp8		12.80783	
Lbh		12.801008	
Scarb2		12.799091	
Kctd4		12.789299	
Ppp2r3a		12.78865	
Ash1l		12.78042	
Srrm2		12.780099	
Nsd1		12.779537	
Etl4		12.766795	
Sdk2		12.756185	
Nfic		12.723933	
Smg1		12.696493	
Limch1		12.684576	
Stox2		12.647499	
Scn3b		12.626779	
Olfml2a		12.609738	
Mx2		12.586036	
2310022A10Rik		12.574249	
Tnik		12.551254	
Notch2		12.506602	
Mpzl2		12.496863	
H2-Q6		12.480276	
Nrbp2		12.464376	
Hnrnpu		12.438785	
Sntb2		12.434415	
Zfp644		12.430405	
Nlrc5		12.405723	
Shisa4		12.400006	
Afap1		12.39884	
Tasor		12.388405	
Id1		12.381423	
Gpc1		12.3770685	
Fzd2		12.373532	
Slfn9		12.366442	
Gfra2		12.293242	
Prrc2a		12.269569	
Id2		12.173307	
Chd4		12.14777	
Bptf		12.1350765	
Klhl29		12.129474	
Man1a2		12.123993	
Bcl11a		12.115589	
Bbx		12.113564	
Ifit3		12.110221	
Rgs5		12.100909	
Utrn		12.068592	
Rrbp1		12.031179	
Fry		12.02717	
Mical3		11.990416	
Fst		11.973678	
Bhlhe40		11.949988	
Isl1		11.911791	
Tgfbr1		11.8904085	
Zfp36l2		11.88556	
Igf1r		11.882945	
Ccnl1		11.858779	
Svil		11.857346	
Ankrd17		11.843846	
Pdlim3		11.808029	
Esyt1		11.761843	
Vmn2r97		11.716839	
Chd3		11.716173	
Hnrnph1		11.705243	
Plekha1		11.692757	
Zfand5		11.674002	
Serpinh1		11.660131	
Setd2		11.635668	
Htra1		11.623903	
Rgs12		11.590227	
Cux1		11.58253	
Nedd9		11.581397	
Mmp14		11.578896	
Vps13b		11.57553	
Prrc2b		11.570352	
Rflnb		11.565934	
Nhs		11.5344515	
Pik3r1		11.529389	
Ier5l		11.48697	
Lrig1		11.475682	
Ccl11		11.471428	
Smo		11.451022	
Sult5a1		11.438094	
Hes1		11.417545	
Agrn		11.411995	
Il15ra		11.388766	
Sfrp1		11.382979	
Foxp1		11.347559	
Ptprs		11.346342	
9930111J21Rik2		11.340565	
Tnrc6b		11.277625	
Ch25h		11.274219	
Osbpl6		11.274165	
Fnbp4		11.264691	
Plekha7		11.249145	
Gigyf1		11.230915	
Lipe		11.219949	
Mgp		11.208142	
Pard3		11.200994	
Tpm4		11.1996155	
Ptgfrn		11.185578	
Slc4a11		11.183239	
Tmtc1		11.166546	
Bcl2		11.164973	
mt-Nd4l		11.159425	
Tmsb10		11.124814	
Sobp		11.122516	
Aff4		11.106562	
Lmo4		11.10599	
