external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Prelp,0.9982,0.0018000000000000238,6.318161446611285,0.0003791071,2.2617696e-05,0.0,0.25,4.8028955,4.6668186,1.9418262,-0.9636469,13.11408,1.8824884792626726,0.04920430870162719,0.7188940092165926,0.02464648255685105,3.234967314613817,0.04697101007932865,True,2 vs Rest,2,Rest
Dcn,0.9978,0.0021999999999999797,6.11709095964051,0.0018116077,0.00011827263,0.0,0.25,4.3342094,4.3312597,1.460844,-1.2092419,10.080006,12.25345622119814,0.9333747063256518,0.9055299539170572,0.2118001684471877,20.29960284621685,0.799445670817489,True,2 vs Rest,2,Rest
Cpne8,0.9972,0.0028000000000000247,5.875328373074121,0.00040691294,4.2058433e-05,0.0,0.25,3.6223679,3.773365,1.054961,-1.2966251,6.379883,2.4170506912442384,0.38565539252627307,0.8225806451612951,0.24987809743340256,3.871235756485244,0.36213764558083217,True,2 vs Rest,2,Rest
Ackr4,0.997,0.0030000000000000027,5.8061351579960405,0.00030967896,2.3194336e-05,0.0,0.25,4.3664927,4.3805103,1.634225,-1.8020811,10.217432,1.8225806451612903,0.11875526397446853,0.6543778801843333,0.05744935502460309,3.0847151210897725,0.10899539309774645,True,2 vs Rest,2,Rest
Prss23,0.9966,0.0033999999999999586,5.680571123087171,0.00012618245,7.99549e-06,0.0,0.25,4.8679514,4.747487,2.06739,-1.4347878,13.741503,0.6797235023041477,0.0168447182942506,0.3686635944700451,0.00926459506183784,1.0276075483764975,0.014053963230578321,True,2 vs Rest,2,Rest
Smim1,0.9956,0.0043999999999999595,5.421738766888735,0.00010184213,1.4458986e-05,0.0,0.25,2.9934554,3.013978,1.0963984,-2.7766447,7.0849686,0.605990783410138,0.09171505829159232,0.37327188940092065,0.06365530386985348,0.9624602497400493,0.07306090418193145,True,2 vs Rest,2,Rest
Pmp22,0.9952,0.0048000000000000265,5.334325730788133,0.0002033266,2.1750227e-05,0.0,0.25,3.8148484,3.7997055,1.5424427,-1.2917175,9.595856,1.078341013824886,0.054612349838202456,0.506912442396312,0.026552595416463667,1.7048367698212268,0.0478217710094056,True,2 vs Rest,2,Rest
Gas1,0.9952,0.0048000000000000265,5.334325730788133,0.0014244465,8.055548e-05,0.0,0.25,5.738737,5.9683013,2.168181,-1.298315,13.133809,9.131336405529938,0.4619442351168129,0.935483870967749,0.13848131566115812,14.913474378924924,0.6250831177305974,True,2 vs Rest,2,Rest
Igfbp7,0.9952,0.0048000000000000265,5.334325730788133,0.00031854605,3.6515088e-05,0.0,0.25,3.746579,3.7188463,1.4941798,-2.396675,8.492608,2.002304147465437,0.18515891661864597,0.5875576036866361,0.05000221641030263,2.953429356601692,0.14284570190230017,True,2 vs Rest,2,Rest
Bcam,0.995,0.0050000000000000044,5.2933028347767435,0.00033361674,4.301907e-05,0.0,0.25,3.338759,3.2950416,1.2510041,-0.97107315,7.4661837,1.8663594470046094,0.23006338933463802,0.7373271889400953,0.13271864887628276,2.9698809235092742,0.22572197066731112,True,2 vs Rest,2,Rest
Scn1a,0.995,0.0050000000000000044,5.2933028347767435,0.00020718358,1.0998368e-05,0.0,0.25,5.094877,5.122831,2.0391977,-1.8900099,11.693243,1.2188940092165914,0.0371470366594265,0.5437788018433173,0.02003634912895076,2.022565361213816,0.036166342114435035,True,2 vs Rest,2,Rest
Oat,0.9948,0.005199999999999982,5.253881173319069,0.00080191536,0.000103332844,0.0,0.25,3.2803934,3.3938427,1.0779177,-1.2678738,6.3256826,4.656682027649761,0.9953455383660843,0.9308755760368733,0.42470854204531344,7.53699463223694,0.8274740958711346,True,2 vs Rest,2,Rest
Tank,0.9942,0.005800000000000027,5.144078762030087,4.415336e-05,0.00019540994,0.0,0.25,-2.0566304,-2.0746217,0.7000089,-4.873296,0.7615557,0.2972350230414742,2.487831907441942,0.2327188940092162,0.7518950308081213,0.475335763609364,1.9654788309983093,True,2 vs Rest,2,Rest
Fmod,0.9942,0.005800000000000027,5.144078762030087,0.00014807461,9.140072e-06,0.0,0.25,4.577294,4.480265,1.9590791,-2.0583181,11.792758,0.7695852534562222,0.025533046677600993,0.37327188940092065,0.01564785673123799,1.308864414904699,0.02785942855400599,True,2 vs Rest,2,Rest
Megf6,0.9938,0.006199999999999983,5.076985084277639,0.00012075173,1.33961585e-05,0.0,0.25,3.3970551,3.436512,1.2678827,-1.5229521,7.857256,0.6728110599078347,0.11529766390354391,0.40552995391704955,0.0896316326078301,1.1331291461203576,0.1022699886051602,True,2 vs Rest,2,Rest
