external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Xylt1,0.996,0.0040000000000000036,5.517450406507993,0.00027790692,4.0607734e-05,0.0,0.25,3.0436013,3.0278811,1.1601499,-1.3898458,8.212977,0.9196242171189936,0.37985023825728603,0.4968684759916466,0.24243249375993262,2.540496231496889,0.31761183007663324,True,1 vs Rest,1,Rest
BC034090,0.9932,0.006800000000000028,4.984007980933258,0.0001824901,2.0790634e-05,0.0,0.25,3.4991612,3.4689212,1.428181,-1.1660223,9.501146,0.5845511482254673,0.13945995007942164,0.38204592901878737,0.099341955979126,1.7616802688902709,0.12546274846048597,True,1 vs Rest,1,Rest
Ccdc88c,0.9914,0.008600000000000052,4.74735472962373,0.0003961466,6.0700106e-05,0.0,0.25,2.8238204,2.8846335,1.0645663,-1.410492,6.029972,1.4561586638830823,0.6653051962785338,0.641962421711896,0.37308826866342293,4.098002316927794,0.5506085478636426,True,1 vs Rest,1,Rest
Bcr,0.9908,0.009199999999999986,4.679308136697134,0.000104624356,2.810716e-05,0.0,0.25,2.0110173,2.047411,0.73129183,-1.0342283,5.021268,0.36951983298538493,0.28391195824823423,0.2891440501043831,0.2129793510324529,1.037997315406866,0.23808367382084553,True,1 vs Rest,1,Rest
Sh3pxd2b,0.9908,0.009199999999999986,4.679308136697134,0.00015277708,1.734856e-05,0.0,0.25,3.788647,3.8381815,1.5747386,-1.7370405,9.576411,0.5626304801670124,0.14068527342863876,0.37265135699373525,0.1022464261402334,1.5400450875437253,0.13003895844892785,True,1 vs Rest,1,Rest
Sdk2,0.9902,0.009800000000000031,4.6155235469421205,0.00010309725,1.9059587e-05,0.0,0.25,2.650587,2.7097354,1.0706824,-1.3297644,6.2949123,0.4112734864300614,0.19673247106875816,0.30793319415448733,0.15734059450873933,1.153062528108924,0.17694751804126277,True,1 vs Rest,1,Rest
Fto,0.9884,0.011600000000000055,4.445081524050899,0.00014385456,2.9372728e-05,0.0,0.25,2.535396,2.6272235,1.010901,-0.99690247,7.138092,0.48956158663882904,0.28772407533468514,0.3455114822546958,0.21756296800545052,1.3484943404269976,0.25667061519243234,True,1 vs Rest,1,Rest
Plxnb1,0.9882,0.011800000000000033,4.427784737602169,0.00019619294,3.9824172e-05,0.0,0.25,2.579598,2.5951357,1.0839424,-1.2334309,6.374548,0.6043841336116884,0.3912865895166377,0.4091858037578268,0.26875425459495694,1.7574133259677969,0.34596605278149606,True,1 vs Rest,1,Rest
Plce1,0.9882,0.011800000000000033,4.427784737602169,0.0002341706,3.7003258e-05,0.0,0.25,2.9182405,2.9399343,1.2667521,-2.2333202,8.292043,0.8319415448851735,0.27429090083957125,0.48643006263047756,0.1642387111413694,2.450725690337918,0.22684262329139973,True,1 vs Rest,1,Rest
Plod2,0.988,0.01200000000000001,4.410775224748337,0.00022832993,3.7909544e-05,0.0,0.25,2.9162495,2.9727,1.2830745,-2.7894173,7.8233004,0.8350730688935241,0.20953029271613713,0.4613778705636719,0.11890174722033363,2.4511390952617096,0.19212352866334476,True,1 vs Rest,1,Rest
Rnf150,0.988,0.01200000000000001,4.410775224748337,0.00021805258,3.832797e-05,0.0,0.25,2.7710135,2.7323556,1.2365143,-1.6441288,8.021511,0.7526096033402886,0.31881098252778145,0.4530271398747367,0.20077149988654838,2.1648100569624664,0.28694047988879084,True,1 vs Rest,1,Rest
Robo1,0.988,0.01200000000000001,4.410775224748337,0.00040596104,7.5922784e-05,0.0,0.25,2.6889098,2.6724682,1.1450816,-1.4588976,7.856078,1.4196242171189903,0.7874290900838216,0.6503131524008312,0.41170864533687423,3.928142609729484,0.6655234020390259,True,1 vs Rest,1,Rest
Eya4,0.9876,0.012399999999999967,4.3775804885343055,0.00042495772,8.18847e-05,0.0,0.25,2.6125488,2.685876,1.0121691,-1.2363138,7.2819357,1.5010438413361091,0.8070342636712978,0.6242171189979087,0.4154299977307908,3.999540877187054,0.7006051790153998,True,1 vs Rest,1,Rest
Rnf213,0.9874,0.012599999999999945,4.361377628344464,0.0007167448,0.000115630675,0.0,0.25,2.7697291,2.8036256,1.1472533,-1.234004,6.7747717,2.4018789144049975,1.2058089403221397,0.7766179540709763,0.5168141592918839,7.388027952496988,1.0164126126217459,True,1 vs Rest,1,Rest
Gm8113,0.9872,0.012800000000000034,4.345426711105514,0.0013026274,0.00013174088,0.0,0.25,3.732538,3.8150434,1.6973386,-2.5763426,10.617723,5.107515657620065,1.3036532788744961,0.6774530271398707,0.34967097798950886,16.569474350280984,1.2912084056973911,True,1 vs Rest,1,Rest
