NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mdk	15	57.58738708496094	0.029470293	Yes	
row_1	Rras	97	35.845149993896484	0.04417037	Yes	
row_2	Tgfbi	99	35.62799835205078	0.06282396	Yes	
row_3	Pard6g	120	33.32673645019531	0.07930337	Yes	
row_4	Cnn2	147	30.9178524017334	0.09421307	Yes	
row_5	Mpzl2	152	30.691150665283203	0.11012232	Yes	
row_6	Myl9	154	30.660017013549805	0.12616776	Yes	
row_7	Mapk13	189	28.599624633789062	0.13945365	Yes	
row_8	Map3k20	235	26.288108825683594	0.15096673	Yes	
row_9	Lama3	249	25.49029541015625	0.16368799	Yes	
row_10	Sdc3	278	24.261533737182617	0.17500147	Yes	
row_11	Mmp9	280	23.95065689086914	0.18752456	Yes	
row_12	Nrtn	283	23.804092407226562	0.19991983	Yes	
row_13	Dsc3	286	23.612951278686523	0.21221477	Yes	
row_14	Zyx	289	23.543310165405273	0.22447315	Yes	
row_15	Rsu1	301	22.978199005126953	0.23597725	Yes	
row_16	Lamc2	324	22.31041145324707	0.24657148	Yes	
row_17	Lamb3	326	22.16167449951172	0.25815535	Yes	
row_18	Actg1	375	20.438276290893555	0.2664448	Yes	
row_19	Cdh3	377	20.23883628845215	0.27701917	Yes	
row_20	Itgb4	404	19.2409610748291	0.2857986	Yes	
row_21	Actn1	430	18.580888748168945	0.29428232	Yes	
row_22	Fbn1	457	17.865924835205078	0.30233985	Yes	
row_23	Vcl	480	17.387699127197266	0.3103497	Yes	
row_24	Evl	489	17.2486572265625	0.31899837	Yes	
row_25	Egfr	549	16.25817108154297	0.324534	Yes	
row_26	Nexn	656	14.355342864990234	0.326681	Yes	
row_27	Itgb1	674	14.097634315490723	0.3332178	Yes	
row_28	Epb41l2	745	13.212169647216797	0.336595	Yes	
row_29	Pfn1	769	13.032950401306152	0.34226778	Yes	
row_30	Vcam1	820	12.536230087280273	0.346307	Yes	
row_31	Gnai2	822	12.523073196411133	0.3528307	Yes	
row_32	Mmp2	1000	10.906549453735352	0.34955716	Yes	
row_33	Cldn9	1026	10.665464401245117	0.35388535	Yes	
row_34	Nlgn2	1083	10.30974006652832	0.35645062	Yes	
row_35	Nectin1	1199	9.472624778747559	0.35557663	Yes	
row_36	Sgce	1260	9.055306434631348	0.35727996	Yes	
row_37	Cdh11	1457	7.891919136047363	0.35145772	Yes	
row_38	Mapk14	1500	7.682272434234619	0.3533554	Yes	
row_39	Cdh1	1612	7.181752681732178	0.3514821	Yes	
row_40	Cx3cl1	1613	7.180565357208252	0.35525185	Yes	
row_41	Irs1	1637	7.061225891113281	0.35778952	Yes	
row_42	Myh9	1760	6.62080717086792	0.35506243	No	
row_43	Sorbs3	1977	5.8247785568237305	0.34713808	No	
row_44	Ldlrap1	2091	5.431461334228516	0.34424418	No	
row_45	Cldn11	2252	4.986701488494873	0.33872712	No	
row_46	Bmp1	2259	4.952075004577637	0.34102187	No	
row_47	Parva	2272	4.926840782165527	0.3429983	No	
row_48	Tspan4	2319	4.798163414001465	0.34317848	No	
row_49	Gamt	2338	4.758042812347412	0.34476122	No	
row_50	Icam1	2494	4.361565589904785	0.3391702	No	
row_51	Itga9	2524	4.2837090492248535	0.33994463	No	
row_52	Nf2	2799	3.5783746242523193	0.32789198	No	
row_53	Col16a1	2889	3.372189998626709	0.32513723	No	
row_54	Cldn8	2976	3.189549207687378	0.32243913	No	
row_55	Rasa1	2985	3.1709377765655518	0.32369712	No	
row_56	Thbs3	3149	2.8648500442504883	0.31691357	No	
row_57	Vcan	3266	2.6636013984680176	0.31241402	No	
row_58	Speg	3380	2.483156204223633	0.30797228	No	
