NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Polb	318	11.785713195800781	0.012769682	No	
row_1	Sdcbp	691	8.634113311767578	0.015073784	No	
row_2	Vps37b	935	7.288823127746582	0.020621412	No	
row_3	Ak3	963	7.190924167633057	0.03688291	No	
row_4	Cant1	1262	6.038264751434326	0.036575224	No	
row_5	Adcy6	1365	5.651048183441162	0.04525781	No	
row_6	Tsg101	1493	5.279877662658691	0.05176255	No	
row_7	Ell	1631	4.899306297302246	0.056827076	No	
row_8	Polr2a	1865	4.3950419425964355	0.05578684	No	
row_9	Taf13	1928	4.252985954284668	0.063070156	No	
row_10	Taf6	2086	3.952411413192749	0.06479883	No	
row_11	Polr2h	2371	3.4967336654663086	0.05896978	No	
row_12	Aaas	2615	3.123981237411499	0.054306034	No	
row_13	Bcap31	2673	3.05576229095459	0.05890755	No	
row_14	Ercc5	3014	2.645941734313965	0.048152626	No	
row_15	Eloa	3210	2.4385595321655273	0.044242557	No	
row_16	Ago4	3280	2.3547604084014893	0.046516806	No	
row_17	Sec61a1	3290	2.345428943634033	0.051810924	No	
row_18	Nelfe	3468	2.1541640758514404	0.0481164	No	
row_19	Taf1c	3482	2.1343748569488525	0.052690208	No	
row_20	Xpc	3930	1.7379704713821411	0.034282878	No	
row_21	Tk2	3956	1.720877766609192	0.03723432	No	
row_22	Nelfb	4017	1.660465121269226	0.038262706	No	
row_23	Tarbp2	4148	1.5550154447555542	0.03548267	No	
row_24	Polr1d	4181	1.5286248922348022	0.03760776	No	
row_25	Brf2	4196	1.5219558477401733	0.040629324	No	
row_26	Ercc4	4223	1.4982300996780396	0.042984165	No	
row_27	Srsf6	4296	1.4447180032730103	0.04287503	No	
row_28	Adrm1	4617	1.2158100605010986	0.029627953	No	
row_29	Gtf2f1	4680	1.1769784688949585	0.029369498	No	
row_30	Rala	4763	1.1226352453231812	0.027963554	No	
row_31	Snapc5	4984	0.9767841100692749	0.019201685	No	
row_32	Nudt9	5082	0.9075603485107422	0.016507732	No	
row_33	Dctn4	5175	0.8292807936668396	0.013875415	No	
row_34	Ak1	5282	0.7660468816757202	0.010378085	No	
row_35	Nfx1	5567	0.5945737361907959	-0.0025664894	No	
row_36	Polr2f	5578	0.5896576642990112	-0.0016278895	No	
row_37	Poll	5699	0.5312981009483337	-0.006410752	No	
row_38	Nt5c3	5759	0.5022894740104675	-0.008171274	No	
row_39	Pold3	5819	0.4711797535419464	-0.0100080725	No	
row_40	Pom121	5935	0.4191921055316925	-0.014812234	No	
row_41	Vps28	6038	0.3814395070075989	-0.019049695	No	
row_42	Ercc3	6246	0.2894090712070465	-0.02883761	No	
row_43	Ercc8	6533	0.17074891924858093	-0.042922746	No	
row_44	Clp1	6604	0.13770174980163574	-0.046135005	No	
row_45	Stx3	6671	0.11138423532247543	-0.04920894	No	
row_46	Rbx1	7041	-0.03360618278384209	-0.06783946	No	
row_47	Gtf2h3	7235	-0.10982993245124817	-0.077357695	No	
row_48	Smad5	7246	-0.11464975029230118	-0.077583715	No	
row_49	Nt5c	7313	-0.13852724432945251	-0.080591105	No	
row_50	Polr2i	7363	-0.16025224328041077	-0.08268311	No	
row_51	Gtf2h1	7543	-0.223150834441185	-0.091213524	No	
row_52	Ercc1	7614	-0.24792417883872986	-0.09415554	No	
row_53	Polr2k	7628	-0.2534368634223938	-0.09419343	No	
row_54	Itpa	7653	-0.2638678550720215	-0.09476357	No	
row_55	Nelfcd	7755	-0.2966066896915436	-0.09915832	No	
row_56	Polr3gl	7845	-0.32900694012641907	-0.10286507	No	
row_57	Cstf3	7892	-0.34169405698776245	-0.104360074	No	
row_58	Polh	8043	-0.39649733901023865	-0.11099482	No	
row_59	Snapc4	8477	-0.5389092564582825	-0.13163203	No	
row_60	Pcna	8631	-0.5865592956542969	-0.13795292	No	
row_61	Rfc3	9091	-0.7072637677192688	-0.15949589	No	
row_62	Lig1	9203	-0.733059287071228	-0.16332766	No	
