NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Anxa1	6	30.24675941467285	0.03733823	Yes	
row_1	Hspb1	21	23.92291831970215	0.06640034	Yes	
row_2	Cd14	38	20.76372718811035	0.091429286	Yes	
row_3	Gsn	41	20.66396141052246	0.117044516	Yes	
row_4	Timp2	64	18.785324096679688	0.13930683	Yes	
row_5	Cdkn1a	66	18.687726974487305	0.16251333	Yes	
row_6	Isg20	68	18.50981903076172	0.18549843	Yes	
row_7	Btg2	85	17.744779586791992	0.20677023	Yes	
row_8	Clu	101	16.977375030517578	0.22713773	Yes	
row_9	Sat1	117	16.349388122558594	0.24672368	Yes	
row_10	Txnip	185	14.357588768005371	0.26119202	Yes	
row_11	Pdcd4	201	13.979569435119629	0.2778287	Yes	
row_12	Ifitm3	205	13.837327003479004	0.2948973	Yes	
row_13	Erbb3	223	13.537800788879395	0.31088266	Yes	
row_14	Pmaip1	270	12.594355583190918	0.3242223	Yes	
row_15	Krt18	315	11.854692459106445	0.33674288	Yes	
row_16	Erbb2	340	11.507952690124512	0.34984684	Yes	
row_17	Psen1	401	10.936163902282715	0.36041236	Yes	
row_18	Jun	412	10.78770923614502	0.3733304	Yes	
row_19	Ctnnb1	467	10.291783332824707	0.38339847	Yes	
row_20	Gpx1	632	8.990741729736328	0.3862653	Yes	
row_21	Atf3	722	8.443005561828613	0.3922564	Yes	
row_22	Gna15	884	7.548560619354248	0.39348063	Yes	
row_23	Tnfsf10	888	7.509546279907227	0.40267417	Yes	
row_24	Plat	917	7.375058650970459	0.4104317	Yes	
row_25	Egr3	920	7.356163501739502	0.4194851	Yes	
row_26	Satb1	1173	6.347944259643555	0.41459727	Yes	
row_27	Tap1	1233	6.116086006164551	0.41921484	Yes	
row_28	Mcl1	1294	5.934841156005859	0.42355612	Yes	
row_29	Cyld	1343	5.730834484100342	0.42825246	Yes	
row_30	Tnfrsf12a	1377	5.610936164855957	0.43356076	Yes	
row_31	Ppp3r1	1398	5.56083345413208	0.43946642	Yes	
row_32	Cdc25b	1410	5.514249801635742	0.4457708	Yes	
row_33	Ebp	1423	5.499953746795654	0.45200667	Yes	
row_34	Etf1	1485	5.310151100158691	0.45551974	Yes	
row_35	Lgals3	1486	5.310120105743408	0.46212828	Yes	
row_36	Add1	1510	5.246586799621582	0.4674906	Yes	
row_37	Pak1	1769	4.590427875518799	0.46011105	Yes	
